Time	Temp (Insulated) (°C)	Temp (Uninsulated) (°C)
00:00:00	-37.0	-35.6
00:00:30	-36.9	-35.4
00:01:00	-36.8	-35.1
00:01:30	-36.6	-34.8
00:02:00	-36.6	-34.4
00:02:30	-36.4	-34.0
00:03:00	-36.3	-33.6
00:03:30	-36.2	-33.1
00:04:00	-36.1	-32.7
00:04:30	-36.0	-32.2
00:05:00	-35.8	-31.8
00:05:30	-35.6	-31.3
00:06:00	-35.6	-30.9
00:06:30	-35.4	-30.4
00:07:00	-35.3	-29.9
00:07:30	-35.2	-29.5
00:08:00	-35.1	-29.0
00:08:30	-35.0	-28.5
00:09:00	-34.8	-28.0
00:09:30	-34.7	-27.5
00:10:00	-34.6	-27.0
00:10:30	-34.5	-26.6
00:11:00	-34.4	-26.1
00:11:30	-34.3	-25.6
00:12:00	-34.2	-25.2
00:12:30	-34.1	-24.7
00:13:00	-34.0	-24.3
00:13:30	-33.9	-23.8
00:14:00	-33.8	-23.2
00:14:30	-33.7	-22.9
00:15:00	-33.6	-22.4
00:15:30	-33.4	-21.9
00:16:00	-33.4	-21.5
00:16:30	-33.2	-21.1
00:17:00	-33.1	-20.7
00:17:30	-33.0	-20.3
00:18:00	-32.9	-20.0
00:18:30	-32.8	-19.5
00:19:00	-32.7	-19.1
00:19:30	-32.6	-18.8
00:20:00	-32.5	-18.3
00:20:30	-32.4	-18.0
00:21:00	-32.3	-17.6
00:21:30	-32.2	-17.3
00:22:00	-32.1	-16.9
00:22:30	-32.0	-16.5
00:23:00	-32.0	-16.1
00:23:30	-31.8	-15.8
00:24:00	-31.8	-15.4
00:24:30	-31.7	-15.0
00:25:00	-31.6	-14.7
00:25:30	-31.5	-14.3
00:26:00	-31.4	-14.0
00:26:30	-31.3	-13.7
00:27:00	-31.2	-13.4
00:27:30	-31.2	-13.1
00:28:00	-31.1	-12.8
00:28:30	-31.0	-12.4
00:29:00	-30.9	-12.1
00:29:30	-30.8	-11.8
00:30:00	-30.8	-11.5
00:30:30	-30.6	-11.2
00:31:00	-30.6	-10.9
00:31:30	-30.4	-10.6
00:32:00	-30.4	-10.3
00:32:30	-30.3	-10.0
00:33:00	-30.2	-9.7
00:33:30	-30.1	-9.4
00:34:00	-30.0	-9.1
00:34:30	-29.9	-8.8
00:35:00	-29.8	-8.5
00:35:30	-29.7	-8.3
00:36:00	-29.6	-8.0
00:36:30	-29.5	-7.7
00:37:00	-29.5	-7.4
00:37:30	-29.3	-7.2
00:38:00	-29.2	-6.9
00:38:30	-29.1	-6.7
00:39:00	-29.1	-6.4
00:39:30	-28.9	-6.1
00:40:00	-28.8	-5.8
00:40:30	-28.8	-5.6
00:41:00	-28.7	-5.3
00:41:30	-28.6	-5.1
00:42:00	-28.5	-4.9
00:42:30	-28.4	-4.6
00:43:00	-28.3	-4.4
00:43:30	-28.2	-4.1
00:44:00	-28.1	-3.9
00:44:30	-28.0	-3.6
00:45:00	-27.9	-3.4
00:45:30	-27.8	-3.2
00:46:00	-27.7	-3.0
00:46:30	-27.6	-2.7
00:47:00	-27.5	-2.5
00:47:30	-27.4	-2.2
00:48:00	-27.3	-2.0
00:48:30	-27.2	-1.8
00:49:00	-27.1	-1.6
00:49:30	-27.0	-1.4
00:50:00	-27.0	-1.1
00:50:30	-26.9	-1.0
00:51:00	-26.8	-0.7
00:51:30	-26.7	-0.6
00:52:00	-26.6	-0.3
00:52:30	-26.5	-0.1
00:53:00	-26.4	0.0
00:53:30	-26.3	0.2
00:54:00	-26.2	0.4
00:54:30	-26.1	0.6
00:55:00	-26.0	0.7
00:55:30	-25.9	0.9
00:56:00	-25.8	1.0
00:56:30	-25.7	1.2
00:57:00	-25.7	1.6
00:57:30	-25.6	1.7
00:58:00	-25.5	1.8
00:58:30	-25.4	2.0
00:59:00	-25.3	2.2
00:59:30	-25.2	2.4
01:00:00	-25.1	2.5
