Test Name, UCT_AST_9AH_B1_CYCLE
Test Date, 2024/03/08 02:01:11 PM
Operator ID, Uyilo
, 
Program Name, UCT_AST9AH_CYCLE_50
Program Description, 50-Repetition Bulk-Absorptiin_Float-Discharge Cycling program for 12V AGM
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 7
Name, Channel 7
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542024/03/08 02:01:05 PM - Started  by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
5.0,1,1,1,1,1,5.0,1.5,12.851,19.2,0,0.02,0,0,CHRG, ,
10.0,1,1,1,1,1,10.0,1.5,12.933,19.3,0,0.05,0,0,CHRG, ,
15.0,1,1,1,1,1,15.0,1.5,12.998,19.4,0,0.07,0,0,CHRG, ,
20.0,1,1,1,1,1,20.0,1.5,13.051,19.5,0,0.1,0,0,CHRG, ,
25.0,1,1,1,1,1,25.0,1.5,13.096,19.6,0.01,0.13,0,0,CHRG, ,
30.0,1,1,1,1,1,30.0,1.5,13.135,19.6,0.01,0.16,0,0,CHRG, ,
35.0,1,1,1,1,1,35.0,1.5,13.168,19.7,0.01,0.18,0,0,CHRG, ,
40.0,1,1,1,1,1,40.0,1.5,13.196,19.7,0.01,0.21,0,0,CHRG, ,
45.0,1,1,1,1,1,45.0,1.5,13.22,19.7,0.01,0.24,0,0,CHRG, ,
50.0,1,1,1,1,1,50.0,1.5,13.24,19.8,0.02,0.27,0,0,CHRG, ,
55.0,1,1,1,1,1,55.0,1.5,13.256,19.8,0.02,0.29,0,0,CHRG, ,
60.0,1,1,1,1,1,60.0,1.5,13.271,19.9,0.02,0.32,0,0,CHRG, ,
65.0,1,1,1,1,1,65.0,1.5,13.283,19.9,0.02,0.35,0,0,CHRG, ,
70.0,1,1,1,1,1,70.0,1.5,13.294,19.9,0.02,0.38,0,0,CHRG, ,
75.0,1,1,1,1,1,75.0,1.5,13.303,19.9,0.03,0.4,0,0,CHRG, ,
80.0,1,1,1,1,1,80.0,1.5,13.312,19.9,0.03,0.43,0,0,CHRG, ,
85.0,1,1,1,1,1,85.0,1.5,13.32,19.9,0.03,0.46,0,0,CHRG, ,
90.0,1,1,1,1,1,90.0,1.5,13.327,19.9,0.03,0.49,0,0,CHRG, ,
95.0,1,1,1,1,1,95.0,1.5,13.333,19.9,0.03,0.51,0,0,CHRG, ,
100.0,1,1,1,1,1,100.0,1.5,13.34,20,0.04,0.54,0,0,CHRG, ,
105.0,1,1,1,1,1,105.0,1.5,13.346,20,0.04,0.57,0,0,CHRG, ,
