Test Name, UCT_AST_9AH_B2B_CYCLE B
Test Date, 2024/04/03 04:29:04 PM
Operator ID, Uyilo
, 
Program Name, UCT_AST9AH_CYCLE_50
Program Description, 50-Repetition Bulk-Absorptiin_Float-Discharge Cycling program for 12V AGM
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 14
Name, Channel 14
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542024/04/03 04:28:58 PM - Started by Masamkele
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
5.0,1,1,1,1,1,5.0,1.5,12.945,19.3,0,0.02,0,0,CHRG, ,
10.0,1,1,1,1,1,10.0,1.5,13.03,19.5,0,0.05,0,0,CHRG, ,
15.0,1,1,1,1,1,15.0,1.5,13.101,19.6,0,0.08,0,0,CHRG, ,
20.0,1,1,1,1,1,20.0,1.5,13.161,19.7,0,0.1,0,0,CHRG, ,
25.0,1,1,1,1,1,25.0,1.5,13.213,19.7,0.01,0.13,0,0,CHRG, ,
30.0,1,1,1,1,1,30.0,1.5,13.259,19.8,0.01,0.16,0,0,CHRG, ,
35.0,1,1,1,1,1,35.0,1.5,13.298,19.9,0.01,0.19,0,0,CHRG, ,
40.0,1,1,1,1,1,40.0,1.5,13.331,19.9,0.01,0.21,0,0,CHRG, ,
45.0,1,1,1,1,1,45.0,1.5,13.359,20,0.01,0.24,0,0,CHRG, ,
50.0,1,1,1,1,1,50.0,1.5,13.382,20,0.02,0.27,0,0,CHRG, ,
55.0,1,1,1,1,1,55.0,1.5,13.401,20.1,0.02,0.3,0,0,CHRG, ,
60.0,1,1,1,1,1,60.0,1.5,13.417,20,0.02,0.32,0,0,CHRG, ,
65.0,1,1,1,1,1,65.0,1.5,13.431,20.1,0.02,0.35,0,0,CHRG, ,
70.0,1,1,1,1,1,70.0,1.5,13.442,20.1,0.02,0.38,0,0,CHRG, ,
75.0,1,1,1,1,1,75.0,1.5,13.452,20.1,0.03,0.41,0,0,CHRG, ,
80.0,1,1,1,1,1,80.0,1.49,13.461,20,0.03,0.44,0,0,CHRG, ,
85.0,1,1,1,1,1,85.0,1.49,13.469,20.1,0.03,0.46,0,0,CHRG, ,
90.0,1,1,1,1,1,90.0,1.5,13.476,20.1,0.03,0.49,0,0,CHRG, ,
95.0,1,1,1,1,1,95.0,1.5,13.483,20.1,0.03,0.52,0,0,CHRG, ,
100.0,1,1,1,1,1,100.0,1.49,13.49,20.1,0.04,0.55,0,0,CHRG, ,
105.0,1,1,1,1,1,105.0,1.5,13.496,20.2,0.04,0.58,0,0,CHRG, ,
110.0,1,1,1,1,1,110.0,1.5,13.502,20.2,0.04,0.6,0,0,CHRG, ,
115.0,1,1,1,1,1,115.0,1.5,13.508,20.2,0.04,0.63,0,0,CHRG, ,
120.0,1,1,1,1,1,120.0,1.5,13.514,20.2,0.04,0.66,0,0,CHRG, ,
125.0,1,1,1,1,1,125.0,1.5,13.519,20.2,0.05,0.69,0,0,CHRG, ,
130.0,1,1,1,1,1,130.0,1.5,13.525,20.2,0.05,0.72,0,0,CHRG, ,
135.0,1,1,1,1,1,135.0,1.5,13.53,20.2,0.05,0.74,0,0,CHRG, ,
140.0,1,1,1,1,1,140.0,1.5,13.535,20.3,0.05,0.77,0,0,CHRG, ,
145.0,1,1,1,1,1,145.0,1.5,13.54,20.3,0.06,0.8,0,0,CHRG, ,
150.0,1,1,1,1,1,150.0,1.5,13.545,20.2,0.06,0.83,0,0,CHRG, ,
155.0,1,1,1,1,1,155.0,1.5,13.549,20.2,0.06,0.86,0,0,CHRG, ,
160.0,1,1,1,1,1,160.0,1.5,13.553,20.3,0.06,0.88,0,0,CHRG, ,
165.0,1,1,1,1,1,165.0,1.5,13.557,20.2,0.06,0.91,0,0,CHRG, ,
170.0,1,1,1,1,1,170.0,1.5,13.562,20.3,0.07,0.94,0,0,CHRG, ,
175.0,1,1,1,1,1,175.0,1.5,13.565,20.3,0.07,0.97,0,0,CHRG, ,
180.0,1,1,1,1,1,180.0,1.5,13.57,20.3,0.07,1,0,0,CHRG, ,
185.0,1,1,1,1,1,185.0,1.5,13.573,20.3,0.07,1.02,0,0,CHRG, ,
190.0,1,1,1,1,1,190.0,1.5,13.577,20.3,0.07,1.05,0,0,CHRG, ,
195.0,1,1,1,1,1,195.0,1.5,13.58,20.3,0.08,1.08,0,0,CHRG, ,
200.0,1,1,1,1,1,200.0,1.5,13.584,20.3,0.08,1.11,0,0,CHRG, ,
205.0,1,1,1,1,1,205.0,1.5,13.587,20.3,0.08,1.14,0,0,CHRG, ,
210.0,1,1,1,1,1,210.0,1.5,13.591,20.3,0.08,1.17,0,0,CHRG, ,
215.0,1,1,1,1,1,215.0,1.5,13.594,20.3,0.08,1.19,0,0,CHRG, ,
220.0,1,1,1,1,1,220.0,1.5,13.597,20.3,0.09,1.22,0,0,CHRG, ,
225.0,1,1,1,1,1,225.0,1.5,13.6,20.3,0.09,1.25,0,0,CHRG, ,
230.0,1,1,1,1,1,230.0,1.5,13.603,20.3,0.09,1.28,0,0,CHRG, ,
235.0,1,1,1,1,1,235.0,1.5,13.607,20.4,0.09,1.31,0,0,CHRG, ,
240.0,1,1,1,1,1,240.0,1.49,13.609,20.3,0.09,1.33,0,0,CHRG, ,
245.0,1,1,1,1,1,245.0,1.5,13.613,20.4,0.1,1.36,0,0,CHRG, ,
250.0,1,1,1,1,1,250.0,1.5,13.616,20.3,0.1,1.39,0,0,CHRG, ,
255.0,1,1,1,1,1,255.0,1.5,13.619,20.3,0.1,1.42,0,0,CHRG, ,
260.0,1,1,1,1,1,260.0,1.5,13.622,20.3,0.1,1.45,0,0,CHRG, ,
265.0,1,1,1,1,1,265.0,1.5,13.625,20.3,0.11,1.48,0,0,CHRG, ,
270.0,1,1,1,1,1,270.0,1.49,13.628,20.3,0.11,1.5,0,0,CHRG, ,
275.0,1,1,1,1,1,275.0,1.5,13.63,20.4,0.11,1.53,0,0,CHRG, ,
280.0,1,1,1,1,1,280.0,1.5,13.633,20.4,0.11,1.56,0,0,CHRG, ,
285.0,1,1,1,1,1,285.0,1.5,13.636,20.4,0.11,1.59,0,0,CHRG, ,
290.0,1,1,1,1,1,290.0,1.49,13.639,20.3,0.12,1.62,0,0,CHRG, ,
295.0,1,1,1,1,1,295.0,1.5,13.642,20.4,0.12,1.65,0,0,CHRG, ,
300.0,1,1,1,1,1,300.0,1.5,13.645,20.4,0.12,1.67,0,0,CHRG, ,
305.0,1,1,1,1,1,305.0,1.5,13.647,20.4,0.12,1.7,0,0,CHRG, ,
310.0,1,1,1,1,1,310.0,1.5,13.65,20.4,0.12,1.73,0,0,CHRG, ,
315.0,1,1,1,1,1,315.0,1.5,13.653,20.4,0.13,1.76,0,0,CHRG, ,
320.0,1,1,1,1,1,320.0,1.5,13.656,20.4,0.13,1.79,0,0,CHRG, ,
