Test Name, UCT_AST_9AH_B5_CYCLE B
Test Date, 2024/03/11 03:11:38 PM
Operator ID, Uyilo
, 
Program Name, UCT_AST9AH_CYCLE_50
Program Description, 50-Repetition Bulk-Absorptiin_Float-Discharge Cycling program for 12V AGM
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 15
Name, Channel 15
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542024/03/11 03:11:34 PM - Started by Masa 
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
5.0,1,1,1,1,1,5.0,1.5,11.39,17,0,0.02,0,0,CHRG, ,
10.0,1,1,1,1,1,10.0,1.5,11.415,17.1,0,0.04,0,0,CHRG, ,
15.0,1,1,1,1,1,15.0,1.5,11.432,17.1,0,0.07,0,0,CHRG, ,
20.0,1,1,1,1,1,20.0,1.5,11.446,17.1,0,0.09,0,0,CHRG, ,
25.0,1,1,1,1,1,25.0,1.5,11.458,17.1,0.01,0.11,0,0,CHRG, ,
30.0,1,1,1,1,1,30.0,1.5,11.469,17.2,0.01,0.14,0,0,CHRG, ,
35.0,1,1,1,1,1,35.0,1.5,11.479,17.2,0.01,0.16,0,0,CHRG, ,
40.0,1,1,1,1,1,40.0,1.5,11.487,17.2,0.01,0.18,0,0,CHRG, ,
45.0,1,1,1,1,1,45.0,1.5,11.495,17.2,0.01,0.21,0,0,CHRG, ,
50.0,1,1,1,1,1,50.0,1.5,11.503,17.2,0.02,0.23,0,0,CHRG, ,
55.0,1,1,1,1,1,55.0,1.5,11.51,17.2,0.02,0.26,0,0,CHRG, ,
60.0,1,1,1,1,1,60.0,1.5,11.516,17.2,0.02,0.28,0,0,CHRG, ,
65.0,1,1,1,1,1,65.0,1.5,11.522,17.2,0.02,0.3,0,0,CHRG, ,
70.0,1,1,1,1,1,70.0,1.5,11.527,17.2,0.02,0.33,0,0,CHRG, ,
75.0,1,1,1,1,1,75.0,1.5,11.533,17.2,0.03,0.35,0,0,CHRG, ,
80.0,1,1,1,1,1,80.0,1.5,11.537,17.2,0.03,0.38,0,0,CHRG, ,
85.0,1,1,1,1,1,85.0,1.5,11.542,17.2,0.03,0.4,0,0,CHRG, ,
90.0,1,1,1,1,1,90.0,1.5,11.546,17.3,0.03,0.42,0,0,CHRG, ,
95.0,1,1,1,1,1,95.0,1.5,11.55,17.3,0.03,0.45,0,0,CHRG, ,
100.0,1,1,1,1,1,100.0,1.5,11.554,17.3,0.04,0.47,0,0,CHRG, ,
105.0,1,1,1,1,1,105.0,1.5,11.558,17.3,0.04,0.5,0,0,CHRG, ,
110.0,1,1,1,1,1,110.0,1.5,11.561,17.3,0.04,0.52,0,0,CHRG, ,
115.0,1,1,1,1,1,115.0,1.5,11.564,17.3,0.04,0.54,0,0,CHRG, ,
120.0,1,1,1,1,1,120.0,1.5,11.567,17.3,0.04,0.57,0,0,CHRG, ,
125.0,1,1,1,1,1,125.0,1.5,11.57,17.3,0.05,0.59,0,0,CHRG, ,
130.0,1,1,1,1,1,130.0,1.5,11.573,17.3,0.05,0.62,0,0,CHRG, ,
135.0,1,1,1,1,1,135.0,1.5,11.575,17.3,0.05,0.64,0,0,CHRG, ,
140.0,1,1,1,1,1,140.0,1.5,11.579,17.3,0.05,0.66,0,0,CHRG, ,
145.0,1,1,1,1,1,145.0,1.5,11.581,17.3,0.06,0.69,0,0,CHRG, ,
150.0,1,1,1,1,1,150.0,1.5,11.583,17.3,0.06,0.71,0,0,CHRG, ,
155.0,1,1,1,1,1,155.0,1.5,11.585,17.3,0.06,0.74,0,0,CHRG, ,
160.0,1,1,1,1,1,160.0,1.5,11.588,17.3,0.06,0.76,0,0,CHRG, ,
165.0,1,1,1,1,1,165.0,1.5,11.59,17.3,0.06,0.78,0,0,CHRG, ,
170.0,1,1,1,1,1,170.0,1.5,11.592,17.3,0.07,0.81,0,0,CHRG, ,
175.0,1,1,1,1,1,175.0,1.5,11.595,17.3,0.07,0.83,0,0,CHRG, ,
180.0,1,1,1,1,1,180.0,1.5,11.597,17.3,0.07,0.86,0,0,CHRG, ,
185.0,1,1,1,1,1,185.0,1.5,11.599,17.3,0.07,0.88,0,0,CHRG, ,
190.0,1,1,1,1,1,190.0,1.5,11.601,17.4,0.07,0.9,0,0,CHRG, ,
195.0,1,1,1,1,1,195.0,1.5,11.602,17.3,0.08,0.93,0,0,CHRG, ,
200.0,1,1,1,1,1,200.0,1.5,11.605,17.3,0.08,0.95,0,0,CHRG, ,
205.0,1,1,1,1,1,205.0,1.5,11.607,17.3,0.08,0.98,0,0,CHRG, ,
210.0,1,1,1,1,1,210.0,1.5,11.609,17.3,0.08,1,0,0,CHRG, ,
215.0,1,1,1,1,1,215.0,1.5,11.611,17.4,0.08,1.02,0,0,CHRG, ,
220.0,1,1,1,1,1,220.0,1.5,11.612,17.4,0.09,1.05,0,0,CHRG, ,
225.0,1,1,1,1,1,225.0,1.5,11.614,17.4,0.09,1.07,0,0,CHRG, ,
230.0,1,1,1,1,1,230.0,1.5,11.616,17.4,0.09,1.1,0,0,CHRG, ,
235.0,1,1,1,1,1,235.0,1.5,11.617,17.4,0.09,1.12,0,0,CHRG, ,
240.0,1,1,1,1,1,240.0,1.5,11.619,17.4,0.09,1.15,0,0,CHRG, ,
245.0,1,1,1,1,1,245.0,1.5,11.621,17.4,0.1,1.17,0,0,CHRG, ,
250.0,1,1,1,1,1,250.0,1.5,11.623,17.4,0.1,1.19,0,0,CHRG, ,
255.0,1,1,1,1,1,255.0,1.5,11.624,17.4,0.1,1.22,0,0,CHRG, ,
260.0,1,1,1,1,1,260.0,1.5,11.626,17.4,0.1,1.24,0,0,CHRG, ,
265.0,1,1,1,1,1,265.0,1.5,11.627,17.4,0.11,1.27,0,0,CHRG, ,
270.0,1,1,1,1,1,270.0,1.5,11.629,17.4,0.11,1.29,0,0,CHRG, ,
275.0,1,1,1,1,1,275.0,1.5,11.631,17.4,0.11,1.31,0,0,CHRG, ,
