Test Name, UCT_AST_9AH_B5_CYCLE
Test Date, 2024/03/08 02:03:53 PM
Operator ID, Uyilo
, 
Program Name, UCT_AST9AH_CYCLE_50
Program Description, 50-Repetition Bulk-Absorptiin_Float-Discharge Cycling program for 12V AGM
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 15
Name, Channel 15
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542024/03/08 02:03:43 PM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
5.0,1,1,1,1,1,5.0,1.5,12.804,19.2,0,0.02,0,0,CHRG, ,
10.0,1,1,1,1,1,10.0,1.5,12.882,19.3,0,0.05,0,0,CHRG, ,
15.0,1,1,1,1,1,15.0,1.5,12.944,19.3,0,0.07,0,0,CHRG, ,
20.0,1,1,1,1,1,20.0,1.5,12.995,19.4,0,0.1,0,0,CHRG, ,
25.0,1,1,1,1,1,25.0,1.5,13.038,19.5,0.01,0.13,0,0,CHRG, ,
30.0,1,1,1,1,1,30.0,1.49,13.075,19.5,0.01,0.16,0,0,CHRG, ,
35.0,1,1,1,1,1,35.0,1.49,13.107,19.5,0.01,0.18,0,0,CHRG, ,
40.0,1,1,1,1,1,40.0,1.5,13.134,19.6,0.01,0.21,0,0,CHRG, ,
45.0,1,1,1,1,1,45.0,1.5,13.156,19.7,0.01,0.24,0,0,CHRG, ,
50.0,1,1,1,1,1,50.0,1.5,13.176,19.7,0.02,0.26,0,0,CHRG, ,
55.0,1,1,1,1,1,55.0,1.5,13.193,19.7,0.02,0.29,0,0,CHRG, ,
60.0,1,1,1,1,1,60.0,1.5,13.207,19.7,0.02,0.32,0,0,CHRG, ,
65.0,1,1,1,1,1,65.0,1.5,13.22,19.7,0.02,0.35,0,0,CHRG, ,
70.0,1,1,1,1,1,70.0,1.5,13.23,19.8,0.02,0.37,0,0,CHRG, ,
75.0,1,1,1,1,1,75.0,1.5,13.24,19.8,0.03,0.4,0,0,CHRG, ,
80.0,1,1,1,1,1,80.0,1.5,13.248,19.8,0.03,0.43,0,0,CHRG, ,
85.0,1,1,1,1,1,85.0,1.5,13.256,19.8,0.03,0.46,0,0,CHRG, ,
90.0,1,1,1,1,1,90.0,1.5,13.263,19.8,0.03,0.48,0,0,CHRG, ,
95.0,1,1,1,1,1,95.0,1.5,13.27,19.9,0.03,0.51,0,0,CHRG, ,
100.0,1,1,1,1,1,100.0,1.5,13.276,19.9,0.04,0.54,0,0,CHRG, ,
105.0,1,1,1,1,1,105.0,1.5,13.281,19.8,0.04,0.57,0,0,CHRG, ,
110.0,1,1,1,1,1,110.0,1.5,13.287,19.9,0.04,0.59,0,0,CHRG, ,
115.0,1,1,1,1,1,115.0,1.5,13.292,19.9,0.04,0.62,0,0,CHRG, ,
120.0,1,1,1,1,1,120.0,1.5,13.297,19.9,0.04,0.65,0,0,CHRG, ,
125.0,1,1,1,1,1,125.0,1.5,13.302,19.9,0.05,0.68,0,0,CHRG, ,
130.0,1,1,1,1,1,130.0,1.5,13.306,19.9,0.05,0.7,0,0,CHRG, ,
135.0,1,1,1,1,1,135.0,1.5,13.311,19.9,0.05,0.73,0,0,CHRG, ,
140.0,1,1,1,1,1,140.0,1.5,13.316,19.9,0.05,0.76,0,0,CHRG, ,
145.0,1,1,1,1,1,145.0,1.5,13.32,19.9,0.06,0.79,0,0,CHRG, ,
150.0,1,1,1,1,1,150.0,1.5,13.324,19.9,0.06,0.82,0,0,CHRG, ,
155.0,1,1,1,1,1,155.0,1.5,13.328,19.9,0.06,0.84,0,0,CHRG, ,
160.0,1,1,1,1,1,160.0,1.5,13.331,19.9,0.06,0.87,0,0,CHRG, ,
165.0,1,1,1,1,1,165.0,1.5,13.335,20,0.06,0.9,0,0,CHRG, ,
170.0,1,1,1,1,1,170.0,1.5,13.339,19.9,0.07,0.93,0,0,CHRG, ,
175.0,1,1,1,1,1,175.0,1.5,13.342,19.9,0.07,0.95,0,0,CHRG, ,
180.0,1,1,1,1,1,180.0,1.5,13.346,19.9,0.07,0.98,0,0,CHRG, ,
185.0,1,1,1,1,1,185.0,1.5,13.349,19.9,0.07,1.01,0,0,CHRG, ,
190.0,1,1,1,1,1,190.0,1.5,13.352,20,0.07,1.04,0,0,CHRG, ,
195.0,1,1,1,1,1,195.0,1.5,13.356,20,0.08,1.06,0,0,CHRG, ,
200.0,1,1,1,1,1,200.0,1.5,13.358,20,0.08,1.09,0,0,CHRG, ,
205.0,1,1,1,1,1,205.0,1.5,13.362,20,0.08,1.12,0,0,CHRG, ,
210.0,1,1,1,1,1,210.0,1.5,13.365,20,0.08,1.15,0,0,CHRG, ,
215.0,1,1,1,1,1,215.0,1.5,13.368,20,0.08,1.18,0,0,CHRG, ,
220.0,1,1,1,1,1,220.0,1.5,13.371,20,0.09,1.2,0,0,CHRG, ,
225.0,1,1,1,1,1,225.0,1.5,13.373,20,0.09,1.23,0,0,CHRG, ,
