

Measurement ID,6868
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/07 08:28:28
End Time,2024/03/07 08:37:01
Test section,EIS00001
Comment,UCT_AST_A04_-20
OrderNo,UCT002-
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.051,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.051,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.051,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.236,00:00:37.287,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.64315,25.73704,8.55167,5052.631,0.00000,0.01,10.00,3,0,0.05,27.12059,18.38015,12.64397,12.64511,25.70836,25.69943,8.47963,8.50771,27.07072,18.25460,27.07106,18.31695,0,0,
3,EIS,00:00:49.379,00:00:54.430,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.64328,25.83461,5.56607,3692.308,0.00000,0.01,10.00,3,0,0.05,26.42741,12.15853,12.64375,12.64537,25.81653,25.81708,5.53610,5.54096,26.40344,12.10322,26.40500,12.11327,0,0,
3,EIS,00:01:06.432,00:01:11.483,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.64300,26.01722,3.48175,2823.529,0.00000,0.01,10.00,3,0,0.05,26.24916,7.62232,12.64359,12.64522,26.00826,26.00726,3.44970,3.46270,26.23604,7.55553,26.23677,7.58397,0,0,
3,EIS,00:01:23.243,00:01:28.294,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.64302,26.33439,1.57334,2086.957,0.00000,0.01,10.00,3,0,0.05,26.38135,3.41906,12.64369,12.64489,26.33335,26.32915,1.54871,1.55973,26.37885,3.36578,26.37531,3.39023,0,0,
3,EIS,00:01:40.179,00:01:45.230,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.64287,26.69962,0.08678,1573.771,0.00000,0.01,10.00,3,0,0.05,26.69976,0.18623,12.64386,12.64438,26.69989,26.69554,0.07040,0.07441,26.69998,0.15107,26.69565,0.15970,0,0,
3,EIS,00:01:57.487,00:02:02.538,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.64271,27.12699,-1.21319,1185.185,0.00000,0.01,10.00,3,0,0.05,27.15410,-2.56070,12.64252,12.64471,27.12945,27.13109,-1.22463,-1.21931,27.15707,-2.58459,27.15847,-2.57322,0,0,
3,EIS,00:02:14.659,00:02:19.710,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,889.140,0,9,14,36,7,16.00000,12.64260,27.68862,-2.38556,888.889,0.00000,0.01,10.00,3,0,0.05,27.79119,-4.92425,12.64343,12.64349,27.68859,27.68983,-2.39215,-2.39243,27.79173,-4.93779,27.79299,-4.93815,0,0,
3,EIS,00:02:32.406,00:02:37.457,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,666.761,0,9,14,36,8,16.00000,12.64243,28.32817,-3.48254,666.667,0.00000,0.01,10.00,3,0,0.05,28.54143,-7.00853,12.64221,12.64498,28.32146,28.32456,-3.48839,-3.48568,28.53549,-7.02184,28.53824,-7.01567,0,0,
3,EIS,00:02:50.436,00:02:55.487,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,500.000,0,9,14,36,9,16.00000,12.64140,29.05979,-4.56673,500.000,0.00000,0.01,10.00,3,0,0.05,29.41643,-8.93095,12.64280,12.64444,29.06240,29.06089,-4.56951,-4.56136,29.41944,-8.93552,29.41668,-8.92029,0,0,
3,EIS,00:03:08.935,00:03:13.986,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,374.947,0,9,14,36,10,16.00000,12.64221,29.90586,-5.71795,375.000,0.00000,0.01,10.00,3,0,0.05,30.44759,-10.82423,12.64214,12.64446,29.90610,29.90398,-5.72754,-5.72807,30.44962,-10.84186,30.44764,-10.84359,0,0,
3,EIS,00:03:28.237,00:03:33.288,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,281.171,0,9,14,36,11,16.00000,12.64321,30.92624,-6.80539,281.525,0.00000,0.01,10.00,3,0,0.05,31.66616,-12.41027,12.64277,12.64551,30.91982,30.91258,-6.80665,-6.80383,31.66016,-12.41500,31.65248,-12.41283,0,0,
3,EIS,00:03:49.309,00:03:54.360,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,210.848,0,9,14,36,12,16.00000,12.64350,32.09762,-8.00861,210.989,0.00000,0.01,10.00,3,0,0.05,33.08164,-14.00970,12.64264,12.64478,32.09040,32.09394,-8.01252,-8.01217,33.07558,-14.01931,33.07893,-14.01724,0,0,
3,EIS,00:04:08.341,00:04:13.392,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,158.114,0,9,14,36,13,16.00000,12.64246,33.43750,-9.28503,157.895,0.00000,0.01,10.00,3,0,0.05,34.70271,-15.51907,12.64256,12.64390,33.43925,33.44125,-9.28123,-9.28627,34.70338,-15.51226,34.70666,-15.51939,0,0,
3,EIS,00:04:27.929,00:04:32.980,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,118.569,0,9,14,36,14,16.00000,12.64021,34.91396,-10.61550,118.519,0.00000,0.01,10.00,3,0,0.05,36.49210,-16.91176,12.64248,12.64213,34.91560,34.90422,-10.61186,-10.61027,36.49262,-16.90555,36.48126,-16.90835,0,0,
3,EIS,00:04:46.525,00:04:51.576,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,88.914,0,9,14,36,15,16.00000,12.64172,36.47252,-12.07884,88.889,0.00000,0.01,10.00,3,0,0.05,38.42061,-18.32366,12.64431,12.64531,36.44941,36.45192,-12.08138,-12.07269,38.39947,-18.33809,38.39912,-18.32460,0,0,
3,EIS,00:05:05.965,00:05:11.016,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,66.676,0,9,14,36,16,16.00000,12.64283,38.00436,-13.77332,66.667,0.00000,0.01,10.00,3,0,0.05,40.42320,-19.92123,12.64226,12.64224,38.00499,37.99829,-13.77020,-13.77511,40.42274,-19.91678,40.41811,-19.92655,0,0,
3,EIS,00:05:26.619,00:05:31.670,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,50.000,0,9,14,36,17,16.00000,12.64167,39.52423,-15.87951,50.000,0.00000,0.01,10.00,3,0,0.05,42.59488,-21.88860,12.64177,12.64284,39.52298,39.53260,-15.87618,-15.87488,42.59247,-21.88508,42.60092,-21.87863,0,0,
3,EIS,00:05:46.195,00:05:51.246,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,37.495,0,9,14,36,18,16.00000,12.64346,41.05868,-18.62090,37.500,0.00000,0.01,10.00,3,0,0.05,45.08384,-24.39520,12.64215,12.64517,41.05179,41.05658,-18.62893,-18.63275,45.08089,-24.40812,45.08683,-24.41002,0,0,
3,EIS,00:06:06.004,00:06:11.055,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,28.117,0,9,14,36,19,16.00000,12.63917,42.62617,-22.26956,28.103,0.00000,0.01,10.00,3,0,0.05,48.09287,-27.58430,12.64211,12.64187,42.62370,42.61058,-22.27148,-22.28922,48.09157,-27.58769,48.08816,-27.61367,0,0,
3,EIS,00:06:24.632,00:06:29.683,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,21.085,0,9,14,36,20,16.00000,12.64133,44.28820,-27.12576,21.053,0.00000,0.01,10.00,3,0,0.05,51.93507,-31.48675,12.64301,12.64611,44.28516,44.28447,-27.11720,-27.12347,51.92801,-31.48045,51.93070,-31.48675,0,0,
3,EIS,00:06:44.423,00:06:49.474,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,15.811,0,9,14,36,21,16.00000,12.64416,46.12701,-33.44302,15.831,0.00000,0.01,10.00,3,0,0.05,56.97487,-35.94288,12.64204,12.64191,46.10629,46.10759,-33.42560,-33.42679,56.94787,-35.94092,56.94963,-35.94113,0,0,
3,EIS,00:07:05.075,00:07:10.126,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,11.857,0,9,14,36,22,16.00000,12.64130,48.34247,-41.85321,11.858,0.00000,0.01,10.00,3,0,0.05,63.94283,-40.88486,12.64476,12.64563,48.31871,48.33350,-41.83752,-41.85754,63.91460,-40.88817,63.93888,-40.89306,0,0,
3,EIS,00:07:24.758,00:07:29.809,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,8.891,0,9,14,36,23,16.00000,12.64292,51.03698,-52.77638,8.902,0.00000,0.01,10.00,3,0,0.05,73.41744,-45.95990,12.64186,12.64372,51.04736,51.07936,-52.74759,-52.75862,73.40396,-45.93846,73.43413,-45.92650,0,0,
3,EIS,00:07:44.733,00:07:49.784,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,6.668,0,9,14,36,24,16.00000,12.63737,54.58945,-67.11502,6.667,0.00000,0.01,10.00,3,0,0.05,86.51262,-50.87607,12.63771,12.63905,54.57407,54.58842,-67.08864,-67.06312,86.48246,-50.87295,86.47172,-50.85491,0,0,
3,EIS,00:08:03.521,00:08:08.572,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5.000,0,9,14,36,25,16.00000,12.64095,59.26742,-85.76289,5.000,0.00000,0.01,10.00,3,0,0.05,104.24922,-55.35315,12.64490,12.64517,59.26069,59.19060,-85.74940,-85.73411,104.23429,-55.35197,104.18189,-55.37890,0,0,
3,EIS,00:08:22.760,00:08:27.811,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5.000,0,9,14,36,26,16.00000,12.63603,59.22629,-85.67297,5.000,0.00000,0.01,10.00,3,0,0.05,104.15187,-55.34364,12.64151,12.63832,59.25329,59.20111,-85.70696,-85.66400,104.19517,-55.34205,104.13017,-55.35223,0,0,
