

Measurement ID,6868
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/07 08:28:28
End Time,2024/03/07 08:37:01
Test section,TS006678
Comment,UCT_AST_A04_-20
OrderNo,UCT002-
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
1,...,00:00:00.000,00:00:00.000,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PAU,00:00:00.003,00:00:00.030,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PAU,00:00:00.003,00:00:00.030,0,0,UCT_AST9AH_EIS,,,0.00,0.00,0.000,0,0,0,0,0,0.00000,12.64319,0.00000,0.00000,0.000,0.00000,0.00,0.00,0,0,0.00,98.78461,-55.37630,12.64378,12.64513,0.00000,0.00000,0.00000,0.00000,98.77262,-55.39317,98.73503,0.00000,0,0,
2,PAU,00:00:05.017,00:00:05.044,0,0,UCT_AST9AH_EIS,,,0.00,0.00,0.000,0,0,0,0,0,0.00000,12.64321,0.00000,0.00000,0.000,0.00000,0.00,0.00,0,0,0.00,98.78461,-55.37630,12.64382,12.64515,0.00000,0.00000,0.00000,0.00000,98.77262,-55.39317,98.73503,0.00000,0,0,
2,PAU,00:00:05.017,00:00:05.044,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:00.000,00:00:05.051,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:00.000,00:00:05.051,0,0,UCT_AST9AH_EIS,,,0.00,0.00,0.000,0,9,14,36,0,0.00000,12.64321,0.00000,0.00000,0.000,0.00000,0.01,10.00,0,0,0.00,98.78461,-55.37630,12.64382,12.64505,0.00000,0.00000,0.00000,0.00000,98.77262,-55.39317,98.73503,0.00000,0,0,
3,EIS,00:08:27.774,00:08:32.825,0,0,UCT_AST9AH_EIS,,,0.00,0.00,0.000,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.000,0.00000,0.00,0.00,0,0,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,
3,EIS,00:08:27.774,00:08:32.825,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,STO,00:00:00.000,00:08:32.831,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,STO,00:00:00.000,00:08:32.831,0,0,UCT_AST9AH_EIS,,,0.00,0.00,0.000,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.000,0.00000,0.00,0.00,0,0,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,
9999,STO,00:00:00.000,00:08:32.831,0,0,UCT_AST9AH_EIS,,,0.00,0.00,0.000,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.000,0.00000,0.00,0.00,0,0,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,
9999,STO,00:00:00.000,00:08:32.831,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,STO,00:00:00.000,00:08:32.831,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
