

Measurement ID,6870
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/07 08:48:47
End Time,2024/03/07 08:57:23
Test section,EIS00001
Comment,UCT_AST_A06_-20
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.837,00:00:37.880,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.37477,27.54474,7.57670,5052.631,0.00000,0.01,10.00,3,0,0.05,28.56779,15.37992,12.37559,12.37656,27.51778,27.50842,7.89502,7.74459,28.62795,16.00851,28.57782,15.72379,0,0,
3,EIS,00:00:49.730,00:00:54.773,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.37469,27.66674,4.84434,3692.308,0.00000,0.01,10.00,3,0,0.05,28.08765,9.93158,12.37498,12.37631,27.64680,27.66016,5.09186,4.97487,28.11179,10.43553,28.10398,10.19603,0,0,
3,EIS,00:01:06.761,00:01:11.804,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.37502,27.86354,2.92305,2823.529,0.00000,0.01,10.00,3,0,0.05,28.01644,5.98876,12.37508,12.37633,27.85174,27.85106,3.10430,3.02122,28.02420,6.35983,28.01445,6.19111,0,0,
3,EIS,00:01:23.697,00:01:28.740,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.37457,28.18738,1.15303,2086.957,0.00000,0.01,10.00,3,0,0.05,28.21095,2.34243,12.37558,12.37579,28.18715,28.18536,1.28899,1.21962,28.21660,2.61830,28.21174,2.47772,0,0,
3,EIS,00:01:40.848,00:01:45.891,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.37453,28.56104,-0.24515,1573.771,0.00000,0.01,10.00,3,0,0.05,28.56209,-0.49178,12.37498,12.37676,28.56395,28.56340,-0.14273,-0.19315,28.56430,-0.28629,28.56405,-0.38743,0,0,
3,EIS,00:01:57.867,00:02:02.910,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.37443,29.01299,-1.46712,1185.185,0.00000,0.01,10.00,3,0,0.05,29.05006,-2.89485,12.37562,12.37569,29.01504,29.01778,-1.38759,-1.42643,29.04820,-2.73797,29.05282,-2.81422,0,0,
