

Measurement ID,6881
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/07 10:02:55
End Time,2024/03/07 10:11:59
Test section,EIS00001
Comment,UCT_AST_A10_-20 RUN 2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 8000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.434,00:00:37.480,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,8000.000,0,7,14,36,1,16.00000,11.84256,354.70918,-59.10006,8000.000,0.00000,0.01,10.00,3,1,0.05,359.59897,-9.45947,11.84350,11.84345,354.83509,355.28603,-56.84948,-56.09262,359.36027,-9.10222,359.68673,-8.97181,0,0,
3,EIS,00:00:49.551,00:00:54.597,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,5999.154,0,7,14,36,2,16.00000,11.84472,370.91416,-64.91140,6000.000,0.00000,0.01,10.00,3,1,0.05,376.55120,-9.92646,11.84778,11.84737,371.05522,371.37711,-63.11777,-62.46452,376.38521,-9.65381,376.59365,-9.54761,0,0,
3,EIS,00:01:06.208,00:01:11.254,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,4498.731,0,7,14,36,3,16.00000,11.33994,-100.15103,-33.48919,4571.429,0.00000,0.01,10.00,3,0,0.03,105.60187,18.48926,8.63223,8.61335,-131.32179,-136.38692,-48.33678,-51.19900,139.93519,20.20760,145.68023,20.57590,0,0,
3,EIS,00:01:23.217,00:01:28.263,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,3373.572,0,7,14,36,4,16.00000,11.70050,447.70694,-92.28295,3428.572,0.00000,0.01,10.00,3,1,0.05,457.11885,-11.64689,11.69781,11.68920,447.92071,448.02067,-90.99305,-90.77808,457.06968,-11.48312,457.12490,-11.45422,0,0,
3,EIS,00:01:40.117,00:01:45.163,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,2529.822,0,7,14,36,5,16.00000,11.74984,452.45317,-92.00233,2526.316,0.00000,0.01,10.00,3,1,0.05,461.71235,-11.49388,11.74627,11.75747,452.55670,452.67567,-91.15747,-90.89994,461.64624,-11.38857,461.71210,-11.35432,0,0,
3,EIS,00:01:57.179,00:02:02.225,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1897.099,0,7,14,36,6,16.00000,11.77852,462.86035,-93.26159,1882.353,0.00000,0.01,10.00,3,1,0.05,472.16250,-11.39198,11.77931,11.78632,462.96534,463.01568,-92.58920,-92.39250,472.13310,-11.30947,472.14393,-11.28487,0,0,
3,EIS,00:02:14.270,00:02:19.316,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1422.624,0,7,14,36,7,16.00000,11.79811,473.40167,-94.42066,1432.836,0.00000,0.01,10.00,3,1,0.05,482.72601,-11.27971,11.80426,11.79343,473.49906,473.54421,-93.93433,-93.73710,482.72665,-11.22084,482.73260,-11.19684,0,0,
3,EIS,00:02:31.586,00:02:36.632,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1066.817,0,7,14,36,8,16.00000,11.82804,485.78238,-95.82720,1066.667,0.00000,0.01,10.00,3,1,0.05,495.14379,-11.15910,11.81303,11.82120,485.78861,485.87152,-95.41981,-95.26962,495.07122,-11.11271,495.12366,-11.09380,0,0,
