

Measurement ID,6843
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/06 09:43:38
End Time,2024/03/06 09:51:39
Test section,TS006653\EIS00001
Comment,UCT_AST_A02_-40
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.968,00:00:38.011,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,9,14,36,1,16.00000,13.04791,33.86546,3.50956,3000.000,0.00000,0.01,10.00,3,0,0.05,34.04682,5.91659,13.04823,13.04976,33.84865,33.85133,3.50518,3.48608,34.02965,5.91216,34.03036,5.87970,0,0,
3,EIS,00:00:49.983,00:00:55.026,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,9,14,36,2,16.00000,13.04741,34.18222,1.47723,2232.558,0.00000,0.01,10.00,3,0,0.05,34.21412,2.47457,13.04813,13.04898,34.17378,34.17972,1.47046,1.45944,34.20540,2.46386,34.21087,2.44499,0,0,
3,EIS,00:01:06.974,00:01:12.017,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,9,14,36,3,16.00000,13.04690,34.56968,-0.11877,1684.211,0.00000,0.01,10.00,3,0,0.05,34.56989,-0.19685,13.04769,13.04955,34.56785,34.56761,-0.12526,-0.13312,34.56807,-0.20762,34.56786,-0.22065,0,0,
3,EIS,00:01:24.179,00:01:29.222,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,9,14,36,4,16.00000,13.04706,35.04978,-1.53952,1263.158,0.00000,0.01,10.00,3,0,0.05,35.08357,-2.51503,13.04821,13.04933,35.05388,35.06006,-1.53050,-1.54682,35.08728,-2.50002,35.09416,-2.52621,0,0,
3,EIS,00:01:41.566,00:01:46.609,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,9,14,36,5,16.00000,13.04609,35.62813,-2.77511,950.495,0.00000,0.01,10.00,3,0,0.05,35.73604,-4.45383,13.04725,13.04955,35.62944,35.63161,-2.77033,-2.77566,35.73698,-4.44603,35.73955,-4.45427,0,0,
3,EIS,00:01:59.355,00:02:04.398,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,9,14,36,6,16.00000,13.04642,36.29724,-3.95951,711.111,0.00000,0.01,10.00,3,0,0.05,36.51256,-6.22553,13.04572,13.04957,36.30111,36.29835,-3.95424,-3.96062,36.51584,-6.21666,36.51378,-6.22708,0,0,
3,EIS,00:02:17.698,00:02:22.741,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,533.484,0,9,14,36,7,16.00000,13.04551,37.04156,-5.09306,533.333,0.00000,0.01,10.00,3,0,0.05,37.39006,-7.82884,13.04666,13.04653,37.04293,37.03962,-5.09584,-5.10170,37.39179,-7.83278,37.38931,-7.84237,0,0,
3,EIS,00:02:35.913,00:02:40.956,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,400.056,0,9,14,36,8,16.00000,13.04597,37.89774,-6.25994,400.000,0.00000,0.01,10.00,3,0,0.05,38.41127,-9.37942,13.04591,13.04949,37.90596,37.90285,-6.27644,-6.27836,38.42207,-9.40169,38.41932,-9.40527,0,0,
3,EIS,00:02:55.332,00:03:00.375,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,300.000,0,9,14,36,9,16.00000,13.04742,38.92738,-7.51592,300.000,0.00000,0.01,10.00,3,0,0.05,39.64631,-10.92794,13.04615,13.04751,38.92558,38.92812,-7.51765,-7.51432,39.64487,-10.93088,39.64673,-10.92546,0,0,
3,EIS,00:03:15.854,00:03:20.897,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,224.968,0,9,14,36,10,16.00000,13.04345,40.10553,-8.86054,224.824,0.00000,0.01,10.00,3,0,0.05,41.07265,-12.45827,13.04599,13.04827,40.11279,40.10930,-8.85984,-8.86390,41.07959,-12.45513,41.07706,-12.46172,0,0,
3,EIS,00:03:34.635,00:03:39.678,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,168.702,0,9,14,36,11,16.00000,13.04520,41.50591,-10.34818,168.421,0.00000,0.01,10.00,3,0,0.05,42.77645,-13.99947,13.04706,13.04672,41.50027,41.49536,-10.34912,-10.35139,42.77121,-14.00253,42.76700,-14.00707,0,0,
3,EIS,00:03:54.104,00:03:59.147,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,126.509,0,9,14,36,12,16.00000,13.04470,43.07821,-11.97870,126.649,0.00000,0.01,10.00,3,0,0.05,44.71265,-15.53958,13.04572,13.04612,43.07507,43.08242,-11.97030,-11.97134,44.70738,-15.53029,44.71474,-15.52905,0,0,
3,EIS,00:04:14.982,00:04:20.025,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,94.868,0,9,14,36,13,16.00000,13.04482,44.93032,-13.76780,94.862,0.00000,0.01,10.00,3,0,0.05,46.99240,-17.03640,13.04727,13.04783,44.92237,44.92508,-13.76791,-13.76419,46.98484,-17.03937,46.98633,-17.03407,0,0,
3,EIS,00:04:34.744,00:04:39.787,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,71.141,0,9,14,36,14,16.00000,13.04717,46.98146,-15.70108,71.217,0.00000,0.01,10.00,3,0,0.05,49.53566,-18.47949,13.04538,13.04653,46.99032,46.98131,-15.68205,-15.68540,49.53803,-18.45536,49.53055,-18.46235,0,0,
3,EIS,00:04:55.336,00:05:00.379,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,53.348,0,9,14,36,15,16.00000,13.04248,49.20870,-17.81640,53.333,0.00000,0.01,10.00,3,0,0.05,52.33470,-19.90319,13.04523,13.04717,49.21096,49.21409,-17.81558,-17.81898,52.33654,-19.90151,52.34064,-19.90383,0,0,
3,EIS,00:05:14.133,00:05:19.176,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,40.006,0,9,14,36,16,16.00000,13.04415,51.43901,-20.23413,40.000,0.00000,0.01,10.00,3,0,0.05,55.27560,-21.47277,13.04659,13.04762,51.43696,51.43713,-20.23496,-20.22856,55.27399,-21.47434,55.27181,-21.46811,0,0,
3,EIS,00:05:34.416,00:05:39.459,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,30.000,0,9,14,36,17,16.00000,13.04421,53.59425,-23.25862,30.000,0.00000,0.01,10.00,3,0,0.05,58.42351,-23.45969,13.04510,13.04909,53.60867,53.59652,-23.25563,-23.26305,58.43555,-23.45137,58.42736,-23.46279,0,0,
3,EIS,00:05:53.258,00:05:58.301,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,22.497,0,9,14,36,18,16.00000,13.04119,55.71484,-27.19918,22.472,0.00000,0.01,10.00,3,0,0.05,61.99950,-26.02096,13.04447,13.04845,55.69791,55.69423,-27.18935,-27.19196,61.97998,-26.01966,61.97781,-26.02332,0,0,
3,EIS,00:06:13.324,00:06:18.367,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,16.870,0,9,14,36,19,16.00000,13.04371,57.71990,-32.47404,16.854,0.00000,0.01,10.00,3,0,0.05,66.22802,-29.36273,13.04153,13.04675,57.72351,57.71981,-32.45797,-32.45664,66.22328,-29.34908,66.21940,-29.34964,0,0,
3,EIS,00:06:33.868,00:06:38.911,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,12.651,0,9,14,36,20,16.00000,13.04045,59.75407,-39.46451,12.658,0.00000,0.01,10.00,3,0,0.05,71.61003,-33.44272,13.04437,13.04722,59.77963,59.77291,-39.46416,-39.44666,71.63117,-33.43123,71.61592,-33.42250,0,0,
3,EIS,00:06:52.802,00:06:57.845,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,9.487,0,9,14,36,21,16.00000,13.04317,61.98819,-48.84607,9.494,0.00000,0.01,10.00,3,0,0.05,78.92068,-38.23776,13.04844,13.04751,61.96880,61.98345,-48.83905,-48.84147,78.90111,-38.24246,78.91411,-38.23726,0,0,
3,EIS,00:07:12.538,00:07:17.581,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,7.114,0,9,14,36,22,16.00000,13.04735,64.49295,-61.39356,7.109,0.00000,0.01,10.00,3,0,0.05,89.04218,-43.58964,13.04375,13.04180,64.48638,64.48907,-61.36621,-61.38822,89.01857,-43.57980,89.03569,-43.58886,0,0,
3,EIS,00:07:31.263,00:07:36.306,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,5.335,0,9,14,36,23,16.00000,13.04246,67.45113,-77.72237,5.338,0.00000,0.01,10.00,3,0,0.05,102.90977,-49.04702,13.04142,13.04156,67.43322,67.40362,-77.69664,-77.73061,102.87860,-49.04516,102.88487,-49.07001,0,0,
3,EIS,00:07:50.777,00:07:55.820,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,5.000,0,9,14,36,24,16.00000,13.04230,68.02458,-81.99900,5.000,0.00000,0.01,10.00,3,0,0.05,106.54191,-50.32164,13.04677,13.04922,68.04288,67.99408,-82.06788,-82.02434,106.60661,-50.33771,106.54195,-50.34296,0,0,
