

Measurement ID,6809
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,282 - EISPR_UCT_200_3kHz
Start Time,2024/03/04 12:13:53
End Time,2024/03/04 12:20:56
Test section,EIS00001
Comment,Dialing in EIS Program
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.048,0,0,EISPR_UCT_200_3kHz,StartFreq: 10.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,EISPR_UCT_200_3kHz,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,EISPR_UCT_200_3kHz,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.447,00:00:37.495,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,3000.000,0,11,14,36,1,16.00000,12.60340,22.71693,3.87683,3000.000,0.00000,0.01,10.00,3,0,0.05,23.04536,9.68470,12.60353,12.60497,22.70603,22.70528,3.82471,3.87637,23.02590,9.56141,23.03380,9.68843,0,0,
3,EIS,00:00:49.738,00:00:54.786,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,2249.683,0,11,14,36,2,16.00000,12.60339,22.88573,2.35699,2232.558,0.00000,0.01,10.00,3,0,0.05,23.00679,5.88012,12.60423,12.60471,22.88262,22.88518,2.31817,2.35326,22.99975,5.78473,23.00585,5.87104,0,0,
3,EIS,00:01:06.580,00:01:11.628,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,1687.024,0,11,14,36,3,16.00000,12.60286,23.08706,1.18745,1684.211,0.00000,0.01,10.00,3,0,0.05,23.11757,2.94433,12.60385,12.60547,23.08277,23.08214,1.15909,1.18547,23.11185,2.87467,23.11256,2.94006,0,0,
3,EIS,00:01:23.817,00:01:28.865,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,1265.090,0,11,14,36,4,16.00000,12.60325,23.36481,0.19526,1263.158,0.00000,0.01,10.00,3,0,0.05,23.36562,0.47882,12.60439,12.60492,23.36702,23.37373,0.17848,0.19797,23.36770,0.43761,23.37457,0.48528,0,0,
3,EIS,00:01:41.340,00:01:46.388,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,948.683,0,11,14,36,5,16.00000,12.60249,23.69675,-0.62655,950.495,0.00000,0.01,10.00,3,0,0.05,23.70503,-1.51457,12.60382,12.60555,23.69706,23.70112,-0.64304,-0.62854,23.70578,-1.55440,23.70945,-1.51909,0,0,
3,EIS,00:01:58.854,00:02:03.902,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,711.412,0,11,14,36,6,16.00000,12.60324,24.09878,-1.35364,711.111,0.00000,0.01,10.00,3,0,0.05,24.13677,-3.21495,12.60378,12.60474,24.09804,24.09380,-1.36592,-1.34893,24.13672,-3.24416,24.13153,-3.20446,0,0,
3,EIS,00:02:16.863,00:02:21.911,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,533.484,0,11,14,36,7,16.00000,12.60291,24.55011,-1.99607,533.333,0.00000,0.01,10.00,3,0,0.05,24.63112,-4.64826,12.60371,12.60534,24.55154,24.54594,-2.00858,-1.99855,24.63357,-4.67699,24.62717,-4.65481,0,0,
3,EIS,00:02:35.069,00:02:40.117,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,400.056,0,11,14,36,8,16.00000,12.60324,25.05518,-2.57395,400.000,0.00000,0.01,10.00,3,0,0.05,25.18704,-5.86548,12.60330,12.60414,25.06244,25.05858,-2.58558,-2.57813,25.19546,-5.89012,25.19086,-5.87417,0,0,
3,EIS,00:02:54.423,00:02:59.471,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,300.000,0,11,14,36,9,16.00000,12.60434,25.61065,-3.14323,300.000,0.00000,0.01,10.00,3,0,0.05,25.80282,-6.99699,12.60367,12.60513,25.60575,25.60564,-3.14514,-3.13951,25.79818,-7.00253,25.79739,-6.99016,0,0,
3,EIS,00:03:15.170,00:03:20.218,0,0,EISPR_UCT_200_3kHz,,,10.00,3000.00,224.968,0,11,14,36,10,16.00000,12.60192,26.17748,-3.70752,224.824,0.00000,0.01,10.00,3,0,0.05,26.43873,-8.06119,12.60366,12.60614,26.18327,26.17531,-3.71165,-3.71036,26.44504,-8.06830,26.43698,-8.06794,0,0,
