

Measurement ID,6810
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,282 - EISPR_UCT_200_3kHz
Start Time,2024/03/04 12:41:33
End Time,2024/03/04 12:51:15
Test section,EIS00001
Comment, Dialing in EIS Program Final (5Hs-3kHz)
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.050,0,0,EISPR_UCT_200_3kHz,StartFreq: 1.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.050,0,0,EISPR_UCT_200_3kHz,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.050,0,0,EISPR_UCT_200_3kHz,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.523,00:00:37.573,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,3000.000,0,11,14,36,1,16.00000,12.60500,22.61385,3.86856,3000.000,0.00000,0.01,10.00,3,0,0.05,22.94236,9.70764,12.60493,12.60633,22.59495,22.59338,3.82051,3.86552,22.91567,9.59720,22.92167,9.70879,0,0,
3,EIS,00:00:49.503,00:00:54.553,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,2249.683,0,11,14,36,2,16.00000,12.60463,22.76020,2.36368,2232.558,0.00000,0.01,10.00,3,0,0.05,22.88261,5.92900,12.60477,12.60572,22.75817,22.76003,2.31713,2.35482,22.87582,5.81356,22.88152,5.90698,0,0,
3,EIS,00:01:06.609,00:01:11.659,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,1687.024,0,11,14,36,3,16.00000,12.60460,22.97563,1.19208,1684.211,0.00000,0.01,10.00,3,0,0.05,23.00654,2.97010,12.60435,12.60653,22.97243,22.97044,1.15828,1.18897,23.00161,2.88643,23.00119,2.96302,0,0,
3,EIS,00:01:23.714,00:01:28.764,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,1265.090,0,11,14,36,4,16.00000,12.60452,23.23836,0.19475,1263.158,0.00000,0.01,10.00,3,0,0.05,23.23917,0.48015,12.60549,12.60627,23.24392,23.24205,0.17475,0.19628,23.24458,0.43075,23.24288,0.48386,0,0,
3,EIS,00:01:41.178,00:01:46.228,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,948.683,0,11,14,36,5,16.00000,12.60445,23.56591,-0.62858,950.495,0.00000,0.01,10.00,3,0,0.05,23.57429,-1.52789,12.60464,12.60527,23.57249,23.56721,-0.63728,-0.62346,23.58110,-1.54861,23.57546,-1.51537,0,0,
3,EIS,00:01:58.585,00:02:03.635,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,711.412,0,11,14,36,6,16.00000,12.60434,23.96743,-1.35359,711.111,0.00000,0.01,10.00,3,0,0.05,24.00562,-3.23242,12.60431,12.60638,23.97299,23.96806,-1.36961,-1.35716,24.01208,-3.26984,24.00645,-3.24083,0,0,
3,EIS,00:02:16.945,00:02:21.995,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,533.484,0,11,14,36,7,16.00000,12.60429,24.41796,-1.99308,533.333,0.00000,0.01,10.00,3,0,0.05,24.49916,-4.66634,12.60400,12.60700,24.41568,24.41410,-2.00459,-1.99376,24.49783,-4.69360,24.49537,-4.66865,0,0,
3,EIS,00:02:35.898,00:02:40.948,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,400.056,0,11,14,36,8,16.00000,12.60417,24.91241,-2.56135,400.000,0.00000,0.01,10.00,3,0,0.05,25.04374,-5.87019,12.60489,12.60632,24.92083,24.91923,-2.58047,-2.57431,25.05407,-5.91173,25.05185,-5.89809,0,0,
3,EIS,00:02:55.337,00:03:00.387,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,300.000,0,11,14,36,9,16.00000,12.60416,25.45636,-3.14062,300.000,0.00000,0.01,10.00,3,0,0.05,25.64936,-7.03318,12.60571,12.60470,25.45137,25.45191,-3.14093,-3.13443,25.64445,-7.03526,25.64419,-7.02070,0,0,
3,EIS,00:03:15.185,00:03:20.235,0,0,EISPR_UCT_200_3kHz,,,1.00,3000.00,224.968,0,11,14,36,10,16.00000,12.60421,26.01896,-3.70956,224.824,0.00000,0.01,10.00,3,0,0.05,26.28207,-8.11405,12.60464,12.60610,26.03226,26.01845,-3.71112,-3.71305,26.29546,-8.11334,26.28205,-8.12174,0,0,
