

Measurement ID,6811
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/04 12:58:22
End Time,2024/03/04 13:06:26
Test section,EIS00001
Comment,UCT_AST_9AH_A1 Before Harness Fix
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.018,00:00:38.059,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,11,14,36,1,16.00000,12.60460,22.55758,3.87852,3000.000,0.00000,0.01,10.00,3,0,0.05,22.88859,9.75597,12.60473,12.60625,22.54620,22.54859,3.82821,3.87595,22.86889,9.63657,22.87929,9.75344,0,0,
3,EIS,00:00:49.873,00:00:54.914,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,11,14,36,2,16.00000,12.60453,22.73114,2.36055,2232.558,0.00000,0.01,10.00,3,0,0.05,22.85338,5.92873,12.60491,12.60582,22.73001,22.73240,2.31561,2.35157,22.84765,5.81692,22.85371,5.90600,0,0,
3,EIS,00:01:06.908,00:01:11.949,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,11,14,36,3,16.00000,12.60443,22.95231,1.19352,1684.211,0.00000,0.01,10.00,3,0,0.05,22.98332,2.97670,12.60526,12.60573,22.94748,22.94637,1.15845,1.18552,22.97671,2.89000,22.97697,2.95754,0,0,
3,EIS,00:01:24.321,00:01:29.362,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,11,14,36,4,16.00000,12.60488,23.22227,0.19411,1263.158,0.00000,0.01,10.00,3,0,0.05,23.22308,0.47891,12.60482,12.60524,23.22784,23.22320,0.18268,0.20113,23.22856,0.45060,23.22407,0.49621,0,0,
3,EIS,00:01:41.999,00:01:47.040,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,11,14,36,5,16.00000,12.60435,23.55076,-0.62856,950.495,0.00000,0.01,10.00,3,0,0.05,23.55914,-1.52884,12.60427,12.60603,23.55575,23.55971,-0.63467,-0.62286,23.56430,-1.54336,23.56794,-1.51441,0,0,
3,EIS,00:01:59.507,00:02:04.548,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,11,14,36,6,16.00000,12.60431,23.94897,-1.35703,711.111,0.00000,0.01,10.00,3,0,0.05,23.98739,-3.24311,12.60430,12.60644,23.95009,23.94703,-1.36730,-1.35605,23.98909,-3.26744,23.98540,-3.24102,0,0,
