

Measurement ID,6812
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/04 14:24:51
End Time,2024/03/04 14:32:53
Test section,EIS00001
Comment,UCT_AST_9AH_A1 After Harness Fix
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.403,00:00:37.448,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,11,14,36,1,16.00000,12.60586,20.87467,3.88271,3000.000,0.00000,0.01,10.00,3,0,0.05,21.23269,10.53666,12.60586,12.60713,20.86000,20.85583,3.78246,3.82880,21.20016,10.27755,21.20437,10.40276,0,0,
3,EIS,00:00:49.370,00:00:54.415,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,11,14,36,2,16.00000,12.60522,21.00620,2.37691,2232.558,0.00000,0.01,10.00,3,0,0.05,21.14025,6.45572,12.60581,12.60707,21.00438,21.00824,2.28829,2.32527,21.12866,6.21747,21.13654,6.31599,0,0,
3,EIS,00:01:06.841,00:01:11.886,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,11,14,36,3,16.00000,12.60598,21.20075,1.20095,1684.211,0.00000,0.01,10.00,3,0,0.05,21.23474,3.24216,12.60579,12.60629,21.20118,21.20075,1.14279,1.16841,21.23195,3.08538,21.23292,3.15449,0,0,
3,EIS,00:01:24.755,00:01:29.800,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,11,14,36,4,16.00000,12.60592,21.43361,0.20891,1263.158,0.00000,0.01,10.00,3,0,0.05,21.43463,0.55843,12.60575,12.60661,21.43987,21.43747,0.16731,0.18609,21.44052,0.44712,21.43828,0.49735,0,0,
3,EIS,00:01:41.968,00:01:47.013,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,11,14,36,5,16.00000,12.60574,21.75942,-0.62026,950.495,0.00000,0.01,10.00,3,0,0.05,21.76826,-1.63280,12.60566,12.60674,21.75823,21.76229,-0.65002,-0.63587,21.76793,-1.71119,21.77158,-1.67364,0,0,
3,EIS,00:02:00.044,00:02:05.089,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,11,14,36,6,16.00000,12.60516,22.12725,-1.34290,711.111,0.00000,0.01,10.00,3,0,0.05,22.16796,-3.47301,12.60471,12.60741,22.13220,22.10803,-1.36506,-1.34231,22.17425,-3.52940,22.14874,-3.47450,0,0,
3,EIS,00:02:18.161,00:02:23.206,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,533.484,0,11,14,36,7,16.00000,12.60454,22.55241,-1.97724,533.333,0.00000,0.01,10.00,3,0,0.05,22.63892,-5.01050,12.60554,12.60563,22.55706,22.55469,-1.99665,-1.98921,22.64526,-5.05839,22.64224,-5.04017,0,0,
3,EIS,00:02:36.613,00:02:41.658,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,400.056,0,11,14,36,8,16.00000,12.60419,23.02757,-2.55984,400.000,0.00000,0.01,10.00,3,0,0.05,23.16941,-6.34318,12.60451,12.60665,23.03088,23.03161,-2.58097,-2.57343,23.17505,-6.39420,23.17494,-6.37548,0,0,
3,EIS,00:02:55.754,00:03:00.799,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,300.000,0,11,14,36,9,16.00000,12.60440,23.55764,-3.13538,300.000,0.00000,0.01,10.00,3,0,0.05,23.76538,-7.58116,12.60552,12.60573,23.55751,23.55313,-3.14047,-3.13394,23.76592,-7.59337,23.76072,-7.57917,0,0,
3,EIS,00:03:15.896,00:03:20.941,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,224.968,0,11,14,36,10,16.00000,12.16520,4.93323,0.10400,224.824,0.00000,0.01,10.00,3,0,0.05,4.93433,1.20775,12.17468,12.46778,-29.65757,-30.29080,-0.62949,-0.65510,29.66425,1.21593,30.29788,1.23895,0,0,
3,EIS,00:03:35.215,00:03:40.260,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,168.702,0,11,14,36,11,16.00000,12.52980,24.72240,-4.24537,168.421,0.00000,0.01,10.00,3,0,0.05,25.08426,-9.74390,12.53540,12.53229,24.72014,24.72419,-4.24612,-4.24869,25.08216,-9.74646,25.08659,-9.75067,0,0,
3,EIS,00:03:54.758,00:03:59.803,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,126.509,0,11,14,36,12,16.00000,12.54966,25.35480,-4.97064,126.649,0.00000,0.01,10.00,3,0,0.05,25.83744,-11.09178,12.55285,12.55072,25.35258,25.35217,-4.96219,-4.96286,25.83364,-11.07435,25.83336,-11.07597,0,0,
3,EIS,00:04:15.554,00:04:20.599,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,94.868,0,11,14,36,13,16.00000,12.56112,26.08454,-5.84794,94.862,0.00000,0.01,10.00,3,0,0.05,26.73204,-12.63631,12.56033,12.56253,26.08405,26.07885,-5.84370,-5.83754,26.73063,-12.62765,26.72421,-12.61720,0,0,
3,EIS,00:04:34.625,00:04:39.670,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,71.141,0,11,14,36,14,16.00000,12.56512,26.96634,-6.89982,71.217,0.00000,0.01,10.00,3,0,0.05,27.83507,-14.35224,12.56710,12.56874,26.95096,26.95013,-6.90180,-6.89124,27.82066,-14.36403,27.81723,-14.34338,0,0,
3,EIS,00:04:55.326,00:05:00.371,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,53.348,0,11,14,36,15,16.00000,12.57070,28.10797,-8.14565,53.333,0.00000,0.01,10.00,3,0,0.05,29.26448,-16.16152,12.56894,12.57299,28.10643,28.10591,-8.14366,-8.16640,29.26245,-16.15862,29.26828,-16.20166,0,0,
3,EIS,00:05:14.591,00:05:19.636,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,40.006,0,11,14,36,16,16.00000,12.57273,29.57944,-9.57739,40.000,0.00000,0.01,10.00,3,0,0.05,31.09131,-17.94119,12.57404,12.57637,29.59044,29.58106,-9.57562,-9.57497,31.10124,-17.93185,31.09211,-17.93604,0,0,
3,EIS,00:05:34.524,00:05:39.569,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,30.000,0,11,14,36,17,16.00000,12.57715,31.48889,-11.08964,30.000,0.00000,0.01,10.00,3,0,0.05,33.38458,-19.40106,12.57656,12.57743,31.47818,31.48388,-11.09203,-11.09597,33.37528,-19.41103,33.38196,-19.41416,0,0,
3,EIS,00:05:53.357,00:05:58.402,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,22.497,0,11,14,36,18,16.00000,12.57772,33.91723,-12.54167,22.472,0.00000,0.01,10.00,3,0,0.05,36.16175,-20.29303,12.57954,12.57766,33.89414,33.89870,-12.54174,-12.54108,36.14011,-20.30582,36.14416,-20.30233,0,0,
3,EIS,00:06:12.804,00:06:17.849,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,16.870,0,11,14,36,19,16.00000,12.57901,36.68625,-13.79224,16.854,0.00000,0.01,10.00,3,0,0.05,39.19320,-20.60381,12.57990,12.57879,36.68466,36.67592,-13.77338,-13.79949,39.18507,-20.57881,39.18608,-20.61905,0,0,
3,EIS,00:06:33.393,00:06:38.438,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,12.651,0,11,14,36,20,16.00000,12.58062,39.77830,-14.64611,12.658,0.00000,0.01,10.00,3,0,0.05,42.38893,-20.21337,12.58013,12.58055,39.79173,39.79588,-14.64361,-14.63065,42.40068,-20.20393,42.40010,-20.18556,0,0,
3,EIS,00:06:52.800,00:06:57.845,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,9.487,0,11,14,36,21,16.00000,12.57952,43.10886,-15.12488,9.494,0.00000,0.01,10.00,3,0,0.05,45.68518,-19.33358,12.58246,12.58269,43.07149,43.06997,-15.09752,-15.08584,45.64087,-19.31670,45.63556,-19.30349,0,0,
3,EIS,00:07:13.103,00:07:18.148,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,7.114,0,11,14,36,22,16.00000,12.58303,46.22483,-15.17049,7.109,0.00000,0.01,10.00,3,0,0.05,48.65058,-18.16928,12.58107,12.58504,46.20112,46.21422,-15.18748,-15.19791,48.63336,-18.19701,48.64906,-18.20386,0,0,
