

Measurement ID,6814
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/04 14:37:29
End Time,2024/03/04 14:45:31
Test section,EIS00001
Comment,UCT_AST_9AH_A1 After Harness Fix - REPEAT (Anomaly)
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.149,00:00:38.197,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,11,14,36,1,16.00000,12.59284,19.04182,3.94522,3000.000,0.00000,0.01,10.00,3,0,0.05,19.44623,11.70533,12.59323,12.59417,19.03044,19.02556,3.89055,3.93293,19.42406,11.55424,19.42781,11.67957,0,0,
3,EIS,00:00:50.309,00:00:55.357,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,11,14,36,2,16.00000,12.59289,19.20132,2.41615,2232.558,0.00000,0.01,10.00,3,0,0.05,19.35274,7.17197,12.59334,12.59431,19.19569,19.20230,2.36861,2.40573,19.34127,7.03433,19.35241,7.14101,0,0,
3,EIS,00:01:07.373,00:01:12.421,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,11,14,36,3,16.00000,12.59344,19.41561,1.22740,1684.211,0.00000,0.01,10.00,3,0,0.05,19.45437,3.61725,12.59351,12.59416,19.41873,19.41531,1.20694,1.22806,19.45620,3.55656,19.45411,3.61925,0,0,
3,EIS,00:01:24.330,00:01:29.378,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,11,14,36,4,16.00000,12.59323,19.68237,0.22317,1263.158,0.00000,0.01,10.00,3,0,0.05,19.68363,0.64963,12.59421,12.59487,19.68410,19.67795,0.21324,0.22849,19.68525,0.62066,19.67928,0.66525,0,0,
3,EIS,00:01:41.641,00:01:46.689,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,11,14,36,5,16.00000,12.59344,20.00622,-0.60003,950.495,0.00000,0.01,10.00,3,0,0.05,20.01522,-1.71792,12.59451,12.59517,20.00802,20.00266,-0.60641,-0.59604,20.01721,-1.73602,20.01154,-1.70679,0,0,
3,EIS,00:01:59.378,00:02:04.426,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,11,14,36,6,16.00000,12.59365,20.39122,-1.32080,711.111,0.00000,0.01,10.00,3,0,0.05,20.43395,-3.70604,12.59327,12.59590,20.39953,20.39436,-1.33383,-1.32134,20.44309,-3.74097,20.43712,-3.70698,0,0,
