

Measurement ID,6820
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/05 10:23:44
End Time,2024/03/05 10:31:44
Test section,EIS00001
Comment,UCT_AST_9AH_A05_+RT1
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.583,00:00:37.621,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,11,14,36,1,16.00000,12.55574,19.73727,4.50832,3000.000,0.00000,0.01,10.00,3,0,0.05,20.24561,12.86659,12.55581,12.55731,19.72463,19.72232,4.42113,4.45016,20.21404,12.63362,20.21816,12.71532,0,0,
3,EIS,00:00:49.439,00:00:54.477,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,11,14,36,2,16.00000,12.55529,19.86491,2.90221,2232.558,0.00000,0.01,10.00,3,0,0.05,20.07579,8.31194,12.55612,12.55728,19.85689,19.85576,2.83120,2.85523,20.05772,8.11454,20.05999,8.18294,0,0,
3,EIS,00:01:06.647,00:01:11.685,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,11,14,36,3,16.00000,12.55571,20.02536,1.67239,1684.211,0.00000,0.01,10.00,3,0,0.05,20.09507,4.77390,12.55579,12.55659,20.02458,20.02500,1.62050,1.63859,20.09005,4.62661,20.09193,4.67794,0,0,
3,EIS,00:01:23.622,00:01:28.660,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,11,14,36,4,16.00000,12.55522,20.26500,0.64271,1263.158,0.00000,0.01,10.00,3,0,0.05,20.27519,1.81654,12.55592,12.55632,20.26882,20.27339,0.60958,0.62508,20.27798,1.72264,20.28303,1.76602,0,0,
3,EIS,00:01:40.922,00:01:45.960,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,11,14,36,5,16.00000,12.55520,20.54594,-0.19317,950.495,0.00000,0.01,10.00,3,0,0.05,20.54685,-0.53868,12.55498,12.55636,20.54463,20.54690,-0.21558,-0.20849,20.54576,-0.60120,20.54796,-0.58136,0,0,
3,EIS,00:01:58.389,00:02:03.427,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,11,14,36,6,16.00000,12.55514,20.89376,-0.92326,711.111,0.00000,0.01,10.00,3,0,0.05,20.91415,-2.53017,12.55501,12.55761,20.89250,20.89190,-0.93896,-0.93146,20.91359,-2.57328,20.91265,-2.55281,0,0,
