

Measurement ID,6830
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/05 16:37:12
End Time,2024/03/05 16:45:15
Test section,EIS00001
Comment,UCT_AST_9AH_A06_-20_POC
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.230,00:00:38.276,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,11,14,36,1,16.00000,12.41677,22.35901,4.09444,3000.000,0.00000,0.01,10.00,3,0,0.05,22.73081,10.37718,12.41683,12.41817,22.34870,22.34744,4.00522,4.16010,22.70476,10.16040,22.73135,10.54521,0,0,
3,EIS,00:00:50.156,00:00:55.202,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,11,14,36,2,16.00000,11.56090,-22.92766,-5.26969,2232.558,0.00000,0.01,10.00,3,0,0.05,23.52546,12.94405,11.57409,11.89207,-35.91751,-35.64368,-8.53889,-8.60784,36.91856,13.37303,36.66833,13.57681,0,0,
3,EIS,00:01:06.906,00:01:11.952,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,11,14,36,3,16.00000,11.47721,-15.30382,-2.88675,1684.211,0.00000,0.01,10.00,3,0,0.05,15.57370,10.68216,11.83446,11.51228,-27.28722,-27.26294,-5.17981,-5.24817,27.77450,10.74832,27.76349,10.89626,0,0,
3,EIS,00:01:24.270,00:01:29.316,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,11,14,36,4,16.00000,12.05498,23.23342,-0.43370,1263.158,0.00000,0.01,10.00,3,0,0.05,23.23747,-1.06943,12.05993,12.06624,23.23366,23.23535,-0.46551,-0.40269,23.23833,-1.14782,23.23883,-0.99289,0,0,
3,EIS,00:01:42.027,00:01:47.073,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,11,14,36,5,16.00000,12.11662,23.67729,-1.52878,950.495,0.00000,0.01,10.00,3,0,0.05,23.72659,-3.69431,12.12030,12.11800,23.67486,23.67923,-1.55408,-1.50883,23.72581,-3.75566,23.72725,-3.64594,0,0,
3,EIS,00:01:59.891,00:02:04.937,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,11,14,36,6,16.00000,12.15020,24.21539,-2.54432,711.111,0.00000,0.01,10.00,3,0,0.05,24.34869,-5.99809,12.15302,12.15194,24.21639,24.21981,-2.56097,-2.52332,24.35143,-6.03678,24.35090,-5.94786,0,0,
3,EIS,00:02:18.712,00:02:23.758,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,533.484,0,11,14,36,7,16.00000,12.17185,24.83737,-3.49752,533.333,0.00000,0.01,10.00,3,0,0.05,25.08242,-8.01551,12.17403,12.17253,24.83259,24.83320,-3.51486,-3.48118,25.08010,-8.05626,25.07601,-7.97987,0,0,
3,EIS,00:02:37.040,00:02:42.086,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,400.056,0,11,14,36,8,16.00000,12.18820,25.55214,-4.45041,400.000,0.00000,0.01,10.00,3,0,0.05,25.93681,-9.88008,12.19132,12.18928,25.55721,25.55603,-4.46792,-4.45078,25.94482,-9.91626,25.94071,-9.87941,0,0,
3,EIS,00:02:56.220,00:03:01.266,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,300.000,0,11,14,36,9,16.00000,12.20369,26.40181,-5.43482,300.000,0.00000,0.01,10.00,3,0,0.05,26.95539,-11.63187,12.20329,12.20414,26.39179,26.39273,-5.43938,-5.42205,26.94649,-11.64566,26.94392,-11.60917,0,0,
3,EIS,00:03:16.231,00:03:21.277,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,224.968,0,11,14,36,10,16.00000,12.21337,27.37434,-6.44528,224.824,0.00000,0.01,10.00,3,0,0.05,28.12287,-13.24896,12.21566,12.21535,27.37140,27.37024,-6.44451,-6.43685,28.11984,-13.24880,28.11696,-13.23416,0,0,
3,EIS,00:03:34.820,00:03:39.866,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,168.702,0,11,14,36,11,16.00000,12.22099,28.48921,-7.48930,168.421,0.00000,0.01,10.00,3,0,0.05,29.45717,-14.72878,12.22458,12.22595,28.47358,28.47557,-7.49234,-7.48306,29.44282,-14.74223,29.44239,-14.72378,0,0,
3,EIS,00:03:55.069,00:04:00.115,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,126.509,0,11,14,36,12,16.00000,12.22921,29.68689,-8.58884,126.649,0.00000,0.01,10.00,3,0,0.05,30.90437,-16.13590,12.23264,12.23089,29.66946,29.67497,-8.59628,-8.58693,30.88969,-16.15815,30.89238,-16.13866,0,0,
3,EIS,00:04:15.530,00:04:20.576,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,94.868,0,11,14,36,13,16.00000,12.23746,30.92975,-9.80342,94.862,0.00000,0.01,10.00,3,0,0.05,32.44621,-17.58641,12.24008,12.23878,30.92038,30.91348,-9.80783,-9.80327,32.43861,-17.59883,32.43066,-17.59485,0,0,
3,EIS,00:04:34.936,00:04:39.982,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,71.141,0,11,14,36,14,16.00000,12.24511,32.19044,-11.25024,71.217,0.00000,0.01,10.00,3,0,0.05,34.09974,-19.26402,12.24582,12.24470,32.18783,32.19336,-11.25180,-11.24804,34.09779,-19.26793,34.10178,-19.25891,0,0,
3,EIS,00:04:55.067,00:05:00.113,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,53.348,0,11,14,36,15,16.00000,12.25118,33.48158,-13.08687,53.333,0.00000,0.01,10.00,3,0,0.05,35.94833,-21.34893,12.25133,12.24962,33.48570,33.47584,-13.08262,-13.08917,35.95062,-21.34022,35.94382,-21.35567,0,0,
