

Measurement ID,6840
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/06 09:15:08
End Time,2024/03/06 09:23:10
Test section,EIS00001
Comment,Test verifcation
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.153,00:00:37.202,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,-2,14,36,1,16.00000,12.10419,90.19132,-4.23848,3000.000,0.00000,0.01,10.00,3,0,0.05,90.29086,-2.69060,12.10554,12.10630,90.19847,90.20521,-3.91529,-4.00156,90.28341,-2.48551,90.29392,-2.54001,0,0,
3,EIS,00:00:49.258,00:00:54.307,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,-2,14,36,2,16.00000,12.10658,91.81983,-6.65045,2232.558,0.00000,0.01,10.00,3,0,0.05,92.06036,-4.14266,12.10544,12.10636,91.81678,91.83045,-6.41066,-6.46437,92.04030,-3.99392,92.05770,-4.02667,0,0,
3,EIS,00:01:06.384,00:01:11.433,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,-2,14,36,3,16.00000,12.10459,92.89517,-8.61339,1684.211,0.00000,0.01,10.00,3,0,0.05,93.29363,-5.29741,12.10728,12.10427,92.89087,92.90116,-8.41903,-8.47641,93.27162,-5.17877,93.28706,-5.21330,0,0,
3,EIS,00:01:24.535,00:01:29.584,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,-2,14,36,4,16.00000,12.10419,94.22402,-10.40666,1263.158,0.00000,0.01,10.00,3,0,0.05,94.79697,-6.30254,12.10505,12.10487,94.24039,94.24578,-10.24987,-10.29124,94.79615,-6.20726,94.80600,-6.23176,0,0,
3,EIS,00:01:41.639,00:01:46.688,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,-2,14,36,5,16.00000,12.10152,96.08410,-11.99516,950.495,0.00000,0.01,10.00,3,0,0.05,96.82994,-7.11600,12.10483,12.10681,96.08520,96.09062,-11.86985,-11.91310,96.81559,-7.04233,96.82629,-7.06734,0,0,
3,EIS,00:01:59.795,00:02:04.844,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,-2,14,36,6,16.00000,12.10031,98.16279,-13.51326,711.111,0.00000,0.01,10.00,3,0,0.05,99.08856,-7.83817,12.10462,12.10224,98.17091,98.17456,-13.42579,-13.45038,99.08470,-7.78742,99.09166,-7.80122,0,0,
3,EIS,00:02:17.776,00:02:22.825,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,533.484,0,-2,14,36,7,16.00000,12.10638,100.38517,-14.97353,533.333,0.00000,0.01,10.00,3,0,0.05,101.49576,-8.48374,12.10440,12.10981,100.38485,100.38277,-14.91277,-14.92094,101.48649,-8.44983,101.48564,-8.45457,0,0,
3,EIS,00:02:36.243,00:02:41.292,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,400.056,0,-2,14,36,8,16.00000,12.09955,102.73628,-16.41295,400.000,0.00000,0.01,10.00,3,0,0.05,104.03907,-9.07676,12.09921,12.10532,102.76134,102.76484,-16.39925,-16.41058,104.06165,-9.06714,104.06690,-9.07299,0,0,
3,EIS,00:02:55.072,00:03:00.121,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,300.000,0,-2,14,36,9,16.00000,12.10630,105.29932,-17.97658,300.000,0.00000,0.01,10.00,3,0,0.05,106.82277,-9.68807,12.10380,12.10007,105.28305,105.28398,-17.93637,-17.93942,106.79997,-9.66828,106.80140,-9.66981,0,0,
3,EIS,00:03:15.240,00:03:20.289,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,224.968,0,-2,14,36,10,16.00000,12.10743,107.98575,-19.59041,224.824,0.00000,0.01,10.00,3,0,0.05,109.74838,-10.28257,12.10603,12.10458,107.97652,107.97962,-19.55513,-19.57160,109.73300,-10.26531,109.73899,-10.27348,0,0,
3,EIS,00:03:34.795,00:03:39.844,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,168.702,0,-2,14,36,11,16.00000,12.09698,110.93102,-21.33168,168.421,0.00000,0.01,10.00,3,0,0.05,112.96341,-10.88493,12.10313,12.10828,110.90871,110.91279,-21.30341,-21.30933,112.93616,-10.87298,112.94129,-10.87554,0,0,
3,EIS,00:03:54.256,00:03:59.305,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,126.509,0,-2,14,36,12,16.00000,12.10038,114.02924,-23.21090,126.649,0.00000,0.01,10.00,3,0,0.05,116.36758,-11.50550,12.10296,12.10100,114.02088,114.02678,-23.18758,-23.18604,116.35474,-11.49506,116.36021,-11.49374,0,0,
