

Measurement ID,6861
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/06 16:47:20
End Time,2024/03/06 16:55:21
Test section,EIS00001
Comment,UCT_AST_A08_-30
OrderNo,UCT001
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.017,00:00:38.064,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.27255,58.49122,0.72905,3000.000,0.00000,0.01,10.00,3,0,0.05,58.49576,0.71411,12.27415,12.27480,58.47887,58.48544,0.70401,0.74355,58.48310,0.68973,58.49017,0.72839,0,0,
3,EIS,00:00:49.810,00:00:54.857,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,9,14,36,2,16.00000,12.27163,59.26787,-1.45775,2232.558,0.00000,0.01,10.00,3,0,0.05,59.28580,-1.40896,12.27325,12.27444,59.26605,59.27424,-1.47196,-1.43852,59.28432,-1.42274,59.29169,-1.39024,0,0,
3,EIS,00:01:07.166,00:01:12.213,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,9,14,36,3,16.00000,12.27220,60.09208,-3.22906,1684.211,0.00000,0.01,10.00,3,0,0.05,60.17877,-3.07584,12.27329,12.27406,60.09790,60.09602,-3.23657,-3.20238,60.18499,-3.08268,60.18128,-3.05027,0,0,
3,EIS,00:01:24.501,00:01:29.548,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,9,14,36,4,16.00000,12.27334,61.03156,-4.81439,1263.158,0.00000,0.01,10.00,3,0,0.05,61.22116,-4.51036,12.27226,12.27141,61.03789,61.04235,-4.81023,-4.79703,61.22713,-4.50601,61.23055,-4.49337,0,0,
3,EIS,00:01:41.813,00:01:46.860,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,9,14,36,5,16.00000,12.27120,62.07572,-6.23652,950.495,0.00000,0.01,10.00,3,0,0.05,62.38821,-5.73704,12.27011,12.27276,62.07097,62.07509,-6.23464,-6.22442,62.38330,-5.73576,62.38638,-5.72605,0,0,
3,EIS,00:01:59.695,00:02:04.742,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,9,14,36,6,16.00000,12.27018,63.24983,-7.61869,711.111,0.00000,0.01,10.00,3,0,0.05,63.70703,-6.86841,12.27115,12.27007,63.25231,63.25231,-7.62295,-7.61561,63.71000,-6.87194,63.70912,-6.86539,0,0,
