

Measurement ID,6862
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/06 16:57:35
End Time,2024/03/06 17:03:07
Test section,EIS00001
Comment,UCT_AST_A09_-30 FAIL
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.161,00:00:38.203,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.22839,141.24885,-12.12452,3000.000,0.00000,0.01,10.00,3,0,0.05,141.76827,-4.90613,12.22596,12.22784,141.27080,141.28225,-11.97166,-11.83334,141.77715,-4.84382,141.77694,-4.78773,0,0,
3,EIS,00:00:50.180,00:00:55.222,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,9,14,36,2,16.00000,10.50422,-24.61281,-4.71657,2232.558,0.00000,0.01,10.00,3,0,0.05,25.06066,10.84811,10.51346,11.45850,-64.80539,-65.65434,-13.22823,-13.57830,66.14170,11.53686,67.04373,11.68489,0,0,
3,EIS,00:01:07.133,00:01:12.175,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,9,14,36,3,16.00000,10.42114,-25.79214,-3.60435,1684.211,0.00000,0.01,10.00,3,0,0.05,26.04277,7.95535,11.41466,10.44742,-61.59326,-62.47597,-9.44447,-9.69396,62.31314,8.71761,63.22357,8.81986,0,0,
3,EIS,00:01:25.029,00:01:30.071,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,9,14,36,4,16.00000,11.42009,-21.81351,-2.11133,1263.158,0.00000,0.01,10.00,3,0,0.05,21.91545,5.52844,10.42253,10.42793,-55.21739,-56.10052,-6.25852,-6.43810,55.57093,6.46650,56.46874,6.54663,0,0,
3,EIS,00:01:43.040,00:01:48.082,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,9,14,36,5,16.00000,10.38697,-19.17812,-1.22024,950.495,0.00000,0.01,10.00,3,0,0.05,19.21690,3.64065,11.43488,10.41208,-50.82814,-51.71702,-4.21516,-4.35697,51.00263,4.74068,51.90022,4.81559,0,0,
3,EIS,00:02:00.546,00:02:05.588,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,9,14,36,6,16.00000,11.45225,-17.52835,-0.65005,711.111,0.00000,0.01,10.00,3,0,0.05,17.54040,2.12387,10.39849,10.40007,-48.15960,-49.03913,-2.83662,-2.93917,48.24306,3.37085,49.12713,3.42993,0,0,
3,EIS,00:02:19.415,00:02:24.457,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,533.484,0,9,14,36,7,16.00000,10.36432,-16.02540,-0.25425,533.333,0.00000,0.01,10.00,3,0,0.05,16.02742,0.90894,11.47257,10.39210,-45.49965,-46.37478,-1.85438,-1.93066,45.53742,2.33385,46.41495,2.38395,0,0,
3,EIS,00:02:37.687,00:02:42.729,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,400.056,0,9,14,36,8,16.00000,10.35310,-14.72750,0.00095,400.000,0.00000,0.01,10.00,3,0,0.05,14.72750,-0.00370,11.49536,10.38073,-43.58542,-44.44052,-1.17814,-1.22474,43.60134,1.54837,44.45739,1.57863,0,0,
3,EIS,00:02:57.035,00:03:02.077,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,300.000,0,9,14,36,9,16.00000,11.70017,191.99799,-35.10762,300.000,0.00000,0.01,10.00,3,0,0.05,195.18139,-10.36229,11.69254,11.71924,191.97187,191.98987,-35.06478,-35.04230,195.14799,-10.35130,195.16166,-10.34386,0,0,
3,EIS,00:03:17.196,00:03:22.238,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,224.968,0,9,14,36,10,16.00000,11.77726,198.53544,-37.45678,224.824,0.00000,0.01,10.00,3,0,0.05,202.03795,-10.68415,11.78619,11.78087,198.52978,198.52881,-37.43312,-37.43306,202.02800,-10.67785,202.02704,-10.67789,0,0,
3,EIS,00:03:36.291,00:03:41.333,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,168.702,0,9,14,36,11,16.00000,11.51764,-19.97177,0.42278,168.421,0.00000,0.01,10.00,3,0,0.05,19.97625,-1.21271,10.37662,10.37747,-53.14718,-54.03739,-0.13384,-0.15487,53.14735,0.14429,54.03761,0.16420,0,0,
3,EIS,00:03:56.870,00:04:01.912,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,126.509,0,9,14,36,12,16.00000,10.33725,-19.03739,0.47231,126.649,0.00000,0.01,10.00,3,0,0.05,19.04325,-1.42121,11.53638,10.36297,-49.60445,-50.39541,0.08829,0.06624,49.60453,-0.10198,50.39545,-0.07530,0,0,
3,EIS,00:04:17.184,00:04:22.226,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,94.868,0,9,14,36,13,16.00000,11.56250,-18.85737,0.51918,94.862,0.00000,0.01,10.00,3,0,0.05,18.86452,-1.57707,10.34753,10.35178,-48.51985,-49.33241,0.21807,0.21231,48.52034,-0.25751,49.33287,-0.24658,0,0,
3,EIS,00:04:36.410,00:04:41.452,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,71.141,0,9,14,36,14,16.00000,10.31746,-19.96342,0.46138,71.217,0.00000,0.01,10.00,3,0,0.05,19.96875,-1.32393,10.33564,11.53341,-48.86670,-49.67735,0.26925,0.25522,48.86745,-0.31569,49.67801,-0.29436,0,0,
3,EIS,00:04:56.729,00:05:01.771,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,53.348,0,9,14,36,15,16.00000,10.30501,-22.06717,0.54658,53.333,0.00000,0.01,10.00,3,0,0.05,22.07393,-1.41886,11.55847,10.32960,-50.17659,-50.96331,0.39084,0.39606,50.17811,-0.44628,50.96485,-0.44527,0,0,
3,EIS,00:05:16.329,00:05:21.371,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,40.006,0,9,14,36,16,16.00000,11.52900,-25.39909,0.33046,40.000,0.00000,0.01,10.00,3,0,0.05,25.40124,-0.74541,10.31111,10.31667,-53.28336,-54.03100,0.22311,0.22508,53.28382,-0.23991,54.03147,-0.23868,0,0,
3,MSG,00:05:20.876,00:05:25.918,0,0,UCT_AST9AH_EIS,Stop via BTS-host computer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:05:20.876,00:05:25.918,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,30.000,0,9,14,36,0,12.00000,10.33853,-25.39909,0.33046,30.000,0.00000,0.01,10.00,3,0,0.05,25.40124,-0.74541,10.34415,10.38243,-53.28336,-54.03100,0.22311,0.22508,53.28382,-0.23991,54.03147,-0.23868,0,0,
3,EIS,00:05:20.876,00:05:25.918,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
