

Measurement ID,6878
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/07 09:47:11
End Time,2024/03/07 09:49:08
Test section,EIS00001
Comment,UCT_AST_A10_-20 FAIL
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 8000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.042,00:00:38.083,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,8000.000,0,9,14,36,1,16.00000,11.79155,339.77467,-48.51136,8000.000,0.00000,0.01,10.00,3,0,0.05,343.22030,-8.12550,11.78899,11.79120,339.85311,340.26638,-46.35325,-45.64139,342.99965,-7.76676,343.31377,-7.63973,0,0,
3,EIS,00:00:49.979,00:00:55.020,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,5999.154,0,9,14,36,2,16.00000,11.81023,352.96315,-53.91831,6000.000,0.00000,0.01,10.00,3,1,0.05,357.05765,-8.68530,11.81099,11.81297,353.05956,353.35279,-52.19789,-51.58941,356.89729,-8.40994,357.09895,-8.30648,0,0,
3,ERR,00:01:00.951,00:01:05.992,0,0,UCT_AST9AH_EIS,EISmeter: Voltage channel 1 reached voltage limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:01:00.961,00:01:06.002,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,4498.731,0,9,14,36,65535,19.00000,9.00637,352.96315,-53.91831,4571.429,5017.00000,0.01,10.00,3,1,0.05,357.05765,-8.68530,9.02640,9.04718,353.05956,353.35279,-52.19789,-51.58941,356.89729,-8.40994,357.09895,-8.30648,0,0,
3,EIS,00:01:00.961,00:01:06.002,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:01:00.967,00:01:06.008,0,0,UCT_AST9AH_EIS,Stop via BTS-host computer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
