

Measurement ID,6880
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/07 09:52:57
End Time,2024/03/07 10:02:15
Test section,EIS00001
Comment,UCT_AST_A10_-20 RUN 1
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 8000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.342,00:00:37.388,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,8000.000,0,7,14,36,1,16.00000,11.87377,322.05635,-43.39674,8000.000,0.00000,0.01,10.00,3,0,0.05,324.96703,-7.67432,11.87299,11.87238,322.10612,322.48098,-41.32716,-40.66240,324.74650,-7.31127,325.03448,-7.18663,0,0,
3,EIS,00:00:49.252,00:00:54.298,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,5999.154,0,7,14,36,2,16.00000,11.32789,-74.61841,-37.51069,6000.000,0.00000,0.01,10.00,3,0,0.03,83.51621,26.68868,9.09686,9.08377,-104.21363,-107.74165,-56.37431,-59.45959,118.48436,28.41115,123.05976,28.89307,0,0,
3,EIS,00:01:06.392,00:01:11.438,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,4498.731,0,7,14,36,3,16.00000,8.86466,-76.91170,-27.70382,4571.429,0.00000,0.01,10.00,3,0,0.04,81.74907,19.80917,11.33176,8.90293,-105.00352,-108.50094,-41.16361,-43.30834,112.78378,21.40623,116.82494,21.75950,0,0,
3,EIS,00:01:23.219,00:01:28.265,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,3373.572,0,7,14,36,4,16.00000,11.69533,419.41807,-78.43256,3428.572,0.00000,0.01,10.00,3,1,0.05,426.68862,-10.59216,11.68463,11.69737,419.59876,419.68364,-77.21590,-77.02033,426.64436,-10.42709,426.69249,-10.39920,0,0,
3,EIS,00:01:40.311,00:01:45.357,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,2529.822,0,7,14,36,5,16.00000,11.75711,423.36720,-79.32684,2526.316,0.00000,0.01,10.00,3,1,0.05,430.73488,-10.61253,11.75163,11.75224,423.44695,423.55528,-78.52708,-78.29174,430.66672,-10.50599,430.73040,-10.47259,0,0,
3,EIS,00:01:57.242,00:02:02.288,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1897.099,0,7,14,36,6,16.00000,11.78195,432.32334,-81.17779,1882.353,0.00000,0.01,10.00,3,1,0.05,439.87874,-10.63466,11.77971,11.78654,432.40616,432.44839,-80.53831,-80.36613,439.84259,-10.55079,439.85261,-10.52774,0,0,
3,EIS,00:02:14.372,00:02:19.418,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1422.624,0,7,14,36,7,16.00000,11.41668,-88.25528,-5.43051,1432.836,0.00000,0.01,10.00,3,0,0.05,88.42220,3.52108,8.82143,8.81393,-119.17669,-123.44321,-9.88017,-10.61782,119.58554,4.73919,123.89901,4.91613,0,0,
3,EIS,00:02:31.598,00:02:36.644,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1066.817,0,7,14,36,8,16.00000,11.70126,502.20239,-97.77395,1066.667,0.00000,0.01,10.00,3,1,0.05,511.63169,-11.01711,11.70016,11.69700,502.20805,502.29448,-97.35280,-97.20064,511.55693,-10.97069,511.61285,-10.95212,0,0,
