

Measurement ID,6882
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/07 13:38:29
End Time,2024/03/07 13:47:22
Test section,EIS00001
Comment,B1 POST LOADSHEDDING TEST
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.054,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 8000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.054,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.054,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.502,00:00:38.556,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,8000.000,0,7,14,36,1,16.00000,12.53854,17.63311,13.81680,8000.000,0.00000,0.01,10.00,3,0,0.05,22.40157,38.08125,12.53867,12.54024,17.55897,17.53971,13.97470,13.87167,22.44125,38.51533,22.36212,38.33949,0,0,
3,EIS,00:00:50.243,00:00:55.297,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,5999.154,0,7,14,36,2,16.00000,12.53889,18.45815,10.56699,6000.000,0.00000,0.01,10.00,3,0,0.05,21.26887,29.79043,12.53916,12.54076,18.42869,18.41113,10.72069,10.63907,21.32017,30.18824,21.26404,30.02193,0,0,
3,EIS,00:01:06.756,00:01:11.810,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,4498.731,0,7,14,36,3,16.00000,12.53891,18.42682,7.92988,4571.429,0.00000,0.01,10.00,3,0,0.05,20.06067,23.28437,12.53931,12.54075,18.39910,18.39158,8.07233,7.98741,20.09203,23.68874,20.05116,23.47516,0,0,
3,EIS,00:01:23.555,00:01:28.609,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,3373.572,0,7,14,36,4,16.00000,12.53949,18.42221,5.64497,3428.572,0.00000,0.01,10.00,3,0,0.05,19.26767,17.03621,12.53937,12.54116,18.40971,18.40700,5.74283,5.67970,19.28465,17.32508,19.26335,17.14825,0,0,
3,EIS,00:01:40.312,00:01:45.366,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,2529.822,0,7,14,36,5,16.00000,12.53958,18.53184,3.70444,2526.316,0.00000,0.01,10.00,3,0,0.05,18.89847,11.30420,12.53980,12.54118,18.52471,18.51878,3.77671,3.73318,18.90577,11.52322,18.89131,11.39743,0,0,
3,EIS,00:01:57.551,00:02:02.605,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1897.099,0,7,14,36,6,16.00000,12.53940,18.71007,2.23929,1882.353,0.00000,0.01,10.00,3,0,0.05,18.84360,6.82489,12.54006,12.54134,18.70237,18.69776,2.28790,2.25336,18.84179,6.97445,18.83305,6.87185,0,0,
3,EIS,00:02:15.035,00:02:20.089,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1422.624,0,7,14,36,7,16.00000,12.53944,18.89287,1.13064,1432.836,0.00000,0.01,10.00,3,0,0.05,18.92668,3.42478,12.53994,12.54093,18.89484,18.89440,1.16744,1.14163,18.93087,3.53558,18.92886,3.45769,0,0,
3,EIS,00:02:32.992,00:02:38.046,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,1066.817,0,7,14,36,8,16.00000,12.53927,19.17786,0.13355,1066.667,0.00000,0.01,10.00,3,0,0.05,19.17832,0.39899,12.54011,12.54085,19.17193,19.17938,0.16460,0.14704,19.17263,0.49190,19.17995,0.43925,0,0,
3,EIS,00:02:51.652,00:02:56.706,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,800.000,0,7,14,36,9,16.00000,12.54034,19.51638,-0.67074,800.000,0.00000,0.01,10.00,3,0,0.05,19.52790,-1.96838,12.54002,12.54208,19.50907,19.51185,-0.64620,-0.66107,19.51977,-1.89711,19.52305,-1.94046,0,0,
3,EIS,00:03:09.295,00:03:14.349,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,599.915,0,7,14,36,10,16.00000,12.53973,19.89160,-1.36882,600.000,0.00000,0.01,10.00,3,0,0.05,19.93864,-3.93654,12.54000,12.54096,19.89143,19.89204,-1.34682,-1.36049,19.93697,-3.87349,19.93851,-3.91257,0,0,
3,EIS,00:03:28.059,00:03:33.113,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,449.873,0,7,14,36,11,16.00000,12.53951,20.31757,-1.98698,450.704,0.00000,0.01,10.00,3,0,0.05,20.41449,-5.58555,12.54063,12.54143,20.31947,20.32019,-1.98187,-1.98166,20.41589,-5.57075,20.41659,-5.56996,0,0,
3,EIS,00:03:46.704,00:03:51.758,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,337.357,0,7,14,36,12,16.00000,12.53912,20.81464,-2.57594,336.842,0.00000,0.01,10.00,3,0,0.05,20.97343,-7.05483,12.54007,12.54259,20.81171,20.80455,-2.55796,-2.56642,20.96832,-7.00705,20.96224,-7.03239,0,0,
3,EIS,00:04:05.977,00:04:11.031,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,252.982,0,7,14,36,13,16.00000,12.54062,21.31850,-3.11455,253.298,0.00000,0.01,10.00,3,0,0.05,21.54481,-8.31189,12.54121,12.54166,21.31920,21.31885,-3.10731,-3.11590,21.54445,-8.29256,21.54536,-8.31529,0,0,
3,EIS,00:04:26.823,00:04:31.877,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,189.710,0,7,14,36,14,16.00000,12.53849,21.87044,-3.68728,189.723,0.00000,0.01,10.00,3,0,0.05,22.17909,-9.56986,12.54012,12.54203,21.87481,21.87336,-3.67438,-3.68106,22.18126,-9.53513,22.18094,-9.55278,0,0,
3,EIS,00:04:46.451,00:04:51.505,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,142.262,0,7,14,36,15,16.00000,12.54082,22.45942,-4.31506,142.433,0.00000,0.01,10.00,3,0,0.05,22.87018,-10.87555,12.54016,12.54062,22.45487,22.45695,-4.30758,-4.31010,22.86431,-10.85928,22.86682,-10.86451,0,0,
3,EIS,00:05:07.341,00:05:12.395,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,106.682,0,7,14,36,16,16.00000,12.53974,23.11373,-5.06502,106.667,0.00000,0.01,10.00,3,0,0.05,23.66218,-12.36013,12.54010,12.54088,23.09550,23.10126,-5.05694,-5.06053,23.64264,-12.35045,23.64905,-12.35595,0,0,
3,EIS,00:05:26.392,00:05:31.446,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,80.000,0,7,14,36,17,16.00000,12.54058,23.85584,-5.95876,80.000,0.00000,0.01,10.00,3,0,0.05,24.58878,-14.02449,12.54028,12.54062,23.85054,23.84387,-5.94723,-5.94435,24.58084,-14.00141,24.57367,-13.99865,0,0,
3,EIS,00:05:46.108,00:05:51.162,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,59.992,0,7,14,36,18,16.00000,12.53974,24.75880,-7.03359,60.000,0.00000,0.01,10.00,3,0,0.05,25.73848,-15.85902,12.54136,12.54085,24.74898,24.75626,-7.04179,-7.04408,25.73129,-15.88257,25.73891,-15.88303,0,0,
3,EIS,00:06:04.878,00:06:09.932,0,0,UCT_AST9AH_EIS,,,5.00,8000.00,44.987,0,7,14,36,19,16.00000,12.53882,25.91998,-8.34286,44.944,0.00000,0.01,10.00,3,0,0.05,27.22956,-17.84181,12.54026,12.54127,25.92379,25.92003,-8.34527,-8.33034,27.23392,-17.84417,27.22577,-17.81669,0,0,
