

Measurement ID,6898
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/08 09:06:21
End Time,2024/03/08 09:14:56
Test section,EIS00001
Comment,UCT_AST_A06_0
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.187,00:00:37.235,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.41956,23.70200,9.02602,5052.631,0.00000,0.01,10.00,3,0,0.05,25.36245,20.84746,12.42018,12.42146,23.67054,23.65875,9.15529,9.11884,25.37940,21.14546,25.35527,21.07826,0,0,
3,EIS,00:00:49.504,00:00:54.552,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.41982,23.71059,6.20336,3692.308,0.00000,0.01,10.00,3,0,0.05,24.50865,14.66156,12.42025,12.42129,23.68825,23.68952,6.31563,6.28130,24.51572,14.92861,24.50813,14.85031,0,0,
3,EIS,00:01:06.178,00:01:11.226,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.41970,23.83203,4.25545,2823.529,0.00000,0.01,10.00,3,0,0.05,24.20897,10.12405,12.42062,12.42123,23.81667,23.81544,4.33468,4.31227,24.20792,10.31503,24.20271,10.26337,0,0,
3,EIS,00:01:23.605,00:01:28.653,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.41972,24.00774,2.50847,2086.957,0.00000,0.01,10.00,3,0,0.05,24.13843,5.96496,12.41978,12.42182,24.00710,24.00332,2.56489,2.54504,24.14372,6.09828,24.13787,6.05238,0,0,
3,EIS,00:01:40.905,00:01:45.953,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.42014,24.23618,1.18573,1573.771,0.00000,0.01,10.00,3,0,0.05,24.26517,2.80090,12.42026,12.42174,24.23556,24.22855,1.23903,1.22563,24.26721,2.92667,24.25953,2.89590,0,0,
3,EIS,00:01:58.584,00:02:03.632,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.41927,24.52671,0.06751,1185.185,0.00000,0.01,10.00,3,0,0.05,24.52681,0.15772,12.42019,12.42077,24.53360,24.53534,0.10702,0.09366,24.53384,0.24993,24.53552,0.21871,0,0,
