

Measurement ID,6906
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/08 13:38:00
End Time,2024/03/08 13:46:36
Test section,EIS00001
Comment,UCT_AST_A03_RT2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.477,00:00:37.522,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.88094,18.05639,8.66548,5052.631,0.00000,0.01,10.00,3,0,0.05,20.02807,25.63692,12.88157,12.88308,18.01919,18.01329,8.69086,8.60927,20.00556,25.74854,19.96492,25.54499,0,0,
3,EIS,00:00:49.279,00:00:54.324,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.88094,18.00905,6.06471,3692.308,0.00000,0.01,10.00,3,0,0.05,19.00280,18.61142,12.88163,12.88321,17.98934,17.99279,6.10170,6.03619,18.99598,18.73613,18.97831,18.54549,0,0,
3,EIS,00:01:06.270,00:01:11.315,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.88090,18.03580,4.27261,2823.529,0.00000,0.01,10.00,3,0,0.05,18.53497,13.32745,12.88129,12.88330,18.02591,18.02235,4.29257,4.24949,18.52996,13.39455,18.51657,13.26745,0,0,
3,EIS,00:01:23.482,00:01:28.527,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.88071,18.16631,2.70137,2086.957,0.00000,0.01,10.00,3,0,0.05,18.36607,8.45804,12.88157,12.88277,18.16294,18.15997,2.71721,2.68008,18.36507,8.50845,18.35667,8.39520,0,0,
3,EIS,00:01:40.803,00:01:45.848,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.88086,18.34146,1.51823,1573.771,0.00000,0.01,10.00,3,0,0.05,18.40419,4.73191,12.88130,12.88254,18.33918,18.33624,1.52858,1.50053,18.40277,4.76461,18.39753,4.67831,0,0,
3,EIS,00:01:58.466,00:02:03.511,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.88113,18.52659,0.54062,1185.185,0.00000,0.01,10.00,3,0,0.05,18.53448,1.67147,12.88144,12.88357,18.52938,18.53061,0.55097,0.53679,18.53757,1.70318,18.53838,1.65925,0,0,
