

Measurement ID,6815
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/05 08:48:48
End Time,2024/03/05 08:56:48
Test section,TS006625\EIS00001
Comment,UCT_AST_9AH_A10_+RT
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.186,00:00:37.228,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,3000.000,0,11,14,36,1,16.00000,11.86050,22.70603,4.27708,3000.000,0.00000,0.01,10.00,3,0,0.05,23.10535,10.66766,11.86063,11.86197,22.69844,22.69670,4.23120,4.21677,23.08944,10.55927,23.08509,10.52487,0,0,
3,EIS,00:00:49.876,00:00:54.918,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,2249.683,0,11,14,36,2,16.00000,11.86027,22.90983,2.60543,2232.558,0.00000,0.01,10.00,3,0,0.05,23.05750,6.48810,11.86100,11.86209,22.90445,22.91083,2.56141,2.55573,23.04723,6.38088,23.05294,6.36510,0,0,
3,EIS,00:01:06.654,00:01:11.696,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1687.024,0,11,14,36,3,16.00000,11.86044,23.16008,1.31176,1684.211,0.00000,0.01,10.00,3,0,0.05,23.19720,3.24171,11.86100,11.86173,23.16276,23.15853,1.28502,1.28187,23.19838,3.17539,23.19398,3.16820,0,0,
3,EIS,00:01:23.989,00:01:29.031,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,1265.090,0,11,14,36,4,16.00000,11.86043,23.48254,0.21967,1263.158,0.00000,0.01,10.00,3,0,0.05,23.48356,0.53597,11.86021,11.86221,23.48833,23.48649,0.20073,0.20401,23.48918,0.48963,23.48738,0.49768,0,0,
3,EIS,00:01:41.274,00:01:46.316,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,948.683,0,11,14,36,5,16.00000,11.86102,23.86398,-0.67340,950.495,0.00000,0.01,10.00,3,0,0.05,23.87348,-1.61637,11.86084,11.86093,23.87076,23.86483,-0.68196,-0.68880,23.88050,-1.63644,23.87477,-1.65324,0,0,
3,EIS,00:01:58.792,00:02:03.834,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,711.412,0,11,14,36,6,16.00000,11.86123,24.33166,-1.43874,711.111,0.00000,0.01,10.00,3,0,0.05,24.37416,-3.38397,11.85987,11.86186,24.33180,24.33030,-1.45521,-1.45416,24.37527,-3.42261,24.37372,-3.42036,0,0,
3,EIS,00:02:16.521,00:02:21.563,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,533.484,0,11,14,36,7,16.00000,11.86077,24.84913,-2.10987,533.333,0.00000,0.01,10.00,3,0,0.05,24.93854,-4.85319,11.86075,11.86171,24.84930,24.84711,-2.12421,-2.12497,24.93993,-4.88598,24.93781,-4.88814,0,0,
3,EIS,00:02:34.838,00:02:39.880,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,400.056,0,11,14,36,8,16.00000,11.86031,25.44196,-2.70249,400.000,0.00000,0.01,10.00,3,0,0.05,25.58509,-6.06331,11.85956,11.86173,25.44979,25.44567,-2.72313,-2.72233,25.59507,-6.10742,25.59089,-6.10662,0,0,
3,EIS,00:02:54.325,00:02:59.367,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,300.000,0,11,14,36,9,16.00000,11.85954,26.12644,-3.24319,300.000,0.00000,0.01,10.00,3,0,0.05,26.32696,-7.07618,11.86075,11.86088,26.12415,26.12925,-3.24415,-3.24594,26.32482,-7.07887,26.33010,-7.08137,0,0,
3,EIS,00:03:14.459,00:03:19.501,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,224.968,0,11,14,36,10,16.00000,11.85871,26.86556,-3.71136,224.824,0.00000,0.01,10.00,3,0,0.05,27.12070,-7.86538,11.86057,11.86245,26.87379,26.86605,-3.71872,-3.72262,27.12986,-7.87839,27.12273,-7.88879,0,0,
3,EIS,00:03:33.790,00:03:38.832,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,168.702,0,11,14,36,11,16.00000,11.85981,27.77307,-4.14188,168.421,0.00000,0.01,10.00,3,0,0.05,28.08022,-8.48217,11.85993,11.86168,27.76846,27.76949,-4.14517,-4.14770,28.07614,-8.49021,28.07753,-8.49500,0,0,
3,EIS,00:03:53.168,00:03:58.210,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,126.509,0,11,14,36,12,16.00000,11.85841,28.59113,-4.53214,126.649,0.00000,0.01,10.00,3,0,0.05,28.94811,-9.00734,11.86038,11.86010,28.59594,28.58890,-4.53901,-4.52914,28.95393,-9.01927,28.94544,-9.00215,0,0,
3,EIS,00:04:13.540,00:04:18.582,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,94.868,0,11,14,36,13,16.00000,11.85843,29.51326,-4.89479,94.862,0.00000,0.01,10.00,3,0,0.05,29.91641,-9.41682,11.86015,11.86150,29.51523,29.51862,-4.89921,-4.89291,29.91908,-9.42455,29.92139,-9.41160,0,0,
3,EIS,00:04:33.139,00:04:38.181,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,71.141,0,11,14,36,14,16.00000,11.85868,30.52574,-5.22629,71.217,0.00000,0.01,10.00,3,0,0.05,30.96991,-9.71537,11.86035,11.86048,30.51312,30.52469,-5.21355,-5.22050,30.95531,-9.69607,30.96789,-9.70514,0,0,
3,EIS,00:04:53.415,00:04:58.457,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,53.348,0,11,14,36,15,16.00000,11.85963,31.58825,-5.49827,53.333,0.00000,0.01,10.00,3,0,0.05,32.06319,-9.87401,11.86064,11.86058,31.60030,31.59795,-5.49394,-5.50653,32.07433,-9.86269,32.07417,-9.88558,0,0,
3,EIS,00:05:12.711,00:05:17.753,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,40.006,0,11,14,36,16,16.00000,11.85966,32.72673,-5.71908,40.000,0.00000,0.01,10.00,3,0,0.05,33.22268,-9.91248,11.86175,11.86013,32.73452,32.73224,-5.71291,-5.72318,33.22930,-9.89970,33.22882,-9.91782,0,0,
3,EIS,00:05:32.314,00:05:37.356,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,30.000,0,11,14,36,17,16.00000,11.86106,33.90834,-5.85985,30.000,0.00000,0.01,10.00,3,0,0.05,34.41095,-9.80469,11.86028,11.86074,33.88883,33.90228,-5.84428,-5.85849,34.38907,-9.78467,34.40474,-9.80418,0,0,
3,EIS,00:05:51.184,00:05:56.226,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,22.497,0,11,14,36,18,16.00000,11.85938,35.08198,-5.90006,22.472,0.00000,0.01,10.00,3,0,0.05,35.57465,-9.54662,11.86165,11.86151,35.06941,35.07973,-5.90659,-5.91705,35.56335,-9.56036,35.57526,-9.57421,0,0,
3,EIS,00:06:10.734,00:06:15.776,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,16.870,0,11,14,36,19,16.00000,11.86061,36.19030,-5.93444,16.854,0.00000,0.01,10.00,3,0,0.05,36.67363,-9.31242,11.86014,11.86004,36.17423,36.17722,-5.94828,-5.93179,36.66002,-9.33783,36.66030,-9.31163,0,0,
3,EIS,00:06:31.209,00:06:36.251,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,12.651,0,11,14,36,20,16.00000,11.85936,37.23384,-5.96752,12.658,0.00000,0.01,10.00,3,0,0.05,37.70902,-9.10544,11.85924,11.86315,37.23947,37.22083,-5.96100,-5.95292,37.71354,-9.09431,37.69387,-9.08666,0,0,
3,EIS,00:06:50.707,00:06:55.749,0,0,UCT_AST9AH_EIS,,,5.00,3000.00,9.487,0,11,14,36,21,16.00000,11.85804,38.26603,-6.00718,9.494,0.00000,0.01,10.00,3,0,0.05,38.73468,-8.92174,11.86016,11.86249,38.24654,38.25713,-6.00587,-6.00419,38.71522,-8.92430,38.72542,-8.91942,0,0,
