

Measurement ID,6904
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/03/08 13:13:07
End Time,2024/03/08 13:21:44
Test section,TS006714\EIS00001
Comment,UCT_AST_A01_RT2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.041,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.513,00:00:37.554,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,13.22663,27.43392,9.11066,5052.631,0.00000,0.01,10.00,3,0,0.05,28.90717,18.37105,13.22683,13.22855,27.40321,27.39036,9.13597,9.10066,28.88601,18.43790,28.86268,18.37946,0,0,
3,EIS,00:00:49.229,00:00:54.270,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,13.22639,27.20842,6.44474,3692.308,0.00000,0.01,10.00,3,0,0.05,27.96127,13.32581,13.22696,13.22871,27.19817,27.19265,6.47705,6.44035,27.95877,13.39508,27.94492,13.32450,0,0,
3,EIS,00:01:06.409,00:01:11.450,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,13.22643,27.19750,4.60761,2823.529,0.00000,0.01,10.00,3,0,0.05,27.58504,9.61535,13.22662,13.22863,27.18191,27.17765,4.62258,4.60111,27.57217,9.65144,27.56438,9.60892,0,0,
3,EIS,00:01:23.359,00:01:28.400,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,13.22706,27.20743,2.99946,2086.957,0.00000,0.01,10.00,3,0,0.05,27.37227,6.29113,13.22695,13.22840,27.19738,27.19768,3.00627,2.98689,27.36302,6.30761,27.36120,6.26720,0,0,
3,EIS,00:01:40.418,00:01:45.459,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,13.22575,27.19813,1.79479,1573.771,0.00000,0.01,10.00,3,0,0.05,27.25728,3.77545,13.22649,13.22840,27.19594,27.19851,1.79778,1.78920,27.25529,3.78202,27.25730,3.76367,0,0,
3,EIS,00:01:57.652,00:02:02.693,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,13.22619,27.43069,0.80243,1185.185,0.00000,0.01,10.00,3,0,0.05,27.44242,1.67561,13.22676,13.22909,27.43843,27.43629,0.81313,0.80817,27.45048,1.69744,27.44819,1.68723,0,0,
