

Measurement ID,7632
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 08:10:44
End Time,2024/05/15 08:19:27
Test section,TS007442\EIS00001
Comment,UCT_AST_B01_-10
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.530,00:00:37.568,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.83095,30.43061,4.19543,3000.000,0.00000,0.01,10.00,3,0,0.05,30.71846,7.84980,12.83175,12.83289,30.42528,30.42011,4.32076,4.26216,30.73055,8.08266,30.71724,7.97578,0,0,
3,EIS,00:00:49.457,00:00:54.495,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,12.83123,30.51440,2.32394,2232.558,0.00000,0.01,10.00,3,0,0.05,30.60276,4.35516,12.83168,12.83268,30.50394,30.50823,2.41398,2.37742,30.59931,4.52478,30.60072,4.45589,0,0,
3,EIS,00:01:06.373,00:01:11.411,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,12.83088,30.60339,0.87519,1684.211,0.00000,0.01,10.00,3,0,0.05,30.61590,1.63810,12.83150,12.83340,30.59493,30.59026,0.93885,0.90990,30.60934,1.75766,30.60379,1.70376,0,0,
3,EIS,00:01:23.566,00:01:28.604,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,12.83101,31.02586,-0.39812,1263.158,0.00000,0.01,10.00,3,0,0.05,31.02841,-0.73517,12.83224,12.83337,31.02334,31.03020,-0.34472,-0.37006,31.02526,-0.63663,31.03241,-0.68326,0,0,
3,EIS,00:01:40.817,00:01:45.855,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,12.83168,31.52085,-1.50498,950.495,0.00000,0.01,10.00,3,0,0.05,31.55675,-2.73354,12.83135,12.83290,31.51616,31.52034,-1.46139,-1.48037,31.55003,-2.65488,31.55508,-2.68896,0,0,
3,EIS,00:01:58.221,00:02:03.259,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,12.83178,31.69753,-2.54627,711.111,0.00000,0.01,10.00,3,0,0.05,31.79964,-4.59272,12.83029,12.83293,31.69117,31.69171,-2.51031,-2.52463,31.79043,-4.52903,31.79211,-4.55469,0,0,
