

Measurement ID,7626
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/14 16:15:31
End Time,2024/05/14 16:24:13
Test section,EIS00001
Comment,UCT_AST_B07_-20
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.730,00:00:37.778,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.08329,36.09450,3.47520,3000.000,0.00000,0.01,10.00,3,0,0.05,36.26141,5.49952,12.08418,12.08524,36.08492,36.08465,3.60063,3.52286,36.26412,5.69822,36.25620,5.57599,0,0,
3,EIS,00:00:49.547,00:00:54.595,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,12.08353,36.38998,1.44521,2232.558,0.00000,0.01,10.00,3,0,0.05,36.41866,2.27428,12.08345,12.08472,36.38115,36.39119,1.52691,1.47423,36.41318,2.40328,36.42104,2.31981,0,0,
3,EIS,00:01:06.466,00:01:11.514,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,12.08333,36.77239,-0.17062,1684.211,0.00000,0.01,10.00,3,0,0.05,36.77278,-0.26585,12.08456,12.08454,36.76946,36.77244,-0.10910,-0.14890,36.76962,-0.17001,36.77274,-0.23200,0,0,
3,EIS,00:01:23.431,00:01:28.479,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,12.08312,37.26749,-1.61241,1263.158,0.00000,0.01,10.00,3,0,0.05,37.30236,-2.47741,12.08439,12.08527,37.27111,37.27505,-1.55401,-1.59193,37.30350,-2.38755,37.30902,-2.44548,0,0,
3,EIS,00:01:40.793,00:01:45.841,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,12.08300,37.86133,-2.87099,950.495,0.00000,0.01,10.00,3,0,0.05,37.97003,-4.33638,12.08471,12.08515,37.86826,37.86995,-2.83200,-2.85648,37.97401,-4.27693,37.97753,-4.31357,0,0,
3,EIS,00:01:58.547,00:02:03.595,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,12.08288,38.55213,-4.07720,711.111,0.00000,0.01,10.00,3,0,0.05,38.76713,-6.03705,12.08270,12.08517,38.56141,38.56058,-4.04248,-4.06358,38.77273,-5.98458,38.77410,-6.01572,0,0,
