

Measurement ID,7601
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/14 08:53:00
End Time,2024/05/14 09:01:58
Test section,TS007411
Comment,UCT_AST_B05_-30
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.471,00:00:38.514,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.27877,32.30261,7.84936,5052.631,0.00000,0.01,10.00,3,0,0.05,33.24261,13.65785,12.27914,12.28011,32.28564,32.26890,8.04517,7.86051,33.27292,13.99241,33.21249,13.69028,0,0,
3,EIS,00:00:50.355,00:00:55.398,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.27875,32.59672,4.79173,3692.308,0.00000,0.01,10.00,3,0,0.05,32.94703,8.36262,12.27906,12.27990,32.56865,32.57515,4.94902,4.80052,32.94252,8.64037,32.92697,8.38321,0,0,
3,EIS,00:01:07.888,00:01:12.931,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.27826,32.96105,2.64174,2823.529,0.00000,0.01,10.00,3,0,0.05,33.06674,4.58231,12.27889,12.28041,32.94883,32.94721,2.75262,2.64585,33.06361,4.77554,33.05328,4.59132,0,0,
3,EIS,00:01:24.781,00:01:29.824,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.27833,33.44600,0.64278,2086.957,0.00000,0.01,10.00,3,0,0.05,33.45217,1.10100,12.27883,12.28058,33.44922,33.44315,0.72281,0.64222,33.45703,1.23792,33.44931,1.10013,0,0,
3,EIS,00:01:41.988,00:01:47.031,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.27812,33.94888,-0.93678,1573.771,0.00000,0.01,10.00,3,0,0.05,33.96180,-1.58062,12.27763,12.27903,33.95591,33.95453,-0.86884,-0.92803,33.96702,-1.46572,33.96721,-1.56560,0,0,
3,EIS,00:01:59.295,00:02:04.338,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.27791,34.59267,-2.33018,1185.185,0.00000,0.01,10.00,3,0,0.05,34.67106,-3.85366,12.27856,12.28069,34.60126,34.60034,-2.27227,-2.31853,34.67579,-3.75723,34.67793,-3.83359,0,0,
