

Measurement ID,7595
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/13 13:57:41
End Time,2024/05/13 14:06:18
Test section,TS007405\EIS00001
Comment,UCT_AST_B05_-40 3
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.243,00:00:37.289,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.00519,29.81589,8.06318,5052.631,0.00000,0.01,10.00,3,0,0.05,30.88693,15.13266,12.00642,12.00852,29.79524,29.78234,8.26888,8.13967,30.92136,15.51058,30.87461,15.28594,0,0,
3,EIS,00:00:49.117,00:00:54.163,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.02025,30.06310,5.02469,3692.308,0.00000,0.01,10.00,3,0,0.05,30.48011,9.48860,12.01955,12.02149,30.03831,30.04317,5.19381,5.08435,30.48402,9.80980,30.47035,9.60542,0,0,
3,EIS,00:01:06.131,00:01:11.177,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.03200,30.36694,2.88737,2823.529,0.00000,0.01,10.00,3,0,0.05,30.50390,5.43150,12.03266,12.03343,30.35589,30.35967,3.00215,2.93216,30.50398,5.64811,30.50093,5.51656,0,0,
3,EIS,00:01:23.015,00:01:28.061,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.04204,30.82007,0.91634,2086.957,0.00000,0.01,10.00,3,0,0.05,30.83369,1.70302,12.04240,12.04333,30.81872,30.81959,1.00505,0.95258,30.83510,1.86785,30.83431,1.77035,0,0,
3,EIS,00:01:40.054,00:01:45.100,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.05082,31.30342,-0.62165,1573.771,0.00000,0.01,10.00,3,0,0.05,31.30960,-1.13768,12.05094,12.05157,31.30231,31.30380,-0.55074,-0.58958,31.30715,-1.00797,31.30935,-1.07899,0,0,
3,EIS,00:01:57.109,00:02:02.155,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.05882,31.87827,-1.96664,1185.185,0.00000,0.01,10.00,3,0,0.05,31.93888,-3.53023,12.05920,12.06007,31.87668,31.87802,-1.90693,-1.94158,31.93366,-3.42348,31.93709,-3.48538,0,0,
3,EIS,00:02:14.538,00:02:19.584,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,889.140,0,9,14,36,7,16.00000,12.06468,32.53886,-3.19133,888.889,0.00000,0.01,10.00,3,0,0.05,32.69499,-5.60152,12.06642,12.06749,32.53098,32.53742,-3.15472,-3.17725,32.68359,-5.53898,32.69218,-5.57719,0,0,
3,EIS,00:02:32.147,00:02:37.193,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,666.761,0,9,14,36,8,16.00000,12.07230,33.27387,-4.34975,666.667,0.00000,0.01,10.00,3,0,0.05,33.55698,-7.44780,12.07158,12.07416,33.27257,33.27262,-4.31727,-4.33542,33.55150,-7.39309,33.55389,-7.42381,0,0,
3,EIS,00:02:50.136,00:02:55.182,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,500.000,0,9,14,36,9,16.00000,12.07834,34.14323,-5.50329,500.000,0.00000,0.01,10.00,3,0,0.05,34.58390,-9.15632,12.07741,12.08007,34.14541,34.14870,-5.48381,-5.49304,34.58296,-9.12389,34.58768,-9.13812,0,0,
3,EIS,00:03:09.157,00:03:14.203,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,374.947,0,9,14,36,10,16.00000,12.08227,35.11993,-6.61663,375.000,0.00000,0.01,10.00,3,0,0.05,35.73778,-10.66952,12.08453,12.08522,35.11112,35.11382,-6.60548,-6.61560,35.72707,-10.65455,35.73159,-10.66972,0,0,
3,EIS,00:03:28.748,00:03:33.794,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,281.171,0,9,14,36,11,16.00000,12.08766,36.28550,-7.94112,281.525,0.00000,0.01,10.00,3,0,0.05,37.14430,-12.34461,12.09000,12.09019,36.28649,36.27961,-7.92515,-7.93305,37.14185,-12.32023,37.13682,-12.33439,0,0,
3,EIS,00:03:48.977,00:03:54.023,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,210.848,0,9,14,36,12,16.00000,12.09482,37.61643,-9.27946,210.989,0.00000,0.01,10.00,3,0,0.05,38.74409,-13.85741,12.09514,12.09366,37.60872,37.61490,-9.27009,-9.27817,38.73436,-13.84668,38.74229,-13.85610,0,0,
3,EIS,00:04:07.940,00:04:12.986,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,158.114,0,9,14,36,13,16.00000,12.09922,39.07556,-10.71151,157.895,0.00000,0.01,10.00,3,0,0.05,40.51711,-15.32953,12.10051,12.10169,39.07449,39.08067,-10.69921,-10.70701,40.51282,-15.31315,40.52085,-15.32148,0,0,
3,EIS,00:04:27.909,00:04:32.955,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,118.569,0,9,14,36,14,16.00000,12.10371,40.74827,-12.22339,118.519,0.00000,0.01,10.00,3,0,0.05,42.54213,-16.69783,12.10108,12.10296,40.74111,40.73839,-12.21325,-12.21572,42.53236,-16.68752,42.53046,-16.69176,0,0,
3,EIS,00:04:47.043,00:04:52.089,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,88.914,0,9,14,36,15,16.00000,12.10759,42.49893,-13.91217,88.889,0.00000,0.01,10.00,3,0,0.05,44.71809,-18.12603,12.10809,12.11043,42.49122,42.48707,-13.91931,-13.91493,44.71298,-18.13781,44.70768,-18.13412,0,0,
3,EIS,00:05:07.053,00:05:12.099,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,66.676,0,9,14,36,16,16.00000,12.11313,44.21384,-15.92620,66.667,0.00000,0.01,10.00,3,0,0.05,46.99476,-19.80945,12.11202,12.11031,44.21893,44.21076,-15.90852,-15.92193,46.99356,-19.78706,46.99041,-19.80583,0,0,
3,EIS,00:05:27.871,00:05:32.917,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,50.000,0,9,14,36,17,16.00000,12.11208,45.87410,-18.47582,50.000,0.00000,0.01,10.00,3,0,0.05,49.45492,-21.93715,12.11591,12.11842,45.86748,45.86090,-18.46977,-18.47888,49.44651,-21.93350,49.44382,-21.94615,0,0,
3,EIS,00:05:46.820,00:05:51.866,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,37.495,0,9,14,36,18,16.00000,12.11865,47.72456,-21.79724,37.500,0.00000,0.01,10.00,3,0,0.05,52.46669,-24.54760,12.12119,12.12059,47.73381,47.73004,-21.79530,-21.80189,52.47429,-24.54148,52.47361,-24.54974,0,0,
3,EIS,00:06:06.813,00:06:11.859,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,28.117,0,9,14,36,19,16.00000,12.12075,49.75674,-26.19079,28.103,0.00000,0.01,10.00,3,0,0.05,56.22891,-27.76127,12.12250,12.12393,49.76037,49.74362,-26.17580,-26.18837,56.22514,-27.74603,56.21617,-27.76532,0,0,
3,EIS,00:06:26.220,00:06:31.266,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,21.085,0,9,14,36,20,16.00000,12.12495,52.08736,-31.99254,21.053,0.00000,0.01,10.00,3,0,0.05,61.12787,-31.55863,12.12553,12.12355,52.06786,52.06589,-31.98247,-31.98440,61.10598,-31.56015,61.10531,-31.56267,0,0,
3,EIS,00:06:46.572,00:06:51.618,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,15.811,0,9,14,36,21,16.00000,12.13065,54.92127,-39.42305,15.831,0.00000,0.01,10.00,3,0,0.05,67.60564,-35.67118,12.12846,12.12633,54.89998,54.89486,-39.42208,-39.42351,67.58778,-35.68103,67.58445,-35.68454,0,0,
3,EIS,00:07:07.174,00:07:12.220,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,11.857,0,9,14,36,22,16.00000,12.12982,58.30817,-49.11046,11.858,0.00000,0.01,10.00,3,0,0.05,76.23437,-40.10600,12.13137,12.13566,58.32720,58.30801,-49.10812,-49.11016,76.24742,-40.09544,76.23406,-40.10590,0,0,
3,EIS,00:07:26.205,00:07:31.251,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,8.891,0,9,14,36,23,16.00000,12.13352,63.60816,-61.24567,8.902,0.00000,0.01,10.00,3,0,0.05,88.30080,-43.91598,12.13793,12.13131,63.59589,63.59313,-61.19834,-61.22557,88.25913,-43.89936,88.27603,-43.91334,0,0,
3,EIS,00:07:47.033,00:07:52.079,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,6.668,0,9,14,36,24,16.00000,12.13108,70.43665,-76.66547,6.667,0.00000,0.01,10.00,3,0,0.05,104.11011,-47.42466,12.13684,12.13387,70.36030,70.39553,-76.63421,-76.67308,104.03544,-47.44397,104.08790,-47.44416,0,0,
3,EIS,00:08:06.401,00:08:11.447,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5.000,0,9,14,36,25,16.00000,12.14470,79.87033,-95.73866,5.000,0.00000,0.01,10.00,3,0,0.05,124.68024,-50.16332,12.13910,12.14621,79.84230,79.83167,-95.74055,-95.75990,124.66373,-50.17377,124.67178,-50.18322,0,0,
3,EIS,00:08:25.921,00:08:30.967,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5.000,0,9,14,36,26,16.00000,11.22011,-45.83916,-0.50026,5.000,0.00000,0.01,10.00,3,0,0.05,45.84189,0.62527,11.72050,11.24557,-86.81828,-91.57505,-0.55144,-0.48642,86.82003,0.36392,91.57634,0.30433,0,0,
