

Measurement ID,7647
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 14:38:07
End Time,2024/05/15 14:46:51
Test section,TS007457\EIS00001
Comment,UCT_AST_B04_+00
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.648,00:00:37.697,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.48221,22.67441,4.39575,3000.000,0.00000,0.01,10.00,3,0,0.05,23.09657,10.97148,12.48298,12.48377,22.66675,22.66424,4.49283,4.43947,23.10773,11.21141,23.09495,11.08278,0,0,
3,EIS,00:00:49.866,00:00:54.915,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,12.48208,22.86053,2.58288,2232.558,0.00000,0.01,10.00,3,0,0.05,23.00597,6.44618,12.48262,12.48348,22.85680,22.85577,2.64097,2.61185,23.00887,6.59096,23.00452,6.51921,0,0,
3,EIS,00:01:07.012,00:01:12.061,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,12.48230,23.09177,1.16783,1684.211,0.00000,0.01,10.00,3,0,0.05,23.12128,2.89518,12.48314,12.48319,23.09193,23.08985,1.21909,1.19003,23.12409,3.02200,23.12050,2.95037,0,0,
3,EIS,00:01:24.294,00:01:29.343,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,12.48288,23.41714,-0.05666,1263.158,0.00000,0.01,10.00,3,0,0.05,23.41721,-0.13862,12.48255,12.48356,23.42834,23.42769,-0.00470,-0.03152,23.42834,-0.01149,23.42771,-0.07708,0,0,
3,EIS,00:01:41.699,00:01:46.748,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,12.48217,23.80484,-1.09388,950.495,0.00000,0.01,10.00,3,0,0.05,23.82996,-2.63102,12.48170,12.48325,23.81675,23.81348,-1.05191,-1.07399,23.83997,-2.52894,23.83769,-2.58228,0,0,
3,EIS,00:01:59.546,00:02:04.595,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,12.48257,24.28398,-2.04025,711.111,0.00000,0.01,10.00,3,0,0.05,24.36954,-4.80251,12.48255,12.48457,24.29090,24.28400,-2.01610,-2.02421,24.37442,-4.74457,24.36822,-4.76492,0,0,
