

Measurement ID,7652
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 15:27:39
End Time,2024/05/15 15:36:23
Test section,TS007462
Comment,UCT_AST_B09_+00
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.832,00:00:37.881,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,11.78447,28.60039,3.86084,3000.000,0.00000,0.01,10.00,3,0,0.05,28.85981,7.68802,11.78513,11.78555,28.58112,28.57717,3.95109,3.92542,28.85293,7.87076,28.84551,7.82131,0,0,
3,EIS,00:00:49.656,00:00:54.705,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,11.78456,28.97179,1.87469,2232.558,0.00000,0.01,10.00,3,0,0.05,29.03239,3.70231,11.78544,11.78642,28.96936,28.96991,1.93245,1.91702,29.03374,3.81635,29.03326,3.78589,0,0,
3,EIS,00:01:06.792,00:01:11.841,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,11.78458,29.39463,0.31029,1684.211,0.00000,0.01,10.00,3,0,0.05,29.39627,0.60479,11.78436,11.78664,29.39275,29.39397,0.36148,0.34646,29.39498,0.70460,29.39602,0.67530,0,0,
3,EIS,00:01:24.093,00:01:29.142,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,11.78451,29.91244,-1.04569,1263.158,0.00000,0.01,10.00,3,0,0.05,29.93071,-2.00216,11.78540,11.78649,29.91818,29.91770,-0.99684,-1.00979,29.93478,-1.90833,29.93474,-1.93314,0,0,
3,EIS,00:01:41.452,00:01:46.501,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,11.78456,30.52369,-2.21644,950.495,0.00000,0.01,10.00,3,0,0.05,30.60406,-4.15317,11.78390,11.78514,30.52756,30.52624,-2.17565,-2.18723,30.60499,-4.07648,30.60450,-4.09828,0,0,
3,EIS,00:01:59.339,00:02:04.388,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,11.78507,31.22996,-3.28894,711.111,0.00000,0.01,10.00,3,0,0.05,31.40267,-6.01186,11.78503,11.78550,31.23544,31.23808,-3.26358,-3.26694,31.40547,-5.96480,31.40845,-5.97040,0,0,
