

Measurement ID,7573
Battery Name,00001
Battery Type,
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/13 09:55:50
End Time,2024/05/13 10:04:27
Test section,EIS00001
Comment,UCT_AST_CXX_RT TEST RUN 1
OrderNo,UCT002
Producer,
Type,
Nominal Voltage,0
Nominal Current,0
Nominal Capacity,0
Cells,0
Maximum Voltage,0
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0
Cold Cranking Current,0
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.462,00:00:38.510,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.55178,36.00658,7.03199,5052.631,0.00000,0.01,10.00,3,0,0.05,36.68682,11.05062,12.55222,12.55398,35.96871,35.96761,7.24283,7.05456,36.69069,11.38509,36.65291,11.09692,0,0,
3,EIS,00:00:50.064,00:00:55.112,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.03584,6.61000,2.63478,3692.308,0.00000,0.01,10.00,3,0,0.05,7.11577,21.73250,12.30889,12.05938,-10.94122,-12.20307,-5.45887,-6.14365,12.22741,26.51586,13.66233,26.72303,0,0,
3,EIS,00:01:07.607,00:01:12.655,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.28239,6.06230,1.95288,2823.529,0.00000,0.01,10.00,3,0,0.05,6.36908,17.85559,12.01958,12.02395,-10.21707,-11.43628,-3.99227,-4.50575,10.96936,21.34281,12.29188,21.50381,0,0,
3,EIS,00:01:24.292,00:01:29.340,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,11.99049,6.36058,1.59237,2086.957,0.00000,0.01,10.00,3,0,0.05,6.55688,14.05512,12.27681,12.01174,-9.47983,-10.71598,-2.78937,-3.17781,9.88169,16.39611,11.17724,16.51766,0,0,
3,EIS,00:01:41.536,00:01:46.584,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.29481,6.60786,1.30246,1573.771,0.00000,0.01,10.00,3,0,0.05,6.73500,11.15053,11.99742,12.00271,-8.85198,-10.07344,-1.99377,-2.28262,9.07374,12.69314,10.32882,12.76746,0,0,
3,EIS,00:01:58.537,00:02:03.585,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,11.98058,6.96649,1.06731,1185.185,0.00000,0.01,10.00,3,0,0.05,7.04777,8.71038,12.27990,12.00012,-8.32732,-9.54330,-1.43420,-1.64748,8.44992,9.77206,9.68446,9.79455,0,0,
