

Measurement ID,7574
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/13 10:07:23
End Time,2024/05/13 10:15:59
Test section,TS007384\EIS00001
Comment,UCT_AST_CXX_RT TEST RUN 2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.957,00:00:38.004,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.48899,25.21561,6.72759,5052.631,0.00000,0.01,10.00,3,0,0.05,26.09765,14.93869,12.48978,12.49159,25.18721,25.18875,6.89924,6.72835,26.11503,15.31863,26.07189,14.95551,0,0,
3,EIS,00:00:49.827,00:00:54.874,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.05701,16.99846,7.02598,3692.308,0.00000,0.01,10.00,3,0,0.05,18.39326,22.45680,12.28280,12.06728,0.61920,-1.54143,0.14735,-0.85874,0.63649,13.38530,1.76450,29.12227,0,0,
3,EIS,00:01:07.420,00:01:12.467,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.03813,17.00510,5.50065,2823.529,0.00000,0.01,10.00,3,0,0.05,17.87262,17.92488,12.27051,12.04753,0.73379,-1.31534,0.19101,-0.55575,0.75824,14.59065,1.42793,22.90480,0,0,
3,EIS,00:01:24.568,00:01:29.615,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.03521,16.50377,4.03934,2086.957,0.00000,0.01,10.00,3,0,0.05,16.99090,13.75292,12.27320,12.04381,1.17692,-0.83896,0.26736,-0.27838,1.20690,12.79867,0.88394,18.35639,0,0,
3,EIS,00:01:41.845,00:01:46.892,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.27778,15.98385,3.01509,1573.771,0.00000,0.01,10.00,3,0,0.05,16.26574,10.68237,12.03629,12.04191,1.61495,-0.33838,0.30882,-0.09476,1.64421,10.82583,0.35139,15.64415,0,0,
3,EIS,00:01:58.868,00:02:03.915,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.03299,15.44963,2.24429,1185.185,0.00000,0.01,10.00,3,0,0.05,15.61179,8.26527,12.28518,12.04243,2.01325,0.11993,0.30172,0.00132,2.03574,8.52343,0.11994,0.63163,0,0,
3,EIS,00:02:16.169,00:02:21.216,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,889.140,0,9,14,36,7,16.00000,12.03498,14.93560,1.66004,888.889,0.00000,0.01,10.00,3,0,0.05,15.02757,6.34221,12.03494,12.29465,2.30156,0.46932,0.27299,0.05552,2.31770,6.76441,0.47259,6.74638,0,0,
3,EIS,00:02:33.698,00:02:38.745,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,666.761,0,9,14,36,8,16.00000,12.30015,14.48567,1.22378,666.667,0.00000,0.01,10.00,3,0,0.05,14.53727,4.82902,12.03588,12.04213,2.49850,0.72264,0.22426,0.06712,2.50854,5.12897,0.72575,5.30670,0,0,
3,EIS,00:02:51.533,00:02:56.580,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,500.000,0,9,14,36,9,16.00000,12.03424,14.02277,0.88124,500.000,0.00000,0.01,10.00,3,0,0.05,14.05044,3.59593,12.03505,12.31185,2.63695,0.92827,0.16376,0.05401,2.64203,3.55363,0.92984,3.32963,0,0,
3,EIS,00:03:09.984,00:03:15.031,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,374.947,0,9,14,36,10,16.00000,12.03455,13.51991,0.60596,375.000,0.00000,0.01,10.00,3,0,0.05,13.53349,2.56628,12.31919,12.04247,2.66795,1.01752,0.08512,0.00467,2.66931,1.82741,1.01753,0.26274,0,0,
3,EIS,00:03:29.577,00:03:34.624,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,281.171,0,9,14,36,11,16.00000,12.32821,13.13388,0.50100,281.525,0.00000,0.01,10.00,3,0,0.05,13.14343,2.18453,12.03588,12.04200,2.68800,1.06501,0.12166,0.06115,2.69075,2.59148,1.06677,3.28629,0,0,
3,EIS,00:03:50.694,00:03:55.741,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,210.848,0,9,14,36,12,16.00000,12.03502,12.76145,0.37925,210.989,0.00000,0.01,10.00,3,0,0.05,12.76709,1.70223,12.33915,12.04331,2.62685,1.04541,0.10686,0.06375,2.62902,2.32944,1.04735,3.48944,0,0,
