

Measurement ID,7578
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/13 10:55:12
End Time,2024/05/13 11:03:47
Test section,EIS00001
Comment,UCT_AST_CXX_RT TEST RUN 6
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.043,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.339,00:00:37.382,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.54688,24.00011,6.82929,5052.631,0.00000,0.01,10.00,3,0,0.05,24.95285,15.88384,12.54738,12.54927,23.96118,23.96156,6.90846,6.77509,24.93722,16.08327,24.90097,15.78816,0,0,
3,EIS,00:00:48.947,00:00:53.990,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.31255,11.91443,5.01210,3692.308,0.00000,0.01,10.00,3,0,0.05,12.92575,22.81527,12.09545,12.09829,1.93756,0.05935,0.77273,-0.15082,2.08597,21.74279,0.16207,-68.51875,0,0,
3,EIS,00:01:05.626,00:01:10.669,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.06153,9.58076,3.10562,2823.529,0.00000,0.01,10.00,3,0,0.05,10.07154,17.96019,12.06073,12.29059,0.00621,-1.64251,-0.07604,-0.70135,0.07629,-85.33375,1.78598,23.12239,0,0,
3,EIS,00:01:22.460,00:01:27.503,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.04641,7.74628,1.88002,2086.957,0.00000,0.01,10.00,3,0,0.05,7.97116,13.64190,12.28304,12.05621,-1.39166,-2.86011,-0.42679,-0.85031,1.45564,17.04951,2.98383,16.55714,0,0,
3,EIS,00:01:39.436,00:01:44.479,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.28228,6.53868,1.22072,1573.771,0.00000,0.01,10.00,3,0,0.05,6.65165,10.57496,12.04264,12.04855,-2.44191,-3.78092,-0.52647,-0.82943,2.49802,12.16665,3.87083,12.37313,0,0,
3,EIS,00:01:56.565,00:02:01.608,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.28567,5.71815,0.81809,1185.185,0.00000,0.01,10.00,3,0,0.05,5.77637,8.14195,12.03971,12.04595,-3.27768,-4.49984,-0.53761,-0.74470,3.32148,9.31479,4.56104,9.39697,0,0,
