

Measurement ID,7586
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/13 12:23:09
End Time,2024/05/13 12:31:47
Test section,EIS00001
Comment,UCT_AST_B03_-40
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.564,00:00:37.611,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.60901,47.77883,7.43975,5052.631,0.00000,0.01,10.00,3,0,0.05,48.35459,8.85058,12.60948,12.61149,47.73889,47.73527,7.64994,7.51160,48.34794,9.10399,48.32266,8.94271,0,0,
3,EIS,00:00:49.974,00:00:55.021,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.60883,47.60694,4.42626,3692.308,0.00000,0.01,10.00,3,0,0.05,47.81226,5.31181,12.60915,12.61032,47.58967,47.59524,4.60544,4.47836,47.81200,5.52752,47.80546,5.37529,0,0,
3,EIS,00:01:07.620,00:01:12.667,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.60786,47.64183,2.24555,2823.529,0.00000,0.01,10.00,3,0,0.05,47.69472,2.69858,12.60859,12.61061,47.62880,47.63289,2.36004,2.28565,47.68724,2.83672,47.68769,2.74721,0,0,
3,EIS,00:01:25.037,00:01:30.084,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.60695,47.95055,0.19589,2086.957,0.00000,0.01,10.00,3,0,0.05,47.95095,0.23407,12.60830,12.61017,47.94690,47.94632,0.27220,0.21716,47.94767,0.32528,47.94681,0.25950,0,0,
3,EIS,00:01:42.509,00:01:47.556,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.60832,48.28614,-1.47253,1573.771,0.00000,0.01,10.00,3,0,0.05,48.30858,-1.74674,12.60786,12.60835,48.28609,48.29183,-1.40992,-1.45172,48.30667,-1.67252,48.31365,-1.72187,0,0,
3,EIS,00:01:59.931,00:02:04.978,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.60821,48.74540,-2.97932,1185.185,0.00000,0.01,10.00,3,0,0.05,48.83636,-3.49757,12.60771,12.60845,48.74897,48.75448,-2.92208,-2.95740,48.83647,-3.43028,48.84410,-3.47125,0,0,
3,EIS,00:02:17.138,00:02:22.185,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,889.140,0,9,14,36,7,16.00000,12.60669,49.33388,-4.38286,888.889,0.00000,0.01,10.00,3,0,0.05,49.52819,-5.07687,12.60553,12.60966,49.32463,49.32990,-4.35227,-4.36888,49.51628,-5.04256,49.52299,-5.06118,0,0,
3,EIS,00:02:34.741,00:02:39.788,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,666.761,0,9,14,36,8,16.00000,12.60653,50.11388,-5.77417,666.667,0.00000,0.01,10.00,3,0,0.05,50.44544,-6.57269,12.60593,12.60996,50.10801,50.11552,-5.74426,-5.76120,50.43619,-6.53971,50.44558,-6.55784,0,0,
3,EIS,00:02:52.655,00:02:57.702,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,500.000,0,9,14,36,9,16.00000,12.60616,51.13630,-7.19254,500.000,0.00000,0.01,10.00,3,0,0.05,51.63965,-8.00637,12.60597,12.60948,51.12914,51.13285,-7.17021,-7.17532,51.62945,-7.98294,51.63384,-7.98798,0,0,
3,EIS,00:03:11.070,00:03:16.117,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,374.947,0,9,14,36,10,16.00000,12.60598,52.27320,-8.60365,375.000,0.00000,0.01,10.00,3,0,0.05,52.97650,-9.34652,12.60747,12.60782,52.27154,52.27701,-8.59611,-8.60023,52.97365,-9.33876,52.97971,-9.34220,0,0,
3,EIS,00:03:30.451,00:03:35.498,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,281.171,0,9,14,36,11,16.00000,12.60557,53.69021,-10.30954,281.525,0.00000,0.01,10.00,3,0,0.05,54.67107,-10.86957,12.60771,12.60587,53.68214,53.68976,-10.29008,-10.29881,54.65947,-10.85113,54.66860,-10.85862,0,0,
3,EIS,00:03:51.572,00:03:56.619,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,210.848,0,9,14,36,12,16.00000,12.60416,55.14172,-12.10308,210.989,0.00000,0.01,10.00,3,0,0.05,56.45435,-12.37957,12.60608,12.60496,55.13670,55.14658,-12.08819,-12.09813,56.44626,-12.36589,56.45804,-12.37360,0,0,
