

Measurement ID,7588
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/13 12:43:50
End Time,2024/05/13 12:52:28
Test section,EIS00001
Comment,UCT_AST_B05_-40 FAIL
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.047,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.856,00:00:37.903,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.38760,44.33987,6.89547,5052.631,0.00000,0.01,10.00,3,0,0.05,44.87284,8.83949,12.38771,12.38902,44.30909,44.31087,7.03178,7.19474,44.86359,9.01755,44.89117,9.22261,0,0,
3,EIS,00:00:50.093,00:00:55.140,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.37965,44.54448,3.95568,3692.308,0.00000,0.01,10.00,3,0,0.05,44.71978,5.07472,12.37982,12.38097,44.51748,44.52438,4.07697,4.17988,44.70377,5.23263,44.72015,5.36312,0,0,
3,EIS,00:01:07.305,00:01:12.352,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.38173,44.88561,1.85407,2823.529,0.00000,0.01,10.00,3,0,0.05,44.92389,2.36535,12.38226,12.38315,44.87651,44.87558,1.92621,2.02097,44.91783,2.45777,44.92106,2.57857,0,0,
3,EIS,00:01:24.291,00:01:29.338,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,11.52042,2.03010,0.03966,2086.957,0.00000,0.01,10.00,3,0,0.05,2.03049,1.11926,11.05445,11.04413,-33.36110,-34.43441,-7.07020,-7.38334,34.10206,11.96561,35.21707,12.10198,0,0,
3,EIS,00:01:41.586,00:01:46.633,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,10.92379,-2.05791,-0.03574,1573.771,0.00000,0.01,10.00,3,0,0.05,2.05822,0.99508,11.45353,10.94857,-34.35061,-35.46573,-5.12757,-5.37022,34.73120,8.48995,35.87000,8.61032,0,0,
3,EIS,00:01:58.563,00:02:03.610,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,11.45496,-1.30949,-0.26269,1185.185,0.00000,0.01,10.00,3,0,0.05,1.33558,11.34338,10.92398,10.92744,-31.51839,-32.60398,-3.85417,-4.03140,31.75317,6.97171,32.85227,7.04871,0,0,
3,EIS,00:02:16.439,00:02:21.486,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,889.140,0,9,14,36,7,16.00000,10.90034,-0.29961,-0.06357,888.889,0.00000,0.01,10.00,3,0,0.05,0.30627,11.97885,11.46881,10.92210,-28.74160,-29.81155,-2.65389,-2.78485,28.86386,5.27551,29.94134,5.33680,0,0,
3,EIS,00:02:33.927,00:02:38.974,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,666.761,0,9,14,36,8,16.00000,11.48465,0.38005,0.03727,666.667,0.00000,0.01,10.00,3,0,0.05,0.38188,5.60148,10.91416,10.92178,-27.04748,-28.11176,-1.85700,-1.95700,27.11116,3.92759,28.17979,3.98223,0,0,
3,EIS,00:02:52.126,00:02:57.173,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,500.000,0,9,14,36,9,16.00000,11.50205,0.87163,0.07533,500.000,0.00000,0.01,10.00,3,0,0.05,0.87487,4.93936,10.91287,10.91778,-25.56188,-26.61271,-1.30724,-1.37894,25.59528,2.92758,26.64841,2.96613,0,0,
3,EIS,00:03:10.589,00:03:15.636,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,374.947,0,9,14,36,10,16.00000,10.89662,1.52912,0.19316,375.000,0.00000,0.01,10.00,3,0,0.05,1.54127,7.19946,11.52232,10.91864,-24.24069,-25.26483,-0.82718,-0.88272,24.25480,1.95438,25.28025,2.00102,0,0,
3,EIS,00:03:30.078,00:03:35.125,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,281.171,0,9,14,36,11,16.00000,11.73672,51.44866,-10.09117,281.525,0.00000,0.01,10.00,3,0,0.05,52.42897,-11.09715,11.71744,11.72039,51.43639,51.43958,-10.08422,-10.07200,52.41558,-11.09228,52.41636,-11.07850,0,0,
3,EIS,00:03:50.902,00:03:55.949,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,210.848,0,9,14,36,12,16.00000,11.79374,52.97166,-11.72817,210.989,0.00000,0.01,10.00,3,0,0.05,54.25447,-12.48416,11.80738,11.79567,52.95796,52.96650,-11.71664,-11.70971,54.23859,-12.47540,54.24544,-12.46630,0,0,
