

Measurement ID,7593
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/13 13:41:14
End Time,2024/05/13 13:48:27
Test section,EIS00001
Comment,UCT_AST_B05_-40 1
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,StartFreq: 5.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.470,00:00:37.512,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,5000.000,0,9,14,36,1,16.00000,12.19212,32.13299,7.93373,5052.631,0.00000,0.01,10.00,3,0,0.05,33.09793,13.86911,12.19269,12.19416,32.11252,32.10741,8.14680,8.02599,33.12981,14.23534,33.09535,14.03479,0,0,
3,EIS,00:00:49.267,00:00:54.309,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,3749.471,0,9,14,36,2,16.00000,12.19250,32.37235,4.87557,3692.308,0.00000,0.01,10.00,3,0,0.05,32.73744,8.56490,12.19314,12.19412,32.34668,32.35143,5.04511,4.94197,32.73776,8.86500,32.72672,8.68530,0,0,
3,EIS,00:01:06.354,00:01:11.396,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2811.707,0,9,14,36,3,16.00000,12.19275,32.69894,2.69253,2823.529,0.00000,0.01,10.00,3,0,0.05,32.80961,4.70729,12.19301,12.19472,32.68733,32.68909,2.81487,2.75040,32.80831,4.92188,32.80459,4.80943,0,0,
3,EIS,00:01:23.294,00:01:28.336,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,2108.483,0,9,14,36,4,16.00000,12.19284,33.16990,0.69576,2086.957,0.00000,0.01,10.00,3,0,0.05,33.17719,1.20164,12.19359,12.19473,33.16591,33.16830,0.78584,0.73125,33.17522,1.35733,33.17636,1.26298,0,0,
3,EIS,00:01:40.449,00:01:45.491,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1581.139,0,9,14,36,5,16.00000,12.19227,33.67933,-0.88476,1573.771,0.00000,0.01,10.00,3,0,0.05,33.69095,-1.50483,12.19337,12.19537,33.68248,33.68349,-0.80931,-0.84918,33.69221,-1.37642,33.69420,-1.44415,0,0,
3,EIS,00:01:57.703,00:02:02.745,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,1185.687,0,9,14,36,6,16.00000,12.19346,34.26347,-2.29040,1185.185,0.00000,0.01,10.00,3,0,0.05,34.33994,-3.82434,12.19353,12.19596,34.26892,34.27294,-2.22972,-2.25987,34.34139,-3.72272,34.34736,-3.77248,0,0,
3,EIS,00:02:15.204,00:02:20.246,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,889.140,0,9,14,36,7,16.00000,12.19334,34.96397,-3.56457,888.889,0.00000,0.01,10.00,3,0,0.05,35.14521,-5.82118,12.19502,12.19454,34.96503,34.96103,-3.53099,-3.55293,35.14287,-5.76654,35.14110,-5.80278,0,0,
3,EIS,00:02:32.916,00:02:37.958,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,666.761,0,9,14,36,8,16.00000,12.19347,35.77205,-4.79295,666.667,0.00000,0.01,10.00,3,0,0.05,36.09172,-7.63138,12.19305,12.19613,35.77666,35.76715,-4.76415,-4.77832,36.09247,-7.58509,36.08492,-7.60938,0,0,
3,EIS,00:02:51.237,00:02:56.279,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,500.000,0,9,14,36,9,16.00000,12.19257,36.68591,-6.01144,500.000,0.00000,0.01,10.00,3,0,0.05,37.17518,-9.30592,12.19412,12.19592,36.68791,36.68371,-5.99682,-6.00216,37.17478,-9.28318,37.17150,-9.29236,0,0,
3,EIS,00:03:10.023,00:03:15.065,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,374.947,0,9,14,36,10,16.00000,12.19278,37.70677,-7.34092,375.000,0.00000,0.01,10.00,3,0,0.05,38.41470,-11.01679,12.19435,12.19576,37.70773,37.71158,-7.33453,-7.34790,38.41443,-11.00715,38.42076,-11.02563,0,0,
3,EIS,00:03:29.470,00:03:34.512,0,0,UCT_AST9AH_EIS,,,5.00,5000.00,281.171,0,9,14,36,11,16.00000,12.19408,38.93752,-8.65064,281.525,0.00000,0.01,10.00,3,0,0.05,39.88689,-12.52580,12.19322,12.19443,38.93970,38.94048,-8.63534,-8.64114,39.88570,-12.50366,39.88772,-12.51156,0,0,
