

Measurement ID,7596
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/14 08:02:28
End Time,2024/05/14 08:09:01
Test section,EIS00001
Comment,UCT_AST_B02X_-30 TEST RUN
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.044,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.044,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.044,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:31.918,00:00:36.962,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,5000.000,0,9,14,36,1,16.00000,13.60584,58.55317,6.51770,5052.631,0.00000,0.01,10.00,3,0,0.05,58.91480,6.35159,13.60580,13.60717,58.51708,58.51965,6.80588,6.70115,58.91154,6.63403,58.90208,6.53255,0,0,
3,EIS,00:00:49.369,00:00:54.413,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,3749.471,0,9,14,36,2,16.00000,13.60522,59.03026,3.39063,3692.308,0.00000,0.01,10.00,3,0,0.05,59.12756,3.28739,13.60583,13.60695,59.00571,59.01720,3.63040,3.52878,59.11729,3.52075,59.12260,3.42177,0,0,
3,EIS,00:01:06.467,00:01:11.511,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,2811.707,0,9,14,36,3,16.00000,13.60602,59.50930,1.12951,2823.529,0.00000,0.01,10.00,3,0,0.05,59.52001,1.08736,13.60545,13.60686,59.50076,59.50294,1.28685,1.23527,59.51468,1.23897,59.51577,1.18928,0,0,
3,EIS,00:01:23.993,00:01:29.037,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,2108.483,0,9,14,36,4,16.00000,13.60496,60.26091,-0.98407,2086.957,0.00000,0.01,10.00,3,0,0.05,60.26895,-0.93557,13.60470,13.60641,60.25038,60.25214,-0.86738,-0.91016,60.25663,-0.82478,60.25902,-0.86543,0,0,
3,EIS,00:01:40.890,00:01:45.934,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,1581.139,0,9,14,36,5,16.00000,13.60340,61.01537,-2.66202,1573.771,0.00000,0.01,10.00,3,0,0.05,61.07341,-2.49815,13.60502,13.60807,61.00873,61.01558,-2.57065,-2.60377,61.06286,-2.41278,61.07111,-2.44355,0,0,
3,EIS,00:01:58.620,00:02:03.664,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,1185.687,0,9,14,36,6,16.00000,13.60452,61.82880,-4.14363,1185.185,0.00000,0.01,10.00,3,0,0.05,61.96749,-3.83411,13.60506,13.60839,61.82728,61.83565,-4.06358,-4.09349,61.96068,-3.76034,61.97100,-3.78743,0,0,
3,EIS,00:02:15.987,00:02:21.031,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,889.140,0,9,14,36,7,16.00000,13.60610,62.79653,-5.49127,888.889,0.00000,0.01,10.00,3,0,0.05,63.03617,-4.99754,13.60469,13.60850,62.78547,62.79010,-5.44525,-5.46123,63.02115,-4.95674,63.02715,-4.97085,0,0,
3,EIS,00:02:33.717,00:02:38.761,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,666.761,0,9,14,36,8,16.00000,13.60594,63.87336,-6.79148,666.667,0.00000,0.01,10.00,3,0,0.05,64.23340,-6.06930,13.60713,13.60615,63.86679,63.87197,-6.74374,-6.75839,64.22185,-6.02757,64.22853,-6.04008,0,0,
3,EIS,00:02:51.837,00:02:56.881,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,500.000,0,9,14,36,9,16.00000,13.60185,65.07777,-8.04728,500.000,0.00000,0.01,10.00,3,0,0.05,65.57343,-7.04921,13.60430,13.60654,65.07262,65.07481,-8.02439,-8.02561,65.56551,-7.02991,65.56784,-7.03072,0,0,
3,EIS,00:03:10.388,00:03:15.432,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,374.947,0,9,14,36,10,16.00000,13.60118,66.46088,-9.27771,375.000,0.00000,0.01,10.00,3,0,0.05,67.10532,-7.94694,13.60295,13.60567,66.45966,66.46376,-9.25739,-9.26591,67.10131,-7.92990,67.10655,-7.93662,0,0,
3,EIS,00:03:29.751,00:03:34.795,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,281.171,0,9,14,36,11,16.00000,13.60405,67.91622,-10.73089,281.525,0.00000,0.01,10.00,3,0,0.05,68.75875,-8.97862,13.60385,13.60227,67.91097,67.90673,-10.71265,-10.71669,68.75071,-8.96429,68.74716,-8.96816,0,0,
3,EIS,00:03:50.156,00:03:55.200,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,210.848,0,9,14,36,12,16.00000,13.60323,69.68213,-12.22332,210.989,0.00000,0.01,10.00,3,0,0.05,70.74609,-9.94934,13.60691,13.60475,69.67913,69.68620,-12.20769,-12.22144,70.74044,-9.93729,70.74978,-9.94727,0,0,
3,EIS,00:04:09.619,00:04:14.663,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,158.114,0,9,14,36,13,16.00000,13.60292,71.54685,-13.90194,157.895,0.00000,0.01,10.00,3,0,0.05,72.88495,-10.99587,13.60195,13.60278,71.53960,71.53813,-13.88403,-13.89731,72.87441,-10.98313,72.87550,-10.99360,0,0,
