

Measurement ID,7606
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/14 09:39:50
End Time,2024/05/14 09:42:47
Test section,EIS00001
Comment,UCT_AST_B09_-30 FAIL 2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.040,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 5000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.040,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.040,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.339,00:00:37.379,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,5000.000,0,9,14,36,1,16.00000,11.81892,314.64669,-13.39006,5052.631,0.00000,0.01,10.00,3,0,0.05,314.93148,-2.43680,11.81952,11.81785,314.60679,314.68293,-12.17251,-11.85826,314.84218,-2.21574,314.90628,-2.15807,0,0,
3,EIS,00:00:49.579,00:00:54.619,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,3749.471,0,9,14,36,2,16.00000,9.01299,-72.35324,-18.38170,3692.308,0.00000,0.01,10.00,3,0,0.03,74.65171,14.25470,11.21920,9.06146,-124.83114,-132.90733,-36.88221,-40.07659,130.16570,16.46013,138.81820,16.78005,0,0,
3,ERR,00:00:54.067,00:00:59.107,0,0,UCT_AST9AH_EIS,EISmeter: Voltage channel 1 reached voltage limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:54.076,00:00:59.116,0,0,UCT_AST9AH_EIS,,,3.00,5000.00,2811.707,0,9,14,36,65535,19.00000,9.01729,-72.35324,-18.38170,2823.529,5017.00000,0.01,10.00,3,0,0.03,74.65171,14.25470,9.08153,9.04737,-124.83114,-132.90733,-36.88221,-40.07659,130.16570,16.46013,138.81820,16.78005,0,0,
3,EIS,00:00:54.076,00:00:59.116,0,0,UCT_AST9AH_EIS,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:54.081,00:00:59.121,0,0,UCT_AST9AH_EIS,Stop via BTS-host computer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
