

Measurement ID,7618
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/14 14:51:12
End Time,2024/05/14 14:59:55
Test section,EIS00001
Comment,UCT_AST_B02X_-20
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.269,00:00:37.315,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,13.60811,41.49522,2.40688,3000.000,0.00000,0.01,10.00,3,0,0.05,41.56496,3.31965,13.60781,13.60972,41.49262,41.49328,2.53864,2.47920,41.57021,3.50116,41.56728,3.41932,0,0,
3,EIS,00:00:48.949,00:00:53.995,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,13.60838,42.07849,0.37097,2232.558,0.00000,0.01,10.00,3,0,0.05,42.08013,0.50511,13.60803,13.60968,42.07703,42.07986,0.47323,0.43190,42.07969,0.64437,42.08208,0.58805,0,0,
3,EIS,00:01:05.849,00:01:10.895,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,13.60677,42.65278,-1.23213,1684.211,0.00000,0.01,10.00,3,0,0.05,42.67057,-1.65467,13.60857,13.60902,42.64728,42.64886,-1.15364,-1.18963,42.66288,-1.54951,42.66545,-1.59777,0,0,
3,EIS,00:01:22.799,00:01:27.845,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,13.60732,43.32071,-2.64463,1263.158,0.00000,0.01,10.00,3,0,0.05,43.40136,-3.49345,13.60759,13.60972,43.32396,43.32488,-2.57539,-2.60357,43.40044,-3.40194,43.40304,-3.43900,0,0,
3,EIS,00:01:40.085,00:01:45.131,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,13.60828,44.10491,-3.87510,950.495,0.00000,0.01,10.00,3,0,0.05,44.27482,-5.02116,13.60886,13.60853,44.11180,44.11413,-3.82478,-3.84529,44.27731,-4.95552,44.28140,-4.98170,0,0,
3,EIS,00:01:57.530,00:02:02.576,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,13.60624,45.00073,-5.03802,711.111,0.00000,0.01,10.00,3,0,0.05,45.28187,-6.38791,13.60713,13.60918,45.01391,45.00674,-5.00086,-5.01861,45.29085,-6.33933,45.28568,-6.36265,0,0,
3,EIS,00:02:15.725,00:02:20.771,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,533.484,0,9,14,36,7,16.00000,13.60643,45.99741,-6.15216,533.333,0.00000,0.01,10.00,3,0,0.05,46.40701,-7.61810,13.60880,13.60623,45.99790,45.99128,-6.12422,-6.13187,46.40380,-7.58384,46.39825,-7.59427,0,0,
3,EIS,00:02:35.307,00:02:40.353,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,400.056,0,9,14,36,8,16.00000,13.60754,47.07549,-7.26633,400.000,0.00000,0.01,10.00,3,0,0.05,47.63299,-8.77463,13.60659,13.60827,47.09054,47.08542,-7.25966,-7.26943,47.64684,-8.76394,47.64327,-8.77650,0,0,
3,EIS,00:02:54.156,00:02:59.202,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,300.000,0,9,14,36,9,16.00000,13.60377,48.32388,-8.45587,300.000,0.00000,0.01,10.00,3,0,0.05,49.05812,-9.92531,13.60636,13.60912,48.31820,48.31162,-8.43991,-8.44484,49.04978,-9.90810,49.04414,-9.91509,0,0,
3,EIS,00:03:14.042,00:03:19.088,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,224.968,0,9,14,36,10,16.00000,13.60587,49.68080,-9.74590,224.824,0.00000,0.01,10.00,3,0,0.05,50.62771,-11.09880,13.60406,13.60513,49.68485,49.68062,-9.73199,-9.73967,50.62900,-11.08247,50.62633,-11.09191,0,0,
3,EIS,00:03:32.645,00:03:37.691,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,168.702,0,9,14,36,11,16.00000,13.60620,51.23384,-11.15056,168.421,0.00000,0.01,10.00,3,0,0.05,52.43320,-12.27841,13.60603,13.60901,51.22860,51.22986,-11.13795,-11.14459,52.42541,-12.26616,52.42805,-12.27296,0,0,
3,EIS,00:03:52.067,00:03:57.113,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,126.509,0,9,14,36,12,16.00000,13.60386,52.98675,-12.66736,126.649,0.00000,0.01,10.00,3,0,0.05,54.47989,-13.44516,13.60392,13.60708,52.98192,52.98811,-12.65299,-12.65691,54.47184,-13.43163,54.47878,-13.43413,0,0,
3,EIS,00:04:13.500,00:04:18.546,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,94.868,0,9,14,36,13,16.00000,13.60621,54.95867,-14.33623,94.862,0.00000,0.01,10.00,3,0,0.05,56.79773,-14.62008,13.60547,13.60405,54.95294,54.95894,-14.32674,-14.32386,56.78980,-14.61227,56.79488,-14.60794,0,0,
3,EIS,00:04:32.571,00:04:37.617,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,71.141,0,9,14,36,14,16.00000,13.60328,57.04832,-16.14854,71.217,0.00000,0.01,10.00,3,0,0.05,59.28985,-15.80511,13.60520,13.60943,57.04806,57.04285,-16.13946,-16.13710,59.28713,-15.79673,59.28147,-15.79591,0,0,
3,EIS,00:04:53.415,00:04:58.461,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,53.348,0,9,14,36,15,16.00000,13.60458,59.22018,-18.22982,53.333,0.00000,0.01,10.00,3,0,0.05,61.96254,-17.11000,13.60231,13.60951,59.21624,59.23450,-18.23641,-18.24813,61.96071,-17.11689,61.98161,-17.12228,0,0,
3,EIS,00:05:12.184,00:05:17.230,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,40.006,0,9,14,36,16,16.00000,13.60303,61.34312,-20.77606,40.000,0.00000,0.01,10.00,3,0,0.05,64.76591,-18.71052,13.60488,13.60955,61.34126,61.34154,-20.75966,-20.75914,64.75889,-18.69731,64.75899,-18.69680,0,0,
3,EIS,00:05:32.402,00:05:37.448,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,30.000,0,9,14,36,17,16.00000,13.60412,63.42956,-24.04622,30.000,0.00000,0.01,10.00,3,0,0.05,67.83457,-20.76177,13.60261,13.60870,63.42493,63.43360,-24.03979,-24.03299,67.82797,-20.75808,67.83366,-20.75012,0,0,
3,EIS,00:05:51.813,00:05:56.859,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,22.497,0,9,14,36,18,16.00000,13.60329,65.53603,-28.37567,22.472,0.00000,0.01,10.00,3,0,0.05,71.41533,-23.41156,13.60443,13.60930,65.52820,65.52235,-28.35595,-28.37813,71.40031,-23.39953,71.40376,-23.41773,0,0,
3,EIS,00:06:11.000,00:06:16.046,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,16.870,0,9,14,36,19,16.00000,13.60626,67.67864,-34.16268,16.854,0.00000,0.01,10.00,3,0,0.05,75.81218,-26.78364,13.60429,13.60308,67.64734,67.64539,-34.14994,-34.14559,75.77850,-26.78570,75.77479,-26.78343,0,0,
3,EIS,00:06:31.739,00:06:36.785,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,12.651,0,9,14,36,20,16.00000,13.60360,70.01344,-41.82762,12.658,0.00000,0.01,10.00,3,0,0.05,81.55631,-30.85506,13.60627,13.60173,70.03741,70.01218,-41.82890,-41.82991,81.57754,-30.84719,81.55640,-30.85689,0,0,
3,EIS,00:06:50.659,00:06:55.705,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,9.487,0,9,14,36,21,16.00000,13.60244,72.78427,-52.02934,9.494,0.00000,0.01,10.00,3,0,0.05,89.46845,-35.55882,13.60400,13.60994,72.72435,72.73121,-52.02181,-52.01624,89.41532,-35.57722,89.41766,-35.57177,0,0,
3,EIS,00:07:10.806,00:07:15.852,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,7.114,0,9,14,36,22,16.00000,13.60324,76.11343,-65.48134,7.109,0.00000,0.01,10.00,3,0,0.05,100.40449,-40.70582,13.60077,13.61052,76.13359,76.12608,-65.49859,-65.46435,100.43101,-40.70578,100.40300,-40.69376,0,0,
3,EIS,00:07:30.194,00:07:35.240,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,5.335,0,9,14,36,23,16.00000,13.59900,80.37186,-82.85847,5.338,0.00000,0.01,10.00,3,0,0.05,115.43467,-45.87276,13.60342,13.60172,80.36266,80.31040,-82.88797,-82.90782,115.44943,-45.88623,115.42732,-45.91172,0,0,
3,EIS,00:07:49.497,00:07:54.543,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,4.001,0,9,14,36,24,16.00000,13.60205,86.01875,-105.51055,4.000,0.00000,0.01,10.00,3,0,0.05,136.13119,-50.81094,13.60338,13.60969,86.02285,85.95477,-105.56246,-105.60528,136.17402,-50.82341,136.16423,-50.85700,0,0,
3,EIS,00:08:10.207,00:08:15.253,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3.000,0,9,14,36,25,16.00000,13.60270,93.58501,-134.66458,3.000,0.00000,0.01,10.00,3,0,0.05,163.98995,-55.20267,13.59624,13.60443,93.53483,93.55881,-134.71572,-134.75059,164.00332,-55.22726,164.04564,-55.22733,0,0,
3,EIS,00:08:31.235,00:08:36.281,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3.000,0,9,14,36,26,16.00000,13.61101,93.51029,-134.71349,3.000,0.00000,0.01,10.00,3,0,0.05,163.98749,-55.23386,13.60312,13.60621,93.42163,93.46601,-134.69513,-134.67625,163.92187,-55.25566,163.93165,-55.23915,0,0,
