

Measurement ID,7643
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 13:57:39
End Time,2024/05/15 14:06:22
Test section,TS007453
Comment,UCT_AST_B02X_+00
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.045,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.271,00:00:37.316,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,13.59773,31.68520,3.46875,3000.000,0.00000,0.01,10.00,3,0,0.05,31.87450,6.24759,13.59747,13.59866,31.67304,31.67344,3.55957,3.51881,31.87244,6.41228,31.86830,6.33936,0,0,
3,EIS,00:00:49.468,00:00:54.513,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,13.59753,32.08853,1.55831,2232.558,0.00000,0.01,10.00,3,0,0.05,32.12634,2.78027,13.59765,13.59815,32.08457,32.08814,1.62096,1.59156,32.12549,2.89221,32.12758,2.83953,0,0,
3,EIS,00:01:06.375,00:01:11.420,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,13.59666,32.49275,0.06348,1684.211,0.00000,0.01,10.00,3,0,0.05,32.49281,0.11193,13.59745,13.59945,32.49132,32.49542,0.11647,0.09195,32.49153,0.20538,32.49555,0.16212,0,0,
3,EIS,00:01:23.703,00:01:28.748,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,13.59641,33.00204,-1.22466,1263.158,0.00000,0.01,10.00,3,0,0.05,33.02475,-2.12519,13.59818,13.59853,33.00956,33.00833,-1.17753,-1.19243,33.03056,-2.04301,33.02986,-2.06891,0,0,
3,EIS,00:01:40.828,00:01:45.873,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,13.59829,33.61676,-2.31918,950.495,0.00000,0.01,10.00,3,0,0.05,33.69667,-3.94652,13.59709,13.59738,33.61714,33.61694,-2.28015,-2.29465,33.69438,-3.88026,33.69516,-3.90489,0,0,
3,EIS,00:01:58.366,00:02:03.411,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,13.59627,34.27891,-3.32630,711.111,0.00000,0.01,10.00,3,0,0.05,34.43991,-5.54242,13.59741,13.59834,34.27831,34.28323,-3.30287,-3.31346,34.43707,-5.50371,34.44298,-5.52047,0,0,
3,EIS,00:02:16.184,00:02:21.229,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,533.484,0,9,14,36,7,16.00000,13.59626,35.01449,-4.28101,533.333,0.00000,0.01,10.00,3,0,0.05,35.27523,-6.97062,13.59685,13.59863,35.01835,35.00735,-4.26179,-4.26968,35.27673,-6.93887,35.26676,-6.95374,0,0,
3,EIS,00:02:34.473,00:02:39.518,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,400.056,0,9,14,36,8,16.00000,13.59823,35.84658,-5.20565,400.000,0.00000,0.01,10.00,3,0,0.05,36.22259,-8.26275,13.59604,13.59796,35.85573,35.84671,-5.20536,-5.20963,36.23160,-8.26022,36.22329,-8.26895,0,0,
3,EIS,00:02:54.320,00:02:59.365,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,300.000,0,9,14,36,9,16.00000,13.59792,36.80668,-6.19076,300.000,0.00000,0.01,10.00,3,0,0.05,37.32368,-9.54760,13.59651,13.59795,36.80104,36.80052,-6.17402,-6.17857,37.31534,-9.52368,37.31559,-9.53071,0,0,
3,EIS,00:03:14.308,00:03:19.353,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,224.968,0,9,14,36,10,16.00000,13.59615,37.89910,-7.21341,224.824,0.00000,0.01,10.00,3,0,0.05,38.57947,-10.77633,13.59476,13.59842,37.90407,37.89850,-7.20081,-7.20942,38.58199,-10.75657,38.57813,-10.77067,0,0,
3,EIS,00:03:33.306,00:03:38.351,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,168.702,0,9,14,36,11,16.00000,13.59610,39.09635,-8.30067,168.421,0.00000,0.01,10.00,3,0,0.05,39.96781,-11.98666,13.59470,13.59950,39.08715,39.08454,-8.28623,-8.29045,39.95581,-11.96914,39.95413,-11.97584,0,0,
3,EIS,00:03:52.612,00:03:57.657,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,126.509,0,9,14,36,12,16.00000,13.59604,40.39278,-9.42733,126.649,0.00000,0.01,10.00,3,0,0.05,41.47832,-13.13719,13.59620,13.59715,40.38884,40.38757,-9.42163,-9.42432,41.47319,-13.13075,41.47257,-13.13477,0,0,
3,EIS,00:04:13.021,00:04:18.066,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,94.868,0,9,14,36,13,16.00000,13.59717,41.79806,-10.70506,94.862,0.00000,0.01,10.00,3,0,0.05,43.14714,-14.36546,13.59419,13.59735,41.80278,41.79366,-10.69369,-10.68980,43.14890,-14.34928,43.13910,-14.34727,0,0,
3,EIS,00:04:32.999,00:04:38.044,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,71.141,0,9,14,36,14,16.00000,13.59728,43.21205,-12.16676,71.217,0.00000,0.01,10.00,3,0,0.05,44.89222,-15.72506,13.59595,13.59553,43.21452,43.20670,-12.14919,-12.13871,44.88984,-15.70262,44.87948,-15.69245,0,0,
3,EIS,00:04:53.457,00:04:58.502,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,53.348,0,9,14,36,15,16.00000,13.59409,44.60036,-13.97645,53.333,0.00000,0.01,10.00,3,0,0.05,46.73899,-17.39947,13.59580,13.59932,44.60380,44.59082,-13.98945,-13.99131,46.74617,-17.41341,46.73433,-17.42035,0,0,
3,EIS,00:05:12.506,00:05:17.551,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,40.006,0,9,14,36,16,16.00000,13.59520,45.99842,-16.33088,40.000,0.00000,0.01,10.00,3,0,0.05,48.81140,-19.54646,13.59772,13.59486,45.97722,45.98428,-16.33725,-16.32421,48.79355,-19.56183,48.79584,-19.54464,0,0,
3,EIS,00:05:32.368,00:05:37.413,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,30.000,0,9,14,36,17,16.00000,13.59363,47.40880,-19.48238,30.000,0.00000,0.01,10.00,3,0,0.05,51.25580,-22.33994,13.59555,13.59879,47.40288,47.41269,-19.45472,-19.46630,51.23983,-22.31384,51.25329,-22.32165,0,0,
3,EIS,00:05:50.944,00:05:55.989,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,22.497,0,9,14,36,18,16.00000,13.59503,48.95991,-23.66972,22.472,0.00000,0.01,10.00,3,0,0.05,54.38133,-25.80149,13.59278,13.59851,48.97325,48.95846,-23.66651,-23.65671,54.39194,-25.79233,54.37436,-25.78981,0,0,
3,EIS,00:06:10.954,00:06:15.999,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,16.870,0,9,14,36,19,16.00000,13.59309,50.78126,-29.17126,16.854,0.00000,0.01,10.00,3,0,0.05,58.56364,-29.87518,13.59522,13.59441,50.77783,50.79560,-29.17820,-29.17881,58.56411,-29.88275,58.57983,-29.87460,0,0,
3,EIS,00:06:31.542,00:06:36.587,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,12.651,0,9,14,36,20,16.00000,13.59491,53.10163,-36.39899,12.658,0.00000,0.01,10.00,3,0,0.05,64.37910,-34.42904,13.59521,13.59375,53.08997,53.09512,-36.39815,-36.36669,64.36902,-34.43429,64.35548,-34.40860,0,0,
3,EIS,00:06:50.812,00:06:55.857,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,9.487,0,9,14,36,21,16.00000,13.59470,56.18834,-45.79210,9.494,0.00000,0.01,10.00,3,0,0.05,72.48480,-39.17918,13.59465,13.59999,56.14640,56.13391,-45.74280,-45.75473,72.42114,-39.16990,72.41900,-39.18346,0,0,
3,EIS,00:07:11.328,00:07:16.373,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,7.114,0,9,14,36,22,16.00000,13.59902,60.38266,-57.78726,7.109,0.00000,0.01,10.00,3,0,0.05,83.57890,-43.74180,13.59507,13.59442,60.36096,60.39044,-57.78086,-57.76706,83.55880,-43.74891,83.57056,-43.72810,0,0,
3,EIS,00:07:30.254,00:07:35.299,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,5.335,0,9,14,36,23,16.00000,13.59451,66.13801,-72.93540,5.338,0.00000,0.01,10.00,3,0,0.05,98.45715,-47.79818,13.59037,13.59729,66.13185,66.14047,-72.92152,-72.91414,98.44272,-47.79541,98.44305,-47.78880,0,0,
3,EIS,00:07:50.361,00:07:55.406,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,4.001,0,9,14,36,24,16.00000,13.58925,74.38580,-91.95098,4.000,0.00000,0.01,10.00,3,0,0.05,118.27185,-51.02810,13.59484,13.60056,74.46606,74.40255,-91.98087,-91.96097,118.34557,-51.00699,118.29015,-51.02484,0,0,
