

Measurement ID,7649
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 14:58:01
End Time,2024/05/15 15:06:44
Test section,TS007459\EIS00001
Comment,UCT_AST_B06_+00
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.042,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.636,00:00:37.678,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.24141,48.69869,4.48923,3000.000,0.00000,0.01,10.00,3,0,0.05,48.90517,5.26685,12.24180,12.24259,48.68403,48.67911,4.62751,4.59661,48.90346,5.42977,48.89565,5.39425,0,0,
3,EIS,00:00:49.483,00:00:54.525,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,12.24150,48.81297,2.58108,2232.558,0.00000,0.01,10.00,3,0,0.05,48.88116,3.02681,12.24269,12.24385,48.79754,48.80344,2.68718,2.66437,48.87147,3.15198,48.87612,3.12489,0,0,
3,EIS,00:01:06.362,00:01:11.404,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,12.24164,48.98627,1.12446,1684.211,0.00000,0.01,10.00,3,0,0.05,48.99917,1.31497,12.24285,12.24239,48.97732,48.98555,1.20598,1.19381,48.99216,1.41053,49.00009,1.39606,0,0,
3,EIS,00:01:23.543,00:01:28.585,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,12.24153,49.26996,-0.12768,1263.158,0.00000,0.01,10.00,3,0,0.05,49.27013,-0.14848,12.24267,12.24378,49.27528,49.27524,-0.06432,-0.07737,49.27532,-0.07479,49.27530,-0.08996,0,0,
3,EIS,00:01:41.278,00:01:46.320,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,12.24272,49.64351,-1.19373,950.495,0.00000,0.01,10.00,3,0,0.05,49.65786,-1.37747,12.24192,12.24290,49.64839,49.65150,-1.13451,-1.15006,49.66135,-1.30903,49.66482,-1.32689,0,0,
3,EIS,00:01:58.970,00:02:04.012,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,12.23991,50.08418,-2.16833,711.111,0.00000,0.01,10.00,3,0,0.05,50.13110,-2.47899,12.24188,12.24107,50.08890,50.08753,-2.13460,-2.13666,50.13436,-2.44026,50.13308,-2.44267,0,0,
