

Measurement ID,7655
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 15:57:32
End Time,2024/05/15 16:06:17
Test section,TS007465\EIS00001
Comment,UCT_AST_B02X_+RT2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.044,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.044,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.044,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.041,00:00:38.085,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,13.61602,30.97076,4.46104,3000.000,0.00000,0.01,10.00,3,0,0.05,31.29039,8.19653,13.61652,13.61799,30.95385,30.95285,4.55861,4.49121,31.28772,8.37780,31.27699,8.25590,0,0,
3,EIS,00:00:50.136,00:00:55.180,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,13.61617,31.08431,2.69313,2232.558,0.00000,0.01,10.00,3,0,0.05,31.20076,4.95171,13.61617,13.61763,31.07586,31.08180,2.75991,2.71186,31.19817,5.07523,31.19987,4.98637,0,0,
3,EIS,00:01:07.166,00:01:12.210,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,13.61619,31.21887,1.36460,1684.211,0.00000,0.01,10.00,3,0,0.05,31.24868,2.50285,13.61651,13.61771,31.22163,31.21418,1.41471,1.37934,31.25366,2.59441,31.24464,2.53022,0,0,
3,EIS,00:01:24.802,00:01:29.846,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,13.61618,31.46237,0.23460,1263.158,0.00000,0.01,10.00,3,0,0.05,31.46325,0.42721,13.61613,13.61720,31.46898,31.46790,0.28420,0.25552,31.47026,0.51743,31.46893,0.46523,0,0,
3,EIS,00:01:42.908,00:01:47.952,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,13.61514,31.78296,-0.68249,950.495,0.00000,0.01,10.00,3,0,0.05,31.79029,-1.23015,13.61647,13.61807,31.78896,31.79082,-0.64661,-0.66719,31.79553,-1.16527,31.79782,-1.20228,0,0,
3,EIS,00:02:00.363,00:02:05.407,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,13.61605,32.15489,-1.49514,711.111,0.00000,0.01,10.00,3,0,0.05,32.18963,-2.66222,13.61563,13.61875,32.16579,32.15969,-1.47306,-1.48681,32.19950,-2.62207,32.19404,-2.64702,0,0,
3,EIS,00:02:18.925,00:02:23.969,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,533.484,0,9,14,36,7,16.00000,13.61680,32.58676,-2.22912,533.333,0.00000,0.01,10.00,3,0,0.05,32.66291,-3.91327,13.61645,13.61894,32.59188,32.58421,-2.20363,-2.21640,32.66629,-3.86805,32.65951,-3.89130,0,0,
3,EIS,00:02:37.283,00:02:42.327,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,400.056,0,9,14,36,8,16.00000,13.61598,33.06400,-2.90454,400.000,0.00000,0.01,10.00,3,0,0.05,33.19134,-5.02032,13.61775,13.61814,33.07045,33.07418,-2.90300,-2.90664,33.19762,-5.01669,33.20165,-5.02239,0,0,
3,EIS,00:02:56.489,00:03:01.533,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,300.000,0,9,14,36,9,16.00000,13.61591,33.63019,-3.57531,300.000,0.00000,0.01,10.00,3,0,0.05,33.81971,-6.06846,13.61784,13.61640,33.62582,33.62538,-3.56100,-3.56530,33.81385,-6.04513,33.81387,-6.05246,0,0,
3,EIS,00:03:16.763,00:03:21.807,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,224.968,0,9,14,36,10,16.00000,13.61456,34.25753,-4.22277,224.824,0.00000,0.01,10.00,3,0,0.05,34.51681,-7.02714,13.61633,13.61922,34.27557,34.25915,-4.21581,-4.21700,34.53387,-7.01202,34.51771,-7.01731,0,0,
3,EIS,00:03:35.632,00:03:40.676,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,168.702,0,9,14,36,11,16.00000,13.61414,34.93527,-4.89504,168.421,0.00000,0.01,10.00,3,0,0.05,35.27655,-7.97621,13.61796,13.61759,34.93299,34.92987,-4.88527,-4.89163,35.27293,-7.96100,35.27072,-7.97194,0,0,
3,EIS,00:03:55.917,00:04:00.961,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,126.509,0,9,14,36,12,16.00000,13.61596,35.62663,-5.64936,126.649,0.00000,0.01,10.00,3,0,0.05,36.07176,-9.01045,13.61630,13.61717,35.62511,35.62931,-5.64652,-5.64441,36.06981,-9.00637,36.07363,-9.00201,0,0,
3,EIS,00:04:16.238,00:04:21.282,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,94.868,0,9,14,36,13,16.00000,13.61587,36.37883,-6.53127,94.862,0.00000,0.01,10.00,3,0,0.05,36.96047,-10.17816,13.61749,13.61860,36.38197,36.37368,-6.52793,-6.53228,36.96297,-10.17221,36.95559,-10.18112,0,0,
3,EIS,00:04:35.481,00:04:40.525,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,71.141,0,9,14,36,14,16.00000,13.61771,37.17914,-7.64940,71.217,0.00000,0.01,10.00,3,0,0.05,37.95789,-11.62605,13.61568,13.61753,37.19237,37.18027,-7.64083,-7.63762,37.96913,-11.60936,37.95663,-11.60829,0,0,
3,EIS,00:04:56.169,00:05:01.213,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,53.348,0,9,14,36,15,16.00000,13.61673,38.12722,-9.04750,53.333,0.00000,0.01,10.00,3,0,0.05,39.18599,-13.34925,13.61627,13.61755,38.13835,38.13986,-9.02758,-9.05203,39.19223,-13.31716,39.19934,-13.35141,0,0,
3,EIS,00:05:15.055,00:05:20.099,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,40.006,0,9,14,36,16,16.00000,13.61584,39.32147,-10.83054,40.000,0.00000,0.01,10.00,3,0,0.05,40.78577,-15.39946,13.61445,13.61918,39.31370,39.31597,-10.80271,-10.82135,40.77090,-15.36466,40.77802,-15.38907,0,0,
3,EIS,00:05:35.701,00:05:40.745,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,30.000,0,9,14,36,17,16.00000,13.61436,40.86138,-13.02581,30.000,0.00000,0.01,10.00,3,0,0.05,42.88734,-17.68127,13.61624,13.61883,40.86525,40.85686,-13.01193,-13.00903,42.88682,-17.66203,42.87795,-17.66174,0,0,
3,EIS,00:05:54.119,00:05:59.163,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,22.497,0,9,14,36,18,16.00000,13.61545,42.94679,-15.59890,22.472,0.00000,0.01,10.00,3,0,0.05,45.69193,-19.96175,13.61619,13.61589,42.91498,42.94203,-15.57648,-15.57316,45.65437,-19.94894,45.67867,-19.93345,0,0,
3,EIS,00:06:13.608,00:06:18.652,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,16.870,0,9,14,36,19,16.00000,13.61567,45.69824,-18.50702,16.854,0.00000,0.01,10.00,3,0,0.05,49.30354,-22.04712,13.61694,13.61984,45.69675,45.69360,-18.48458,-18.48860,49.29374,-22.02359,49.29233,-22.02930,0,0,
3,EIS,00:06:33.947,00:06:38.991,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,12.651,0,9,14,36,20,16.00000,13.61831,49.31290,-21.53428,12.658,0.00000,0.01,10.00,3,0,0.05,53.80973,-23.59024,13.61625,13.61588,49.28264,49.27056,-21.50874,-21.51035,53.77178,-23.57821,53.76136,-23.58493,0,0,
3,EIS,00:06:53.097,00:06:58.141,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,9.487,0,9,14,36,21,16.00000,13.61564,53.73912,-24.45054,9.494,0.00000,0.01,10.00,3,0,0.05,59.04000,-24.46486,13.61888,13.61933,53.73809,53.73707,-24.41548,-24.43244,59.02455,-24.43430,59.03065,-24.44970,0,0,
3,EIS,00:07:14.447,00:07:19.491,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,7.114,0,9,14,36,22,16.00000,13.61856,59.03668,-26.96193,7.109,0.00000,0.01,10.00,3,0,0.05,64.90204,-24.54608,13.61617,13.61496,59.02156,59.02975,-26.95321,-26.92081,64.88467,-24.54462,64.87866,-24.51559,0,0,
3,EIS,00:07:32.987,00:07:38.031,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,5.335,0,9,14,36,23,16.00000,13.61392,64.71094,-28.89308,5.338,0.00000,0.01,10.00,3,0,0.05,70.86830,-24.06050,13.61606,13.61434,64.70391,64.65235,-28.90522,-28.91341,70.86683,-24.07178,70.82310,-24.09484,0,0,
3,EIS,00:07:52.577,00:07:57.621,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,4.001,0,9,14,36,24,16.00000,13.61954,70.45663,-30.35450,4.000,0.00000,0.01,10.00,3,0,0.05,76.71723,-23.30760,13.61288,13.61738,70.47322,70.45296,-30.34831,-30.36945,76.73002,-23.29845,76.71977,-23.31894,0,0,
