

Measurement ID,7662
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 17:07:50
End Time,2024/05/15 17:16:33
Test section,TS007472\EIS00001
Comment,UCT_AST_B08_+RT2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.048,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.416,00:00:37.464,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,11.98623,69.38776,4.18138,3000.000,0.00000,0.01,10.00,3,0,0.05,69.51363,3.44854,11.98604,11.98834,69.38173,69.38431,4.35851,4.32851,69.51849,3.59456,69.51919,3.56975,0,0,
3,EIS,00:00:49.465,00:00:54.513,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,11.98435,68.83927,2.41195,2232.558,0.00000,0.01,10.00,3,0,0.05,68.88151,2.00668,11.98606,11.98801,68.82550,68.83226,2.54858,2.53102,68.87267,2.12067,68.87877,2.10586,0,0,
3,EIS,00:01:06.243,00:01:11.291,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,11.98559,68.06839,1.09045,1684.211,0.00000,0.01,10.00,3,0,0.05,68.07713,0.91779,11.98574,11.98730,68.05515,68.06035,1.18135,1.16690,68.06540,0.99448,68.07035,0.98224,0,0,
3,EIS,00:01:23.330,00:01:28.378,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,11.98413,67.50456,-0.04586,1263.158,0.00000,0.01,10.00,3,0,0.05,67.50458,-0.03892,11.98618,11.98779,67.50681,67.51155,0.03175,0.02113,67.50682,0.02695,67.51155,0.01793,0,0,
3,EIS,00:01:40.776,00:01:45.824,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,11.98557,67.79866,-0.95120,950.495,0.00000,0.01,10.00,3,0,0.05,67.80533,-0.80380,11.98797,11.98978,67.79117,67.79759,-0.89357,-0.90729,67.79706,-0.75518,67.80366,-0.76670,0,0,
3,EIS,00:01:58.574,00:02:03.622,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,11.98557,67.78900,-1.73804,711.111,0.00000,0.01,10.00,3,0,0.05,67.81127,-1.46869,11.98422,11.98971,67.78669,67.78436,-1.69245,-1.70103,67.80782,-1.43022,67.80570,-1.43752,0,0,
