

Measurement ID,7663
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 17:17:23
End Time,2024/05/15 17:24:20
Test section,TS007473\EIS00001
Comment,UCT_AST_B09_+RT2 FAIL 1
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.038,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:33.047,00:00:38.085,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,11.80259,25.59233,3.84621,3000.000,0.00000,0.01,10.00,3,0,0.05,25.87973,8.54688,11.80335,11.80475,25.58501,25.58579,3.94638,3.84553,25.88758,8.76852,25.87317,8.54754,0,0,
3,EIS,00:00:49.864,00:00:54.902,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,11.80294,25.90928,2.03952,2232.558,0.00000,0.01,10.00,3,0,0.05,25.98943,4.50091,11.80374,11.80527,25.90112,25.90524,2.11166,2.04128,25.98706,4.66089,25.98554,4.50548,0,0,
3,EIS,00:01:07.006,00:01:12.044,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,11.67507,17.65672,2.73038,1684.211,0.00000,0.01,10.00,3,0,0.05,17.86658,8.79041,11.45138,11.45603,-13.66310,-17.60868,-2.40816,-3.14449,13.87370,9.99588,17.88724,10.12492,0,0,
3,EIS,00:01:24.231,00:01:29.269,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,11.76286,26.87424,-0.49893,1263.158,0.00000,0.01,10.00,3,0,0.05,26.87887,-1.06358,11.76345,11.76307,26.87622,26.87925,-0.44928,-0.49391,26.87997,-0.95770,26.88379,-1.05269,0,0,
3,EIS,00:01:41.849,00:01:46.887,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,11.77099,27.39948,-1.46321,950.495,0.00000,0.01,10.00,3,0,0.05,27.43852,-3.05684,11.77279,11.77399,27.39489,27.39951,-1.42953,-1.46550,27.43216,-2.98712,27.43867,-3.06162,0,0,
3,EIS,00:01:59.534,00:02:04.572,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,11.77675,28.00831,-2.30627,711.111,0.00000,0.01,10.00,3,0,0.05,28.10310,-4.70725,11.77722,11.77822,28.00951,28.00772,-2.28394,-2.30653,28.10247,-4.66168,28.10254,-4.70788,0,0,
