

Measurement ID,7667
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/16 08:21:20
End Time,2024/05/16 08:30:03
Test section,TS007477
Comment,UCT_AST_B10_+RT2 FAIL
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.052,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.052,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.052,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.752,00:00:37.804,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,11.69335,38.75928,3.45904,3000.000,0.00000,0.01,10.00,3,0,0.05,38.91332,5.09980,11.69309,11.69475,38.74646,38.74421,3.59148,3.53038,38.91255,5.29572,38.90473,5.20642,0,0,
3,EIS,00:00:49.995,00:00:55.047,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,11.69221,38.88864,1.66474,2232.558,0.00000,0.01,10.00,3,0,0.05,38.92425,2.45122,11.69321,11.69465,38.88308,38.88721,1.75911,1.71954,38.92285,2.59035,38.92521,2.53190,0,0,
3,EIS,00:01:06.762,00:01:11.814,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,11.69279,39.13990,0.26569,1684.211,0.00000,0.01,10.00,3,0,0.05,39.14080,0.38893,11.69221,11.69510,39.13807,39.14070,0.33767,0.30234,39.13952,0.49431,39.14187,0.44256,0,0,
3,EIS,00:01:23.952,00:01:29.004,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,11.69289,39.58589,-0.92564,1263.158,0.00000,0.01,10.00,3,0,0.05,39.59671,-1.33951,11.69332,11.69549,39.58567,39.59049,-0.86472,-0.88482,39.59511,-1.25138,39.60037,-1.28031,0,0,
3,EIS,00:01:41.312,00:01:46.364,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,11.69284,40.09373,-1.92177,950.495,0.00000,0.01,10.00,3,0,0.05,40.13976,-2.74419,11.69242,11.69461,40.08585,40.09285,-1.87998,-1.88951,40.12991,-2.68514,40.13735,-2.69826,0,0,
3,EIS,00:01:59.479,00:02:04.531,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,11.31985,7.83290,1.89126,711.111,0.00000,0.01,10.00,3,0,0.05,8.05798,13.57429,11.60321,11.34241,-29.16414,-33.41638,-0.72099,-1.04542,29.17305,1.41616,33.43272,1.79189,0,0,
