

Measurement ID,7660
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/15 16:47:53
End Time,2024/05/15 16:56:36
Test section,TS007470
Comment,UCT_AST_B06_+RT2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.046,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.752,00:00:37.798,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,12.26643,63.92663,4.46205,3000.000,0.00000,0.01,10.00,3,0,0.05,64.08216,3.99274,12.26649,12.26909,63.92231,63.92050,4.61425,4.60685,64.08863,4.12875,64.08629,4.12227,0,0,
3,EIS,00:00:49.678,00:00:54.724,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,12.26644,64.05104,2.73149,2232.558,0.00000,0.01,10.00,3,0,0.05,64.10926,2.44193,12.26589,12.26732,64.04076,64.04933,2.83958,2.83645,64.10368,2.53885,64.11211,2.53571,0,0,
3,EIS,00:01:06.508,00:01:11.554,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,12.26641,64.20213,1.42247,1684.211,0.00000,0.01,10.00,3,0,0.05,64.21789,1.26924,12.26654,12.26934,64.18984,64.18960,1.50418,1.49826,64.20747,1.34239,64.20708,1.33711,0,0,
3,EIS,00:01:24.037,00:01:29.083,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,12.26451,64.40365,0.29923,1263.158,0.00000,0.01,10.00,3,0,0.05,64.40434,0.26620,12.26695,12.26947,64.40945,64.41109,0.37459,0.37104,64.41054,0.33321,64.41216,0.33005,0,0,
3,EIS,00:01:41.898,00:01:46.944,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,12.26418,64.69635,-0.59344,950.495,0.00000,0.01,10.00,3,0,0.05,64.69907,-0.52554,12.26683,12.27017,64.69871,64.70029,-0.53418,-0.53959,64.70092,-0.47304,64.70254,-0.47783,0,0,
3,EIS,00:02:00.072,00:02:05.118,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,12.26855,65.01216,-1.37186,711.111,0.00000,0.01,10.00,3,0,0.05,65.02663,-1.20885,12.26684,12.26863,65.01229,65.00790,-1.32377,-1.32897,65.02577,-1.16649,65.02148,-1.17115,0,0,
3,EIS,00:02:18.282,00:02:23.328,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,533.484,0,9,14,36,7,16.00000,12.26553,65.45020,-2.00840,533.333,0.00000,0.01,10.00,3,0,0.05,65.48101,-1.75763,12.26688,12.26592,65.44776,65.45191,-1.98694,-1.98638,65.47791,-1.73892,65.48205,-1.73831,0,0,
3,EIS,00:02:36.646,00:02:41.692,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,400.056,0,9,14,36,8,16.00000,12.26626,65.91668,-2.55477,400.000,0.00000,0.01,10.00,3,0,0.05,65.96617,-2.21953,12.26948,12.26876,65.93879,65.93252,-2.55463,-2.54659,65.98825,-2.21867,65.98168,-2.21190,0,0,
3,EIS,00:02:55.752,00:03:00.798,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,300.000,0,9,14,36,9,16.00000,12.26635,66.48230,-3.06466,300.000,0.00000,0.01,10.00,3,0,0.05,66.55290,-2.63932,12.26925,12.26536,66.47506,66.47303,-3.03884,-3.03903,66.54448,-2.61740,66.54246,-2.61764,0,0,
3,EIS,00:03:15.876,00:03:20.922,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,224.968,0,9,14,36,10,16.00000,12.26615,67.05761,-3.49899,224.824,0.00000,0.01,10.00,3,0,0.05,67.14883,-2.98692,12.26879,12.27075,67.05845,67.04509,-3.48638,-3.48563,67.14902,-2.97613,67.13564,-2.97609,0,0,
3,EIS,00:03:34.829,00:03:39.875,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,168.702,0,9,14,36,11,16.00000,12.26614,67.66995,-3.95079,168.421,0.00000,0.01,10.00,3,0,0.05,67.78518,-3.34132,12.26879,12.26720,67.66372,67.65751,-3.94218,-3.94704,67.77846,-3.33436,67.77254,-3.33876,0,0,
3,EIS,00:03:54.737,00:03:59.783,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,126.509,0,9,14,36,12,16.00000,12.26293,68.33253,-4.42804,126.649,0.00000,0.01,10.00,3,0,0.05,68.47585,-3.70766,12.26676,12.26506,68.32845,68.33255,-4.41989,-4.41634,68.47125,-3.70108,68.47512,-3.69789,0,0,
3,EIS,00:04:15.121,00:04:20.167,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,94.868,0,9,14,36,13,16.00000,12.26620,69.09709,-4.92796,94.862,0.00000,0.01,10.00,3,0,0.05,69.27259,-4.07939,12.26401,12.27128,69.08272,69.07273,-4.91572,-4.91921,69.25740,-4.07014,69.24768,-4.07360,0,0,
3,EIS,00:04:34.358,00:04:39.404,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,71.141,0,9,14,36,14,16.00000,12.26636,69.97822,-5.49250,71.217,0.00000,0.01,10.00,3,0,0.05,70.19344,-4.48787,12.26614,12.26526,69.96070,69.95829,-5.48198,-5.47301,70.17515,-4.48043,70.17205,-4.47328,0,0,
3,EIS,00:04:54.577,00:04:59.623,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,53.348,0,9,14,36,15,16.00000,12.26633,71.00347,-6.03170,53.333,0.00000,0.01,10.00,3,0,0.05,71.25920,-4.85558,12.27035,12.26504,71.01147,71.01623,-6.03025,-6.03484,71.26705,-4.85388,71.27218,-4.85723,0,0,
3,EIS,00:05:13.870,00:05:18.916,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,40.006,0,9,14,36,16,16.00000,12.26618,72.08635,-6.54862,40.000,0.00000,0.01,10.00,3,0,0.05,72.38319,-5.19073,12.27027,12.26717,72.07779,72.07794,-6.53537,-6.53309,72.37347,-5.18090,72.37341,-5.17910,0,0,
3,EIS,00:05:34.102,00:05:39.148,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,30.000,0,9,14,36,17,16.00000,12.26564,73.42432,-6.96563,30.000,0.00000,0.01,10.00,3,0,0.05,73.75399,-5.41933,12.26676,12.26439,73.42041,73.42424,-6.95498,-6.94990,73.74909,-5.41137,73.75243,-5.40717,0,0,
3,EIS,00:05:52.787,00:05:57.833,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,22.497,0,9,14,36,18,16.00000,12.26540,74.83012,-7.25050,22.472,0.00000,0.01,10.00,3,0,0.05,75.18056,-5.53428,12.26679,12.26553,74.81734,74.82195,-7.24629,-7.26574,75.16744,-5.53202,75.17390,-5.54643,0,0,
3,EIS,00:06:12.217,00:06:17.263,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,16.870,0,9,14,36,19,16.00000,12.26951,76.24368,-7.40777,16.854,0.00000,0.01,10.00,3,0,0.05,76.60271,-5.54939,12.26673,12.26643,76.23033,76.23641,-7.42185,-7.43470,76.59078,-5.56084,76.59808,-5.56997,0,0,
3,EIS,00:06:32.410,00:06:37.456,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,12.651,0,9,14,36,20,16.00000,12.26610,77.60707,-7.52712,12.658,0.00000,0.01,10.00,3,0,0.05,77.97125,-5.53980,12.26368,12.27134,77.59674,77.57307,-7.53563,-7.53120,77.96178,-5.54676,77.93780,-5.54520,0,0,
3,EIS,00:06:51.906,00:06:56.952,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,9.487,0,9,14,36,21,16.00000,12.26621,78.90887,-7.62518,9.494,0.00000,0.01,10.00,3,0,0.05,79.27643,-5.51951,12.26328,12.26942,78.91577,78.91488,-7.64672,-7.62386,79.28537,-5.53452,79.28229,-5.51815,0,0,
3,EIS,00:07:12.723,00:07:17.769,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,7.114,0,9,14,36,22,16.00000,12.26815,80.16788,-7.75278,7.109,0.00000,0.01,10.00,3,0,0.05,80.54188,-5.52372,12.26673,12.27047,80.15214,80.18079,-7.75119,-7.76024,80.52606,-5.52366,80.55545,-5.52811,0,0,
3,EIS,00:07:31.413,00:07:36.459,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,5.335,0,9,14,36,23,16.00000,12.26353,81.39955,-7.97530,5.338,0.00000,0.01,10.00,3,0,0.05,81.78931,-5.59582,12.26918,12.27216,81.34584,81.33041,-7.97044,-7.97720,81.73539,-5.59610,81.72069,-5.60187,0,0,
3,EIS,00:07:50.805,00:07:55.851,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,4.001,0,9,14,36,24,16.00000,12.26611,82.60554,-8.30530,4.000,0.00000,0.01,10.00,3,0,0.05,83.02201,-5.74132,12.27082,12.26398,82.59878,82.58810,-8.30528,-8.34562,83.01527,-5.74177,83.00870,-5.77022,0,0,
3,EIS,00:08:11.501,00:08:16.547,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3.000,0,9,14,36,25,16.00000,12.26648,83.85365,-8.79189,3.000,0.00000,0.01,10.00,3,0,0.05,84.31329,-5.98548,12.26677,12.26451,83.80671,83.80824,-8.74123,-8.77533,84.26134,-5.95455,84.26640,-5.97750,0,0,
3,EIS,00:08:32.377,00:08:37.423,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3.000,0,9,14,36,26,16.00000,12.26619,83.79745,-8.69847,3.000,0.00000,0.01,10.00,3,0,0.05,84.24770,-5.92628,12.26375,12.26418,83.72737,83.76134,-8.80157,-8.75716,84.18872,-6.00099,84.21787,-5.96853,0,0,
