

Measurement ID,7669
Battery Name,HR12-9
Battery Type,AGM VRLA
Circuit,Eis_080
Program,312 - UCT_AST9AH_EIS
Start Time,2024/05/16 08:41:11
End Time,2024/05/16 08:49:55
Test section,TS007479\EIS00001
Comment,UCT_AST_B09_+RT2
OrderNo,UCT002
Producer,ASTERION
Type,AGM VRLA
Nominal Voltage,12
Nominal Current,1
Nominal Capacity,9
Cells,6
Maximum Voltage,12.9
Gassing Voltage,14.4
Break Voltage,10.5
Charge Factor,0
Impedance,0
Cold Cranking Current,2.7
Energy Density,0
Comment,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,NomVal1,Phase1,U2,U3,Zreal2,Zreal3,Zimg2,Zimg3,NomVal2,Phase2,NomVal3,Phase3,EisStart,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EisStart],[EisFinish],
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,StartFreq: 3.000 EndFreq: 3000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,MvIdeal:    36 AAcStart:  0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MSG,00:00:00.000,00:00:05.049,0,0,UCT_AST9AH_EIS,Time: 10.000 Peri:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EIS,00:00:32.404,00:00:37.453,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,3000.000,0,9,14,36,1,16.00000,11.69589,35.44041,3.53578,3000.000,0.00000,0.01,10.00,3,0,0.05,35.61635,5.69737,11.69578,11.69715,35.42622,35.42806,3.65007,3.60105,35.61376,5.88259,35.61060,5.80384,0,0,
3,EIS,00:00:49.579,00:00:54.628,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,2249.683,0,9,14,36,2,16.00000,11.69538,35.83637,1.70630,2232.558,0.00000,0.01,10.00,3,0,0.05,35.87697,2.72600,11.69632,11.69709,35.82484,35.82826,1.78791,1.75573,35.86943,2.85709,35.87126,2.80548,0,0,
3,EIS,00:01:06.354,00:01:11.403,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1687.024,0,9,14,36,3,16.00000,11.69607,36.22164,0.29518,1684.211,0.00000,0.01,10.00,3,0,0.05,36.22284,0.46690,11.69713,11.69699,36.22051,36.21883,0.36563,0.33882,36.22236,0.57836,36.22041,0.53598,0,0,
3,EIS,00:01:23.476,00:01:28.525,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,1265.090,0,9,14,36,4,16.00000,11.69506,36.77277,-0.90735,1263.158,0.00000,0.01,10.00,3,0,0.05,36.78396,-1.41345,11.69659,11.69836,36.77656,36.77850,-0.85164,-0.87609,36.78642,-1.32657,36.78893,-1.36457,0,0,
3,EIS,00:01:41.039,00:01:46.088,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,948.683,0,9,14,36,5,16.00000,11.69626,37.33800,-1.92825,950.495,0.00000,0.01,10.00,3,0,0.05,37.38776,-2.95630,11.69660,11.69853,37.34423,37.34216,-1.87789,-1.89410,37.39141,-2.87875,37.39017,-2.90371,0,0,
3,EIS,00:01:58.911,00:02:03.960,0,0,UCT_AST9AH_EIS,,,3.00,3000.00,711.412,0,9,14,36,6,16.00000,11.69527,38.06433,-2.81231,711.111,0.00000,0.01,10.00,3,0,0.05,38.16808,-4.22550,11.69675,11.69617,38.07236,38.06706,-2.78392,-2.79571,38.17401,-4.18213,38.16958,-4.20035,0,0,
