Test Name:,"UCT-AST9AH-A06",
Test Date:,"2024/03/04 10:48:13 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT-Charge and par discharge",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 14",
Name:,"Channel 14",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",

No,="0:00:01.0",1,1,1,1,1,="0:00:01.0",0.00,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:02.0",1,1,1,1,1,="0:00:02.0",0.00,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:03.0",1,1,1,1,1,="0:00:03.0",-0.01,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:04.0",1,1,1,1,1,="0:00:04.0",0.00,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:05.0",1,1,1,1,1,="0:00:05.0",0.00,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:06.0",1,1,1,1,1,="0:00:06.0",0.00,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:07.0",1,1,1,1,1,="0:00:07.0",-0.01,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:08.0",1,1,1,1,1,="0:00:08.0",0.00,12.568,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:09.0",1,1,1,1,1,="0:00:09.0",0.00,12.569,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:10.0",1,1,1,1,1,="0:00:10.0",0.00,12.569,0.0,0.00,0.00,0.0,0.0,REST,P,
No,="0:00:11.0",1,1,1,1,2,="0:00:01.0",1.50,12.756,19.1,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:00:12.0",1,1,1,1,2,="0:00:02.0",1.50,12.782,19.1,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:00:13.0",1,1,1,1,2,="0:00:03.0",1.50,12.805,19.1,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:00:14.0",1,1,1,1,2,="0:00:04.0",1.50,12.827,19.2,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:00:15.0",1,1,1,1,2,="0:00:05.0",1.50,12.847,19.2,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:00:16.0",1,1,1,1,2,="0:00:06.0",1.50,12.867,19.2,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:00:17.0",1,1,1,1,2,="0:00:07.0",1.50,12.885,19.2,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:00:18.0",1,1,1,1,2,="0:00:08.0",1.50,12.902,19.3,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:00:19.0",1,1,1,1,2,="0:00:09.0",1.50,12.918,19.3,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:00:20.0",1,1,1,1,2,="0:00:10.0",1.50,12.934,19.3,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:00:21.0",1,1,1,1,2,="0:00:11.0",1.50,12.948,19.4,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:00:22.0",1,1,1,1,2,="0:00:12.0",1.50,12.962,19.4,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:00:23.0",1,1,1,1,2,="0:00:13.0",1.50,12.976,19.4,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:00:24.0",1,1,1,1,2,="0:00:14.0",1.50,12.990,19.4,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:00:25.0",1,1,1,1,2,="0:00:15.0",1.50,13.003,19.4,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:00:26.0",1,1,1,1,2,="0:00:16.0",1.50,13.014,19.4,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:00:27.0",1,1,1,1,2,="0:00:17.0",1.50,13.026,19.5,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:00:28.0",1,1,1,1,2,="0:00:18.0",1.50,13.038,19.5,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:00:29.0",1,1,1,1,2,="0:00:19.0",1.50,13.049,19.5,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:00:30.0",1,1,1,1,2,="0:00:20.0",1.50,13.059,19.5,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:00:31.0",1,1,1,1,2,="0:00:21.0",1.50,13.070,19.5,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:00:32.0",1,1,1,1,2,="0:00:22.0",1.50,13.080,19.5,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:00:33.0",1,1,1,1,2,="0:00:23.0",1.50,13.090,19.6,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:00:34.0",1,1,1,1,2,="0:00:24.0",1.50,13.100,19.6,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:00:35.0",1,1,1,1,2,="0:00:25.0",1.50,13.109,19.6,0.01,0.13,0.0,0.0,CHRG, ,
No,="0:00:36.0",1,1,1,1,2,="0:00:26.0",1.50,13.118,19.6,0.01,0.13,0.0,0.0,CHRG, ,
No,="0:00:37.0",1,1,1,1,2,="0:00:27.0",1.50,13.127,19.6,0.01,0.14,0.0,0.0,CHRG, ,
No,="0:00:38.0",1,1,1,1,2,="0:00:28.0",1.50,13.135,19.7,0.01,0.15,0.0,0.0,CHRG, ,
No,="0:00:39.0",1,1,1,1,2,="0:00:29.0",1.49,13.143,19.6,0.01,0.15,0.0,0.0,CHRG, ,
No,="0:00:40.0",1,1,1,1,2,="0:00:30.0",1.50,13.151,19.7,0.01,0.16,0.0,0.0,CHRG, ,
No,="0:00:41.0",1,1,1,1,2,="0:00:31.0",1.50,13.159,19.7,0.01,0.16,0.0,0.0,CHRG, ,
No,="0:00:42.0",1,1,1,1,2,="0:00:32.0",1.50,13.167,19.7,0.01,0.17,0.0,0.0,CHRG, ,
