Test Name:,"UCT-AST9AH-A08-X",
Test Date:,"2024/03/04 12:34:00 PM",
Operator ID:,"Uyilo",

Program Name:,"UCT-Charge and par discharge",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 12",
Name:,"Channel 12",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",

No,="0:00:01.0",1,1,1,1,1,="0:00:01.0",0.00,13.350,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:02.0",1,1,1,1,1,="0:00:02.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:03.0",1,1,1,1,1,="0:00:03.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:04.0",1,1,1,1,1,="0:00:04.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:05.0",1,1,1,1,1,="0:00:05.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:06.0",1,1,1,1,1,="0:00:06.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:07.0",1,1,1,1,1,="0:00:07.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:08.0",1,1,1,1,1,="0:00:08.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:09.0",1,1,1,1,1,="0:00:09.0",0.00,13.348,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:00:10.0",1,1,1,1,1,="0:00:10.0",0.00,13.349,0.0,0.00,0.00,0.0,0.0,REST,P,
No,="0:00:11.0",1,1,1,1,3,="0:00:01.0",1.49,13.536,20.2,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:00:12.0",1,1,1,1,3,="0:00:02.0",1.50,13.684,20.5,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:00:13.0",1,1,1,1,3,="0:00:03.0",1.50,13.905,20.8,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:00:14.0",1,1,1,1,3,="0:00:04.0",1.50,14.163,21.2,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:00:15.0",1,1,1,1,3,="0:00:05.0",1.28,14.200,18.2,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:00:16.0",1,1,1,1,3,="0:00:06.0",1.21,14.200,17.1,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:00:17.0",1,1,1,1,3,="0:00:07.0",1.14,14.200,16.2,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:00:18.0",1,1,1,1,3,="0:00:08.0",1.10,14.200,15.5,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:00:19.0",1,1,1,1,3,="0:00:09.0",1.05,14.199,14.9,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:00:20.0",1,1,1,1,3,="0:00:10.0",1.02,14.199,14.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:00:21.0",1,1,1,1,3,="0:00:11.0",0.99,14.200,14.0,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:00:22.0",1,1,1,1,3,="0:00:12.0",0.95,14.200,13.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:00:23.0",1,1,1,1,3,="0:00:13.0",0.94,14.200,13.3,0.00,0.06,0.0,0.0,CHRG, ,
