Test Name:,"UCT_AST_9AH_B01_CHG",
Test Date:,"2024/05/10 02:41:30 PM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 8",
Name:,"Channel 8",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",

No,="0:00:30.0",1,1,1,1,1,="0:00:30.0",0.00,12.723,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:01:00.0",1,1,1,1,1,="0:01:00.0",0.00,12.723,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:01:30.0",1,1,1,1,1,="0:01:30.0",0.00,12.723,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:02:00.0",1,1,1,1,1,="0:02:00.0",0.00,12.722,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:02:30.0",1,1,1,1,1,="0:02:30.0",-0.01,12.722,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:03:00.0",1,1,1,1,1,="0:03:00.0",0.00,12.723,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:03:30.0",1,1,1,1,1,="0:03:30.0",0.00,12.723,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:04:00.0",1,1,1,1,1,="0:04:00.0",0.00,12.723,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:04:30.0",1,1,1,1,1,="0:04:30.0",0.00,12.723,0.0,0.00,0.00,0.0,0.0,REST, ,
No,="0:05:00.0",1,1,1,1,1,="0:05:00.0",0.00,12.722,0.0,0.00,0.00,0.0,0.0,REST,P,
No,="0:05:01.0",1,1,1,1,2,="0:00:01.0",1.50,13.722,20.5,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:02.0",1,1,1,1,2,="0:00:02.0",1.50,13.868,20.8,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:03.0",1,1,1,1,2,="0:00:03.0",1.50,13.961,20.9,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:04.0",1,1,1,1,2,="0:00:04.0",1.49,14.062,20.9,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:05.0",1,1,1,1,2,="0:00:05.0",1.50,14.177,21.2,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:06.0",1,1,1,1,2,="0:00:06.0",1.50,14.297,21.4,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:06.9",1,1,1,1,2,="0:00:06.9",1.47,14.402,21.1,0.00,0.03,0.0,0.0,CHRG,S,
No,="0:05:07.9",1,1,1,1,3,="0:00:01.0",1.01,14.201,14.3,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:08.9",1,1,1,1,3,="0:00:02.0",0.96,14.201,13.6,0.00,0.00,0.0,0.0,CHRG, ,
No,="0:05:09.9",1,1,1,1,3,="0:00:03.0",0.90,14.201,12.7,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:10.9",1,1,1,1,3,="0:00:04.0",0.84,14.200,11.9,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:11.9",1,1,1,1,3,="0:00:05.0",0.80,14.200,11.4,0.00,0.01,0.0,0.0,CHRG, ,
No,="0:05:12.9",1,1,1,1,3,="0:00:06.0",0.76,14.200,10.7,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:13.9",1,1,1,1,3,="0:00:07.0",0.73,14.200,10.3,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:14.9",1,1,1,1,3,="0:00:08.0",0.71,14.201,10.1,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:15.9",1,1,1,1,3,="0:00:09.0",0.69,14.201,9.7,0.00,0.02,0.0,0.0,CHRG, ,
No,="0:05:16.9",1,1,1,1,3,="0:00:10.0",0.66,14.201,9.4,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:17.9",1,1,1,1,3,="0:00:11.0",0.64,14.201,9.1,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:18.9",1,1,1,1,3,="0:00:12.0",0.63,14.201,8.9,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:19.9",1,1,1,1,3,="0:00:13.0",0.61,14.201,8.7,0.00,0.03,0.0,0.0,CHRG, ,
No,="0:05:20.9",1,1,1,1,3,="0:00:14.0",0.60,14.200,8.4,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:21.9",1,1,1,1,3,="0:00:15.0",0.58,14.200,8.2,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:22.9",1,1,1,1,3,="0:00:16.0",0.57,14.201,8.1,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:23.9",1,1,1,1,3,="0:00:17.0",0.56,14.200,7.9,0.00,0.04,0.0,0.0,CHRG, ,
No,="0:05:24.9",1,1,1,1,3,="0:00:18.0",0.54,14.200,7.6,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:05:25.9",1,1,1,1,3,="0:00:19.0",0.53,14.200,7.5,0.00,0.05,0.0,0.0,CHRG, ,
No,="0:05:26.9",1,1,1,1,3,="0:00:20.0",0.53,14.201,7.4,0.00,0.05,0.0,0.0,CHRG, ,
